алл. 1 Мая, д. 2/4
алл. Новая, д. 776 стр. 584
алл. Новостройка, д. 7/6 стр. 3
алл. О.Кошевого, д. 5 стр. 26
алл. О.Кошевого, д. 7/9
алл. Овражная, д. 6/6 стр. 5
алл. Огородная, д. 217
алл. Одесская, д. 29 стр. 7/1
алл. Октября, д. 75 к. 5/6
алл. Омская, д. 3
алл. Островского, д. 6 стр. 6/4
алл. Отрадная, д. 8/5
алл. Павлика Морозова, д. 2 стр. 52
алл. Панфилова, д. 1/2 стр. 6
алл. Панфилова, д. 58
алл. Панфилова, д. 8 стр. 4
алл. Парижской Коммуны, д. 53 к. 757
алл. Парковая, д. 9/6 к. 349
алл. Партизанская, д. 1 к. 1/9
алл. Песчаная, д. 7 стр. 5
алл. Песчаная, д. 990 к. 387
алл. Петровская, д. 48 к. 69
алл. Пионерская, д. 74 к. 593
алл. Пограничная, д. 1/3 к. 52
алл. Пограничная, д. 4 стр. 815
алл. Пожарского, д. 35 стр. 93
алл. Пожарского, д. 7/5 к. 988
алл. Пожарского, д. 89 стр. 7/6
алл. Поперечная, д. 43
алл. Поселковая, д. 549 к. 230
алл. Привольная, д. 4 стр. 1/5
алл. Пролетарская, д. 4/3 стр. 4
алл. Пролетарская, д. 8/3 стр. 87
алл. Промышленная, д. 7 к. 69
алл. Промышленная, д. 92 к. 641
алл. Просвещения, д. 4 к. 38
алл. Просторная, д. 44 стр. 3/7
алл. Просторная, д. 78
алл. Проточная, д. 3
алл. Профсоюзная, д. 9/4
алл. Прудовая, д. 2/1 стр. 13
алл. Пушкина, д. 7/8 к. 1/9
алл. Р.Люксембург, д. 92 к. 2
алл. Разина, д. 9
алл. Репина, д. 11 стр. 5/7
алл. Репина, д. 5 стр. 111
алл. Республиканская, д. 3 стр. 239
алл. Республиканская, д. 322 к. 173
алл. Розы Люксембург, д. 690
алл. Ручейная, д. 83 к. 178
алл. Рыбацкая, д. 47 стр. 4
алл. Рылеева, д. 213
алл. Садовая, д. 2/2 к. 937
алл. Садовая, д. 5 к. 416
алл. Санаторная, д. 6/3
алл. Санаторная, д. 955
алл. Сахалинская, д. 6 к. 36
алл. Свердлова, д. 29 стр. 77
алл. Свердлова, д. 54 стр. 527
алл. Свободная, д. 472 стр. 3
алл. Семашко, д. 1
алл. Серова, д. 598
алл. Сиреневая, д. 28 стр. 42
алл. Славянская, д. 7 стр. 3/5
алл. Смоленская, д. 77 стр. 4
алл. Снежная, д. 95
алл. Солнечная, д. 857
алл. Сосновая, д. 18 стр. 33
алл. Спартака, д. 82
алл. Специалистов, д. 7
алл. Сплавная, д. 388 к. 468
алл. Спортивная, д. 22 стр. 57
алл. Спортивная, д. 301 стр. 6/7
алл. Спортивная, д. 668 стр. 2/1
алл. Стадионная, д. 4/4 стр. 9
алл. Стахановская, д. 4/3 к. 9/3
алл. Тепличная, д. 4/5 стр. 3/9
алл. Тихая, д. 30 стр. 197
алл. Тополиная, д. 39 к. 3/5
алл. Торговая, д. 1/3 стр. 993
алл. Трактовая, д. 1/2 к. 1/8
алл. Тукая, д. 1 к. 378
алл. Украинская, д. 103
алл. Ульянова, д. 2/5 стр. 6/8
алл. Ульяновская, д. 5 к. 8/3
алл. Ульяновская, д. 8 стр. 8
алл. Фадеева, д. 9 к. 8/9
алл. Фрунзе, д. 986 к. 4
алл. Фурманова, д. 260 к. 4
алл. Халтурина, д. 150 стр. 132
алл. Халтурина, д. 85
алл. Хвойная, д. 163 стр. 884
алл. Хуторская, д. 2 к. 195
алл. Цветочная, д. 25 стр. 62
алл. Цветочная, д. 971 стр. 2
алл. Чайковского, д. 4 к. 9/8
алл. Чапаева, д. 64 стр. 247
алл. Чапаева, д. 680 стр. 611
алл. Черемуховая, д. 9
алл. Чернышевского, д. 635
алл. Шевченко, д. 10 стр. 7
алл. Шевченко, д. 91 стр. 72
алл. Школьная, д. 41
алл. Школьная, д. 457
алл. Школьная, д. 9/1 к. 779
алл. Шмидта, д. 9 к. 5/3
алл. Шолохова, д. 890
алл. Щербакова, д. 1/7 к. 434
алл. Щербакова, д. 569
алл. Щетинкина, д. 40
алл. Элеваторная, д. 18 к. 2
алл. Элеваторная, д. 2 к. 7
алл. Элеваторная, д. 7
алл. Элеваторная, д. 84 к. 52
алл. Элеваторная, д. 98 к. 4/8
алл. Энгельса, д. 1 к. 799
алл. Энгельса, д. 4/6 стр. 9/7
алл. Энгельса, д. 62
алл. Энергетиков, д. 451 стр. 853
алл. Энергетиков, д. 783 к. 7/6
алл. Энтузиастов, д. 81 стр. 91
алл. Юности, д. 1 стр. 85
алл. Ярославская, д. 10
алл. Ясная, д. 46
бул. 40 лет Октября, д. 22 к. 3/6
бул. 40 лет Октября, д. 769 стр. 324
бул. 40 лет Победы, д. 182 к. 8/1
бул. 50 лет Победы, д. 786 стр. 9/8
бул. 60 лет Октября, д. 4 стр. 492
бул. 8 Марта, д. 3/7 к. 643
бул. 8 Марта, д. 530
бул. Абрикосовый, д. 606 к. 193
бул. Автомобилистов, д. 6/9
бул. Автомобилистов, д. 9 стр. 94
бул. Азина, д. 3/3
бул. Амурский, д. 16
бул. Ангарский, д. 691
бул. Астраханский, д. 8 к. 4
бул. Аэродромный, д. 6/9 к. 49
бул. Аэродромный, д. 9 к. 55
бул. Базарный, д. 3 стр. 833
бул. Байкальский, д. 8 к. 97
бул. Байкальский, д. 9 к. 7
бул. Безымянный, д. 199 стр. 2/1
бул. Белинского, д. 650 стр. 692
бул. Белинского, д. 8/3
бул. Блюхера, д. 768 к. 27
бул. Блюхера, д. 9
бул. Болотный, д. 5/1
бул. Вавилова, д. 6 стр. 14
бул. Вавилова, д. 9 стр. 96
бул. Ватутина, д. 7/6
бул. Вахитова, д. 7/9 стр. 6
бул. Вахитова, д. 9 стр. 9
бул. Весенний, д. 9/6 стр. 3/2
бул. Ветеранов, д. 4
бул. Ветеранов, д. 419 стр. 267
бул. Ветеранов, д. 459 к. 7/1
бул. Виноградный, д. 5 к. 4
бул. Вишневый, д. 3
бул. Владимирский, д. 8
бул. Вокзальный, д. 67
бул. Волжский, д. 1/1 к. 2
бул. Волкова, д. 2 стр. 66
бул. Вольный, д. 758 стр. 70
бул. Воровского, д. 1/5 стр. 309
бул. Воровского, д. 3 стр. 2
бул. Воронежский, д. 4/2 к. 583
бул. Восьмого Марта, д. 62
бул. Высокий, д. 7 к. 404
бул. Высотный, д. 995
бул. Гагарина, д. 13 стр. 4
бул. Гастелло, д. 872 стр. 6/4
бул. Гончарова, д. 5 стр. 997
бул. Горького, д. 971 к. 59
бул. Гражданский, д. 231 стр. 9
бул. Гражданский, д. 58 стр. 3
бул. Грибоедова, д. 7
бул. Громова, д. 2 к. 260
бул. ДОС, д. 2 к. 27
бул. ДОС, д. 75
бул. Дальневосточный, д. 4 к. 32
бул. Декабристов, д. 6 стр. 3
бул. Декабристов, д. 76
бул. Демьяна Бедного, д. 969
бул. Депутатский, д. 2 к. 574
бул. Депутатский, д. 3 к. 25
бул. Дзержинского, д. 1/3 к. 6
бул. Дзержинского, д. 7/4 стр. 92
бул. Донской, д. 6/8
бул. Дорожников, д. 1
бул. Дорожный, д. 2/5 к. 760
бул. Енисейский, д. 8 к. 86
бул. Ермака, д. 7 стр. 8/2
бул. Жданова, д. 254 стр. 5
бул. Железнодорожный, д. 9 стр. 6
бул. Жуковского, д. 2/9
бул. Жуковского, д. 66 стр. 189
бул. З.Космодемьянской, д. 13
бул. Заовражный, д. 15 стр. 66
бул. Заовражный, д. 7/4 стр. 57
бул. Заозерный, д. 1/7 к. 89
бул. Заозерный, д. 53 к. 4
бул. Заозерный, д. 847
бул. Запрудный, д. 28
бул. Запрудный, д. 738 стр. 4/3
бул. Звездный, д. 15 стр. 1
бул. Иванова, д. 902
бул. Ильича, д. 7/4
бул. Индустриальный, д. 45 к. 5/7
бул. Интернациональный, д. 6/3
бул. Интернациональный, д. 769 к. 36
бул. Кавказский, д. 8 стр. 177
бул. Казанский, д. 5 к. 6
бул. Казанский, д. 781
бул. Калинина, д. 4/3 к. 525
бул. Калужский, д. 59
бул. Карьерный, д. 65 стр. 78
бул. Каштановый, д. 690
бул. Киевский, д. 2 стр. 952
бул. Киевский, д. 9/8 стр. 906
бул. Коллективный, д. 9
бул. Колхозный, д. 4/6 к. 6
бул. Коммунистический, д. 653
бул. Коммуны, д. 4 к. 5/1
бул. Коммуны, д. 6/6 к. 78
бул. Короленко, д. 6/2
бул. Космонавтов, д. 1/1 к. 1
бул. Красина, д. 442 к. 8
бул. Краснопартизанский, д. 73
бул. Краснофлотский, д. 9/3 стр. 8
бул. Крылова, д. 8
бул. Кузнецова, д. 3
бул. Куйбышева, д. 737 стр. 67
бул. Курортный, д. 67 стр. 1/9
бул. Курский, д. 15 стр. 4
бул. Курчатова, д. 1 стр. 5/7
бул. Курчатова, д. 47 стр. 60
бул. Курчатова, д. 9 стр. 302
бул. Курчатова, д. 94 к. 55
бул. Лазо, д. 83 стр. 8
бул. Ленина, д. 9 стр. 644
бул. Ленинский, д. 94
бул. Ленский, д. 764 к. 2
бул. Леонова, д. 8/6 стр. 19
бул. Лесозаводский, д. 214 стр. 8
бул. Логовой, д. 32
бул. Локомотивный, д. 948 стр. 71
бул. Луначарского, д. 70
бул. Луначарского, д. 8/7 стр. 52
бул. Льва Толстого, д. 727 к. 3/9
бул. Льва Толстого, д. 930 к. 4
бул. М.Горького, д. 76 к. 4
бул. Магистральный, д. 145
бул. Майский, д. 646
бул. Майский, д. 69
бул. Макарова, д. 146
бул. Маркса, д. 55 стр. 3/1
бул. Марта 8, д. 17 к. 17
бул. Марта 8, д. 6 к. 9
бул. Менделеева, д. 21 стр. 2
бул. Металлистов, д. 5 к. 59
бул. Металлургов, д. 93 к. 9
бул. Микрорайон, д. 1
бул. Микрорайон, д. 4 стр. 59
бул. Минина, д. 182 стр. 582
бул. Минина, д. 9/5
бул. Минский, д. 17 стр. 35
бул. Мира, д. 75 стр. 6/3
бул. Мирный, д. 6
бул. Морозова, д. 5 стр. 84
бул. Мостовой, д. 63 стр. 61
бул. Моховой, д. 4 к. 1
бул. Набережный, д. 17 к. 73
бул. Нагорный, д. 5/2
бул. Невского, д. 377 стр. 170
бул. Невского, д. 4
бул. Некрасова, д. 7/4 к. 1/6
бул. Никитина, д. 9
бул. Николаева, д. 4/4 к. 6/6
бул. Новосельский, д. 9
бул. Новостройка, д. 89
бул. Новый, д. 370
бул. Новый, д. 8/6 к. 374
бул. Озерный, д. 7/4
бул. Октября, д. 1/3
бул. Олега Кошевого, д. 88
бул. Олимпийский, д. 35
бул. Ольховый, д. 733
бул. Омский, д. 84
бул. Орджоникидзе, д. 4/3 к. 6
бул. Орджоникидзе, д. 558
бул. Ореховый, д. 75 стр. 3/7
бул. Орловский, д. 60 к. 6/8
бул. Осенний, д. 5
бул. Павлика Морозова, д. 201 к. 1/3
бул. Папанина, д. 678
бул. Парижской Коммуны, д. 791
бул. Парковый, д. 4/1
бул. Песочный, д. 591 стр. 780
бул. Петровский, д. 1/4 к. 42
бул. Петровский, д. 275 стр. 2/8
бул. Плеханова, д. 4/2 к. 320
бул. Плеханова, д. 8/2 к. 705
бул. Победы, д. 7 стр. 2/2
бул. Пограничный, д. 96 стр. 7
бул. Подлесный, д. 46 стр. 7/1
бул. Подстанция, д. 1
бул. Подстанция, д. 10
бул. Пожарского, д. 579 к. 1/2
бул. Полевой, д. 2
бул. Полтавский, д. 5/2 стр. 8
бул. Поперечный, д. 4/7 к. 3
бул. Попова, д. 3 стр. 473
бул. Попова, д. 88
бул. Портовый, д. 56
бул. Пригородный, д. 743 к. 72
бул. Приозерный, д. 89 к. 3/5
бул. Проезжий, д. 8 стр. 5
бул. Проезжий, д. 94
бул. Проезжий, д. 962 к. 56
бул. Производственный, д. 3
бул. Пролетарский, д. 634 стр. 2
бул. Пролетарский, д. 79 к. 742
бул. Пугачева, д. 249 стр. 6/2
бул. Путейский, д. 1/7
бул. Раздольный, д. 37 к. 665
бул. Разина, д. 8 к. 56
бул. Революции, д. 9/5 стр. 754
бул. Революционный, д. 451 стр. 3
бул. Революционный, д. 50 стр. 980
бул. Репина, д. 3 к. 844
бул. Речной, д. 3/6 стр. 7
бул. Речной, д. 961 стр. 9/2
бул. Родниковый, д. 9
бул. Ручейный, д. 3/6 стр. 6
бул. Рыбацкий, д. 5 стр. 724
бул. Рыбацкий, д. 8
бул. Рыбацкий, д. 8 стр. 9
бул. Рязанский, д. 5/9
бул. Свердлова, д. 252 к. 4
бул. Светлый, д. 39
бул. Сельский, д. 21
бул. Серова, д. 180 стр. 6
бул. Сибирский, д. 5 к. 2/7
бул. Сиреневый, д. 268 к. 12
бул. Слободской, д. 32 к. 8
бул. Смоленский, д. 2/6 к. 513
бул. Советов, д. 526 к. 703
бул. Сосновый, д. 1 к. 5
бул. Союзный, д. 2/3 к. 2/5
бул. Союзный, д. 527
бул. Спартака, д. 5 к. 2/9
бул. Средний, д. 118 стр. 5
бул. Стадионный, д. 52
бул. Станиславского, д. 284 стр. 688
бул. Стахановский, д. 113 стр. 2/5
бул. Степной, д. 20 стр. 7/4
бул. Студенческий, д. 3/1 к. 372
бул. Сурикова, д. 5
бул. Тамбовский, д. 5 к. 648
бул. Тепличный, д. 7 к. 5/9
бул. Терешковой, д. 986 стр. 5
бул. Технический, д. 31 стр. 4
бул. Тимирязева, д. 1/8 стр. 16
бул. Толстого, д. 3 стр. 49
бул. Толстого, д. 4/6 стр. 7/9
бул. Трактовый, д. 76 стр. 4/3
бул. Трактовый, д. 83
бул. Трактовый, д. 958 к. 9/7
бул. Тракторный, д. 1/6
бул. Транспортный, д. 45 к. 2/1
бул. Троицкий, д. 18 стр. 218
бул. Трудовой, д. 756 к. 528
бул. Тюленина, д. 1/5 стр. 306
бул. Тюленина, д. 5 к. 4
бул. Тюленина, д. 870
бул. Угловой, д. 8/1 стр. 76
бул. Ударный, д. 7/7 к. 79
бул. Уральский, д. 330 стр. 890
бул. Урицкого, д. 157 стр. 2/3
бул. Учительский, д. 257 стр. 567
бул. Ушакова, д. 11 к. 4/3
бул. Ушакова, д. 54 стр. 49
бул. Физкультурный, д. 1 стр. 4
бул. Физкультурный, д. 8/3 стр. 553
бул. Физкультурный, д. 982 к. 3/8
бул. Флотский, д. 38 стр. 5/8
бул. Фурманова, д. 480
бул. Халтурина, д. 142 стр. 5
бул. Харьковский, д. 1
бул. Химиков, д. 978 стр. 3/1
бул. Хуторской, д. 80 к. 106
бул. Целинный, д. 978 к. 147
бул. Центральный, д. 318
бул. Чапаева, д. 29
бул. Челюскинцев, д. 19 к. 31
бул. Черемуховый, д. 424
бул. Черноморский, д. 9 к. 2/1
бул. Шахтерский, д. 252 стр. 1/5
бул. Шишкина, д. 460 стр. 4/9
бул. Шмидта, д. 7 стр. 7/3
бул. Шолохова, д. 3 к. 599
бул. Шоссейный, д. 495 к. 6
бул. Щорса, д. 88
бул. Элеваторный, д. 47 стр. 8/9
бул. Энгельса, д. 3 к. 7
бул. Энгельса, д. 4
бул. Энергетический, д. 3/6 к. 9
бул. Энергетический, д. 4 стр. 70
бул. Юбилейный, д. 1/7 к. 959
бул. Юбилейный, д. 7/1 к. 3/6
бул. Южный, д. 61
бул. Ясный, д. 44 стр. 8
бул. Ясный, д. 9 стр. 634
наб. 30 лет Победы, д. 3/5
наб. 40 лет Октября, д. 57 стр. 3
наб. 50 лет Октября, д. 1/5 к. 45
наб. 50 лет Октября, д. 338 стр. 4/8
наб. 50 лет Октября, д. 6/1 к. 4
наб. 50 лет Октября, д. 65
наб. 50 лет Победы, д. 7 к. 35
наб. 9 Января, д. 1 к. 6
наб. 9 мая, д. 5/8 стр. 1/1
наб. Абрикосовая, д. 90
наб. Азина, д. 2/1
наб. Азина, д. 7 к. 7/4
наб. Ангарская, д. 5
наб. Астраханская, д. 391
наб. Астраханская, д. 86 стр. 75
наб. Базарная, д. 7 стр. 3/3
наб. Белинского, д. 3 к. 4
наб. Белорусская, д. 6/4
наб. Беляева, д. 423
наб. Береговая, д. 6 к. 1
наб. Березовая, д. 28
наб. Больничная, д. 117 стр. 8
наб. Больничная, д. 4/8
наб. Большая, д. 5 к. 2
наб. Боровая, д. 1/8
наб. Боровая, д. 38 стр. 251
наб. Боровая, д. 752
наб. Братская, д. 7/6 стр. 518
наб. Братская, д. 768
наб. Брянская, д. 7/5
наб. Брянская, д. 8 к. 571
наб. Васильковая, д. 64 стр. 29
наб. Вахитова, д. 138 к. 63
наб. Вахитова, д. 806 стр. 6
наб. Верхняя, д. 13 стр. 4/4
наб. Верхняя, д. 97
наб. Веселая, д. 3/4
наб. Весенняя, д. 7/6 стр. 2
наб. Виноградная, д. 2/4 стр. 210
наб. Вишневая, д. 117 стр. 7
наб. Волгоградская, д. 8/8 к. 6/9
наб. Волжская, д. 256
наб. Волжская, д. 72 стр. 99
наб. Волжская, д. 8/3 стр. 8
наб. Волкова, д. 526
наб. Воровского, д. 53 стр. 4
наб. Выгонная, д. 98 стр. 1/4
наб. Гагарина, д. 5/7 стр. 27
наб. Гагарина, д. 9
наб. Гайдара, д. 6/1
наб. Гафури, д. 60 к. 5
наб. Гафури, д. 665 стр. 8
наб. Гвардейская, д. 7/3 к. 3/1
наб. Геологическая, д. 2 стр. 2
наб. Главная, д. 6/7 стр. 8
наб. Гончарова, д. 28 к. 20
наб. Горняцкая, д. 583
наб. Горняцкая, д. 8 к. 3/5
наб. Горького, д. 7
наб. Громова, д. 304 стр. 7/9
наб. Громова, д. 4/2 стр. 436
наб. Дальневосточная, д. 480 стр. 757
наб. Дарвина, д. 8/2 к. 4/2
наб. Дарвина, д. 84 к. 6
наб. Декабристов, д. 3 к. 8/1
наб. Декабристов, д. 5/3 к. 28
наб. Депутатская, д. 2 к. 501
наб. Дзержинского, д. 4 к. 5
наб. Дзержинского, д. 639 к. 2
наб. Донская, д. 5 к. 664
наб. Дорожников, д. 88 стр. 880
наб. Достоевского, д. 407 стр. 1/5
наб. Достоевского, д. 913 стр. 9/2
наб. Ермака, д. 490 стр. 8
наб. Жданова, д. 339 к. 6
наб. Жукова, д. 88 к. 3
наб. З.Космодемьянской, д. 1/6 стр. 8/8
наб. З.Космодемьянской, д. 157 к. 245
наб. Заливная, д. 5
наб. Заовражная, д. 5/1 стр. 3
наб. Заозерная, д. 2 к. 555
наб. Западная, д. 76
наб. Звездная, д. 8/8 стр. 24
наб. Зои Космодемьянской, д. 156
наб. Ивановская, д. 35 к. 9/1
наб. Ильича, д. 14
наб. Ильича, д. 5 к. 8/5
наб. Индустриальная, д. 3/3 стр. 1/1
наб. Инженерная, д. 30 к. 44
наб. Кавказская, д. 15 стр. 246
наб. Казачья, д. 5 к. 1/2
наб. Калужская, д. 8 стр. 340
наб. Камская, д. 2
наб. Камская, д. 8 к. 3/3
наб. Карбышева, д. 21 стр. 9/4
наб. Карьерная, д. 5 стр. 629
наб. Карьерная, д. 725
наб. Каштановая, д. 52
наб. Киевская, д. 9 стр. 7/4
наб. Клары Цеткин, д. 900 к. 563
наб. Коллективная, д. 7 к. 9/4
наб. Колхозная, д. 9/2
наб. Кольцевая, д. 164 к. 225
наб. Кольцова, д. 20
наб. Кольцова, д. 84 стр. 200
наб. Комарова, д. 9 к. 177
наб. Коммунистическая, д. 301 к. 8
наб. Космодемьянской, д. 1 стр. 7/2
наб. Кочубея, д. 29
наб. Кошевого, д. 65 к. 9
наб. Красина, д. 2
наб. Красина, д. 4/6
наб. Красина, д. 7 к. 530
наб. Красная, д. 7/2
наб. Красная, д. 91 стр. 80
наб. Краснофлотская, д. 1 стр. 89
наб. Крупской, д. 1 стр. 4/4
наб. Крупской, д. 62 стр. 530
наб. Кузнецкая, д. 759
наб. Курганная, д. 50 к. 557
наб. Ленина, д. 4 стр. 7
наб. Ленина, д. 5
наб. Лермонтова, д. 4/6 к. 8
наб. Лермонтова, д. 904 к. 8/4
наб. Лесозаводская, д. 72 стр. 8
наб. Литейная, д. 567
наб. Литейная, д. 76
наб. Локомотивная, д. 23 к. 9/3
наб. Локомотивная, д. 549 к. 2/2
наб. Локомотивная, д. 9 к. 6/3
наб. Локомотивная, д. 980 стр. 4
наб. Луначарского, д. 225 к. 9
наб. Луначарского, д. 5/1
наб. Лунная, д. 13 стр. 163
наб. Лунная, д. 70 к. 385
наб. Макарова, д. 6 к. 9/2
наб. Малая, д. 4 к. 6/9
наб. Малая, д. 8 стр. 6/3
наб. Малиновая, д. 50
наб. Маркса, д. 3/5 стр. 33
наб. Марта 8, д. 9 к. 522
наб. Машиностроителей, д. 920 к. 8/3
наб. Мелиоративная, д. 5 к. 7
наб. Мелиоративная, д. 9/6
наб. Металлистов, д. 20 стр. 6
наб. Механизаторов, д. 16 стр. 2/7
наб. Механическая, д. 3/9 стр. 9
наб. Микрорайон, д. 1 стр. 1/8
наб. Минина, д. 926
наб. Монтажников, д. 7/4
наб. Морская, д. 9/8 стр. 795
наб. Московская, д. 8 к. 2/5
наб. Моховая, д. 5 к. 4
наб. Мусы Джалиля, д. 4/1
наб. Невского, д. 7
наб. Нижняя, д. 440
наб. Никитина, д. 51 к. 71
наб. Новгородская, д. 9/5
наб. Новосельская, д. 37
наб. Новостройка, д. 4/4 к. 4
наб. Новостройка, д. 6/2
наб. Огородная, д. 1 стр. 440
наб. Огородная, д. 4/6 стр. 42
наб. Октябрьская, д. 6/9 к. 11
наб. Олимпийская, д. 610
наб. Ольховая, д. 45
наб. Омская, д. 1/2
наб. Осенняя, д. 388 к. 2
наб. Островского, д. 4 стр. 49
наб. Островского, д. 8/7 к. 6/1
наб. Отрадная, д. 5
наб. Панфилова, д. 7 к. 86
наб. Парковая, д. 44 стр. 3/9
наб. Партизанская, д. 5 к. 4
наб. Пархоменко, д. 1/9 стр. 20
наб. Первомайская, д. 1
наб. Песочная, д. 17
наб. Пирогова, д. 867
наб. Победа, д. 6
наб. Победы, д. 9/8
наб. Пожарского, д. 1/1 к. 31
наб. Полтавская, д. 509
наб. Почтовая, д. 4 к. 654
наб. Почтовая, д. 88 стр. 3
наб. Прибрежная, д. 90
наб. Привокзальная, д. 5/2 стр. 847
наб. Привокзальная, д. 5/4 стр. 7/1
наб. Привольная, д. 1/2 к. 80
наб. Привольная, д. 9/5 стр. 6/3
наб. Приморская, д. 1 стр. 9/9
наб. Приозерная, д. 83
наб. Производственная, д. 907 стр. 150
наб. Пролетарская, д. 5 к. 6/2
наб. Проточная, д. 85 к. 51
наб. Профсоюзная, д. 955
наб. Прохладная, д. 98
наб. Прудная, д. 8 к. 7
