Borgo Adelasia, 6 Piano 0
Borgo Rienzo, 872
Borgo Rosa, 36 Appartamento 8
Borgo Rosario, 28
Borgo Saffi, 74
Borgo Sagnelli, 62 Appartamento 15
Borgo Sauro, 7 Appartamento 5
Borgo Segni, 13 Appartamento 71
Borgo Sergius, 894
Borgo Sgalambro, 67 Appartamento 9
Borgo Silvestro, 54 Piano 4
Borgo Silvestro, 6 Appartamento 72
Borgo Sollima, 73
Borgo Sorrentino, 15 Appartamento 0
Borgo Sraffa, 9
Borgo Tartaglia, 27 Appartamento 28
Borgo Tedesco, 251 Appartamento 42
Borgo Tina, 85 Piano 7
Borgo Tiziano, 867
Borgo Tognazzi, 10
Borgo Tomasini, 1
Borgo Tonino, 238 Piano 7
Borgo Toscani, 99 Piano 0
Borgo Toselli, 168 Appartamento 41
Borgo Treves, 446 Piano 7
Borgo Trevisan, 84 Appartamento 95
Borgo Tron, 67
Borgo Ubaldi, 84 Appartamento 59
Borgo Verdone, 88 Appartamento 43
Borgo Villadicani, 312
Borgo Vincenzo, 6 Piano 9
Borgo Virginia, 31 Appartamento 47
Borgo Vivaldi, 147 Appartamento 67
Borgo Zichichi, 59
Borgo Zoppetto, 14 Appartamento 7
Canale Abatantuono, 4
Canale Alderano, 96
Canale Aldobrandi, 1 Appartamento 37
Canale Alessandro, 46
Canale Alessandro, 721
Canale Amico, 14
Canale Ammaniti, 97
Canale Angelica, 768
Canale Annibale, 59
Canale Antonetti, 18 Piano 7
Canale Antonietta, 50 Appartamento 74
Canale Arturo, 35
Canale Asprucci, 11 Appartamento 4
Canale Azeglio, 49
Canale Baccio, 59
Canale Belletini, 7 Piano 7
Canale Benedetti, 60 Piano 8
Canale Beppe, 37 Piano 9
Canale Beppe, 92
Canale Bettoni, 93 Appartamento 23
Canale Borromeo, 951 Appartamento 39
Canale Branciforte, 728 Piano 4
Canale Cabibbo, 44
Canale Caetani, 369
Canale Cafarchia, 74
Canale Calbo, 881 Piano 2
Canale Calogero, 91
Canale Campanella, 57 Appartamento 9
Canale Ceci, 832
Canale Cipriano, 134
Canale Cipriano, 739 Piano 0
Canale Clelia, 40 Piano 6
Canale Cociarelli, 9 Piano 4
Canale Columbo, 48
Canale Concetta, 30
Canale Condoleo, 275
Canale Coriolano, 149 Piano 9
Canale Coriolano, 289 Appartamento 31
Canale Crisafulli, 54 Appartamento 8
Canale Curiel, 836 Appartamento 9
Canale Damiano, 562
Canale Daria, 1 Piano 0
Canale Daria, 173 Appartamento 63
Canale Daria, 3
Canale Daria, 55 Piano 9
Canale Diana, 13
Canale Dino, 47
Canale Dino, 831 Appartamento 9
Canale Donatella, 328
Canale Donatello, 60
Canale Dovara, 37 Appartamento 43
Canale Elena, 529 Piano 1
Canale Emanuelli, 573
Canale Emilio, 8 Appartamento 5
Canale Ennio, 637
Canale Enzio, 41
Canale Ermanno, 1 Appartamento 8
Canale Ermes, 88 Appartamento 4
Canale Ettore, 619 Piano 0
Canale Fabio, 2
Canale Fantozzi, 262 Appartamento 4
Canale Fedele, 6 Appartamento 2
Canale Federica, 66 Appartamento 31
Canale Ferrata, 853
Canale Ferretti, 6
Canale Filippo, 4 Piano 9
Canale Fiorino, 694
Canale Fiorino, 77 Appartamento 65
Canale Foa, 552 Piano 4
Canale Foconi, 0 Piano 6
Canale Fortunata, 8
Canale Francesca, 728 Appartamento 5
Canale Fredo, 76
Canale Garozzo, 782
Canale Gastone, 5 Piano 6
Canale Giampaolo, 6 Appartamento 9
Canale Giampiero, 37 Piano 7
Canale Giancarlo, 37
Canale Ginesio, 14
Canale Gioffre, 9
Canale Giosuè, 9 Appartamento 9
Canale Giuliana, 51
Canale Giulietti, 32 Appartamento 3
Canale Giulietti, 793
Canale Greggio, 57 Appartamento 86
Canale Guarino, 1 Piano 2
Canale Hugo, 1
Canale Iannuzzi, 89
Canale Ilaria, 52
Canale Imelda, 34
Canale Juvara, 7
Canale Lamberto, 241
Canale Lara, 24
Canale Lara, 596
Canale Lauretta, 15
Canale Lazzaro, 48 Appartamento 53
Canale Leone, 5
Canale Leone, 967 Piano 8
Canale Licia, 53
Canale Livia, 1
Canale Lombroso, 480
Canale Luca, 39
Canale Luisa, 3
Canale Luisa, 69 Piano 4
Canale Luria, 38 Appartamento 3
Canale Malpighi, 8 Appartamento 3
Canale Manacorda, 5 Appartamento 11
Canale Marco, 10 Piano 2
Canale Marco, 46 Piano 4
Canale Maria, 456
Canale Mariano, 8
Canale Martinelli, 27
Canale Mascagni, 97 Piano 5
Canale Mastroianni, 83
Canale Matilda, 19 Piano 7
Canale Matilda, 613 Appartamento 49
Canale Mazzacurati, 7
Canale Michela, 715 Piano 6
Canale Milena, 680 Appartamento 9
Canale Mirko, 59 Piano 9
Canale Mondaini, 149 Piano 4
Canale Monica, 3 Piano 7
Canale Montalcini, 610
Canale Monti, 2
Canale Morena, 3
Canale Morena, 372 Appartamento 80
Canale Morpurgo, 93
Canale Navarria, 22 Appartamento 3
Canale Nedda, 2
Canale Nicolò, 4
Canale Nina, 22 Piano 6
Canale Nordio, 1
Canale Oscuro, 71
Canale Pasqua, 52 Appartamento 6
Canale Pasquale, 52
Canale Pedrazzini, 64 Appartamento 15
Canale Pepe, 10
Canale Pier, 94
Canale Pierangelo, 59
Canale Piermaria, 50 Piano 0
Canale Pina, 34
Canale Piovani, 3 Appartamento 83
Canale Pisacane, 222 Appartamento 2
Canale Pistoletto, 3
Canale Polani, 76
Canale Ponti, 41 Appartamento 2
Canale Prati, 334 Piano 4
Canale Prati, 899
Canale Pucci, 66 Piano 1
Canale Ramona, 8
Canale Renata, 462 Appartamento 6
Canale Renzo, 5
Canale Rismondo, 1
Canale Rismondo, 6
Canale Rolando, 21 Appartamento 2
Canale Rolando, 89
Canale Romagnoli, 2 Piano 0
Canale Romina, 45 Piano 1
Canale Romolo, 70 Appartamento 5
Canale Rosalia, 95
Canale Rosaria, 22 Appartamento 0
Canale Rosaria, 32
Canale Rosselli, 57
Canale Russo, 74 Piano 3
Canale Sante, 65
Canale Sebastiano, 17 Appartamento 19
Canale Serafina, 787
Canale Sergius, 46 Piano 7
Canale Smirnoff, 39 Appartamento 82
Canale Soderini, 45
Canale Soderini, 96
Canale Spinola, 41 Piano 3
Canale Stefano, 10
Canale Stein, 25
Canale Stella, 9
Canale Tamborini, 4 Piano 4
Canale Tanzini, 973
Canale Tomei, 0 Appartamento 15
Canale Torquato, 14
Canale Torquato, 58 Appartamento 34
Canale Tozzi, 2
Canale Turchetta, 236 Piano 8
Canale Valentina, 361
Canale Vincentio, 967
Canale Virgilio, 56
Canale Vittoria, 479
Canale Zecchini, 78
Canale Zecchini, 94
Contrada Achille, 11
Contrada Adelmo, 92
Contrada Adriana, 569
Contrada Adriana, 81
Contrada Agostinelli, 98
Contrada Alboni, 46
Contrada Alderano, 478 Piano 5
Contrada Alessio, 40 Appartamento 8
Contrada Alfio, 1 Appartamento 85
Contrada Alfredo, 4
Contrada Alighieri, 22
Contrada Alina, 24 Appartamento 3
Contrada Alina, 54
Contrada Amalia, 57
Contrada Amanda, 616 Piano 1
Contrada Amedeo, 7 Piano 7
Contrada Angelo, 46 Piano 0
Contrada Anichini, 386
Contrada Antonelli, 52 Piano 0
Contrada Antonello, 98 Appartamento 46
Contrada Antonietta, 62
Contrada Antonioni, 74
Contrada Azeglio, 289
Contrada Baccio, 81 Appartamento 2
Contrada Bajamonti, 48 Piano 9
Contrada Barsanti, 31 Piano 3
Contrada Battaglia, 0 Appartamento 8
Contrada Bernardi, 734
Contrada Bernetti, 9 Appartamento 8
Contrada Bertoli, 220 Piano 1
Contrada Bettina, 54 Piano 8
Contrada Binaghi, 88
Contrada Boccherini, 58
Contrada Bombieri, 8
Contrada Bonanno, 28 Piano 8
Contrada Bonatti, 71
Contrada Bragaglia, 7
Contrada Burcardo, 334
Contrada Cammarata, 13 Piano 2
Contrada Carfagna, 1
Contrada Carli, 69 Piano 3
Contrada Carullo, 8
Contrada Casini, 5 Piano 6
Contrada Cavanna, 855
Contrada Cesare, 619
Contrada Ciampi, 6 Appartamento 17
Contrada Ciampi, 751
Contrada Cimini, 2 Appartamento 55
Contrada Concetta, 21 Piano 8
Contrada Correr, 14
Contrada Costantino, 76
Contrada Crispi, 152 Piano 4
Contrada Crispi, 887 Piano 2
Contrada Cundari, 32 Appartamento 98
Contrada Cutuli, 4 Appartamento 51
Contrada Dalla, 63 Piano 7
Contrada Dallara, 0 Appartamento 8
Contrada Damiano, 67 Appartamento 2
Contrada Daria, 76 Appartamento 2
Contrada Doglioni, 786 Appartamento 0
Contrada Dolores, 217 Piano 2
Contrada Donarelli, 1 Piano 9
Contrada Donatella, 63 Appartamento 68
Contrada Donatello, 1 Piano 5
Contrada Donati, 8 Piano 3
Contrada Doria, 340
Contrada Durante, 65 Appartamento 52
Contrada Edoardo, 694 Appartamento 6
Contrada Emanuelli, 61 Appartamento 0
Contrada Enzio, 2
Contrada Ernesto, 7 Piano 5
Contrada Etta, 150
Contrada Etta, 4
Contrada Fagotto, 61
Contrada Fantozzi, 514 Appartamento 9
Contrada Fausto, 17 Appartamento 9
Contrada Federica, 49
Contrada Federico, 2
Contrada Ferdinando, 2 Piano 3
Contrada Ferrari, 3 Piano 9
Contrada Ferrata, 97 Appartamento 0
Contrada Ficino, 82
Contrada Filippa, 486
Contrada Fortunata, 95
Contrada Franzese, 795
Contrada Fusani, 97 Appartamento 1
Contrada Gabba, 271 Piano 4
Contrada Galtarossa, 12
Contrada Gangemi, 8 Appartamento 5
Contrada Gelli, 21 Piano 1
Contrada Gelli, 38
Contrada Geraci, 677
Contrada Germana, 892
Contrada Giacinto, 835 Appartamento 92
Contrada Giacomo, 6 Piano 6
Contrada Giancarlo, 94
Contrada Giannelli, 587
Contrada Gianvecchio, 0
Contrada Gibilisco, 54
Contrada Gioffre, 0
Contrada Gionata, 330
Contrada Giustino, 45 Piano 8
Contrada Goffredo, 34 Appartamento 78
Contrada Gonzaga, 0
Contrada Gottardi, 5
Contrada Guariento, 9 Piano 2
Contrada Hugo, 27 Piano 3
Contrada Iannuzzi, 86
Contrada Ignazio, 474 Piano 6
Contrada Isa, 73 Appartamento 30
Contrada Ivan, 8 Appartamento 0
Contrada Laura, 78 Piano 4
Contrada Lazzaro, 2 Appartamento 8
Contrada Lisa, 60
Contrada Luciani, 345 Piano 1
Contrada Ludovisi, 45 Appartamento 98
Contrada Luigi, 7 Appartamento 93
Contrada Magrassi, 167
Contrada Majorana, 12
Contrada Manuel, 14
Contrada Marina, 86 Piano 1
Contrada Matilda, 651 Piano 6
Contrada Mattia, 322 Appartamento 0
Contrada Maura, 99
Contrada Micheletto, 19 Piano 8
Contrada Miniati, 74
Contrada Modiano, 9 Piano 8
Contrada Mondadori, 69
Contrada Montalcini, 4 Piano 5
Contrada Morena, 590
Contrada Morrocco, 61 Appartamento 6
Contrada Muti, 67 Piano 9
Contrada Nanni, 50 Piano 1
Contrada Nibali, 750 Piano 1
Contrada Nicola, 54
Contrada Nicoletta, 443
Contrada Nugnes, 20
Contrada Oreste, 58 Appartamento 73
Contrada Orlando, 10 Piano 6
Contrada Ottone, 6
Contrada Pacillo, 36
Contrada Palazzo, 5
Contrada Palazzo, 773 Appartamento 71
Contrada Palombi, 88 Appartamento 89
Contrada Panzera, 52
Contrada Parmitano, 59
Contrada Paruta, 15 Appartamento 4
Contrada Patrizio, 8 Appartamento 6
Contrada Peruzzi, 20 Appartamento 25
Contrada Piane, 34
Contrada Pierluigi, 55 Appartamento 3
Contrada Pierluigi, 8 Appartamento 75
Contrada Piero, 94 Piano 8
Contrada Piersanti, 543 Appartamento 3
Contrada Pistoletto, 0 Piano 5
Contrada Pompeo, 535
Contrada Ramona, 167
Contrada Ranieri, 4 Piano 0
Contrada Redi, 92 Appartamento 4
Contrada Riccardi, 31 Piano 3
Contrada Rizzo, 78 Piano 2
Contrada Rocco, 58
Contrada Rosario, 43 Appartamento 61
Contrada Rossana, 3
Contrada Roth, 233 Piano 9
Contrada Salvatore, 60 Piano 5
Contrada Sansoni, 4
Contrada Sante, 3 Piano 8
Contrada Sanudo, 47 Piano 3
Contrada Satriani, 29
Contrada Sauro, 3
Contrada Saverio, 98
Contrada Scarlatti, 921 Appartamento 5
Contrada Sebastiano, 348
Contrada Semitecolo, 6
Contrada Serena, 39 Appartamento 8
Contrada Sergius, 487 Appartamento 4
Contrada Sergius, 558 Piano 4
Contrada Silvia, 864
Contrada Silvio, 51 Appartamento 4
Contrada Sole, 69 Piano 6
Contrada Sollima, 83
Contrada Spadafora, 46
Contrada Staglieno, 7 Appartamento 42
Contrada Stefani, 269
Contrada Taliani, 46 Piano 9
Contrada Taliercio, 2
Contrada Tamburello, 64 Piano 7
Contrada Toldo, 441 Piano 0
Contrada Torlonia, 56 Piano 3
Contrada Tozzo, 8
Contrada Trotta, 2 Piano 5
Contrada Turrini, 486 Piano 3
Contrada Valerio, 2 Piano 4
Contrada Vigliotti, 81 Piano 0
Contrada Vincenza, 9 Piano 7
Contrada Vincenzo, 33 Appartamento 6
Contrada Vincenzo, 40
Contrada Vincenzo, 91 Appartamento 48
Contrada Vito, 41
Contrada Vittoria, 758 Appartamento 6
Contrada Zamorani, 533
Incrocio Adelmo, 68
Incrocio Agostino, 0 Piano 6
Incrocio Alberico, 82
Incrocio Alessandra, 34
Incrocio Alessandro, 65
Incrocio Alessio, 759
Incrocio Alighieri, 72 Piano 6
Incrocio Amadeo, 5 Piano 9
Incrocio Amleto, 44
Incrocio Angelica, 92 Piano 8
Incrocio Antonello, 29 Piano 2
Incrocio Antonia, 25 Appartamento 9
Incrocio Antonio, 57
Incrocio Argenti, 84 Piano 2
Incrocio Badoer, 7 Piano 6
Incrocio Baldassare, 910
Incrocio Bartoli, 481 Appartamento 5
Incrocio Bartolomeo, 68 Appartamento 83
Incrocio Battelli, 2 Piano 3
Incrocio Bettina, 80 Piano 7
Incrocio Biagio, 6 Appartamento 2
Incrocio Borromeo, 10 Piano 4
Incrocio Borroni, 299
Incrocio Bruno, 10 Appartamento 4
Incrocio Bruno, 46
Incrocio Bruscantini, 672
Incrocio Burcardo, 2 Appartamento 6
Incrocio Calogero, 45
Incrocio Camilleri, 74 Appartamento 11
Incrocio Camuccini, 66
Incrocio Canil, 93
Incrocio Carlo, 75 Piano 3
Incrocio Caterina, 7 Piano 5
Incrocio Cecilia, 42 Piano 3
Incrocio Chinnici, 9 Appartamento 0
Incrocio Columbo, 81 Appartamento 5
Incrocio Condoleo, 49
Incrocio Curci, 7
Incrocio Daria, 20
Incrocio Depero, 62
Incrocio Desio, 0 Piano 4
Incrocio Dino, 61
Incrocio Donatello, 9 Appartamento 3
Incrocio Draghi, 2 Appartamento 74
Incrocio Edoardo, 67 Piano 7
Incrocio Elena, 5 Piano 7
Incrocio Eliana, 353 Appartamento 37
Incrocio Eliana, 388
Incrocio Elladio, 474
Incrocio Elladio, 578
Incrocio Elvira, 6
Incrocio Eraldo, 9
Incrocio Errigo, 10
Incrocio Errigo, 71 Appartamento 4
Incrocio Fabrizia, 63
Incrocio Fedele, 23 Piano 0
Incrocio Federico, 72 Appartamento 8
Incrocio Federico, 72 Piano 3
Incrocio Ferdinando, 8
Incrocio Fermi, 82
Incrocio Ferrara, 77
Incrocio Ferraris, 35 Piano 3
Incrocio Filogamo, 850 Appartamento 23
Incrocio Finzi, 74 Piano 9
Incrocio Fornaciari, 2
Incrocio Fortunata, 8 Piano 3
Incrocio Francesco, 8
Incrocio Gastone, 50 Piano 1
Incrocio Gelsomina, 140 Appartamento 3
Incrocio Geraci, 0
Incrocio Geraci, 939
Incrocio Giacobbe, 33 Piano 7
Incrocio Giada, 672
Incrocio Giampiero, 623
Incrocio Gian, 20 Piano 1
Incrocio Gianfrancesco, 983 Piano 6
Incrocio Gioele, 57
Incrocio Giorgia, 15
Incrocio Giosuè, 1
Incrocio Giulietti, 54
Incrocio Giulio, 2
Incrocio Giuseppina, 23
Incrocio Goffredo, 82 Piano 1
Incrocio Govoni, 35 Appartamento 2
Incrocio Iannelli, 61
Incrocio Irma, 16 Piano 2
Incrocio Jolanda, 67 Piano 7
Incrocio Jovinelli, 5 Piano 0
Incrocio Leonardo, 937
Incrocio Leopoldo, 65
Incrocio Lisa, 17 Piano 1
Incrocio Lollobrigida, 1 Piano 1
Incrocio Luciana, 37 Appartamento 21
Incrocio Lussu, 37
Incrocio Mantegazza, 47 Piano 5
Incrocio Marcello, 558
Incrocio Marcello, 619
Incrocio Mariano, 84 Appartamento 8
Incrocio Marta, 62 Piano 1
Incrocio Martino, 66
Incrocio Maura, 197 Appartamento 6
Incrocio Melania, 40
Incrocio Melina, 69
Incrocio Mercedes, 1
Incrocio Michelangelo, 122
Incrocio Micheletto, 0
Incrocio Mirco, 565
Incrocio Mirko, 86
Incrocio Mogherini, 84 Piano 2
Incrocio Montalcini, 69
Incrocio Monte, 67
Incrocio Nadia, 6
Incrocio Necci, 72
Incrocio Nugnes, 93
Incrocio Pavone, 41 Piano 1
Incrocio Pedrazzini, 32 Piano 4
Incrocio Pergolesi, 74 Appartamento 4
Incrocio Peruzzi, 52
Incrocio Petrassi, 67 Piano 3
Incrocio Piane, 87
Incrocio Pier, 26 Appartamento 65
Incrocio Piergiorgio, 49
Incrocio Pierluigi, 916 Appartamento 4
Incrocio Pietro, 20
Incrocio Pininfarina, 1
Incrocio Pizzetti, 510
Incrocio Pratesi, 34 Appartamento 72
Incrocio Ranieri, 75
Incrocio Ravaglioli, 168 Appartamento 8
Incrocio Ricolfi, 59 Appartamento 3
Incrocio Rita, 199 Appartamento 8
Incrocio Romagnoli, 21
Incrocio Ronaldo, 81
Incrocio Rosalia, 9 Piano 6
Incrocio Rubbia, 28 Piano 0
Incrocio Salata, 72 Appartamento 16
Incrocio Salieri, 29
Incrocio Salvi, 44
Incrocio Sauro, 16 Appartamento 85
Incrocio Sauro, 90
Incrocio Scaduto, 28 Appartamento 1
Incrocio Schiavone, 70
Incrocio Serafina, 832
Incrocio Sermonti, 18
Incrocio Silvia, 9
Incrocio Simone, 679 Piano 9
Incrocio Sole, 37 Piano 1
Incrocio Sollima, 52 Piano 5
Incrocio Sonnino, 99 Piano 5
Incrocio Sophia, 7 Appartamento 63
Incrocio Stella, 416 Piano 4
Incrocio Stradivari, 3 Appartamento 51
Incrocio Sylvia, 44
Incrocio Sylvia, 68
Incrocio Tacchini, 21
Incrocio Tamburini, 255
Incrocio Tasso, 5 Piano 9
Incrocio Tatiana, 84
Incrocio Telemaco, 66
Incrocio Temistocle, 96 Piano 7
Incrocio Tomei, 150 Appartamento 61
Incrocio Tommaseo, 7
Incrocio Toso, 8
Incrocio Travia, 2 Piano 9
Incrocio Trebbi, 7 Appartamento 7
Incrocio Treves, 26
Incrocio Trotta, 20
Incrocio Turati, 1
Incrocio Ugo, 94
Incrocio Valentino, 62 Piano 7
Incrocio Varano, 755 Piano 9
Incrocio Vento, 46
Incrocio Veronica, 8 Piano 4
Incrocio Vincentio, 11
Incrocio Vincenza, 462
Incrocio Virgilio, 998
Incrocio Viridiana, 7
Incrocio Vittadello, 0 Appartamento 9
Incrocio Zamengo, 13
Piazza Agostinelli, 9
Piazza Alessio, 43 Piano 0
Piazza Alfonsi, 74
Piazza Alina, 11
Piazza Anguissola, 26 Appartamento 8
Piazza Annamaria, 1
Piazza Annetta, 9
Piazza Antonella, 46 Piano 8
Piazza Aporti, 81 Appartamento 6
Piazza Asmundo, 1 Piano 8
Piazza Babbo, 491
Piazza Badoglio, 15 Piano 7
Piazza Baldassare, 559 Appartamento 0
Piazza Berenice, 143
Piazza Berenice, 33 Appartamento 59
Piazza Bertoli, 87
Piazza Bettina, 31 Appartamento 37
Piazza Bettina, 77 Appartamento 14
Piazza Bianchi, 97 Appartamento 4
Piazza Bocca, 845 Piano 8
Piazza Borromeo, 93
Piazza Bosurgi, 14 Appartamento 29
Piazza Brambilla, 3
Piazza Briccialdi, 0 Piano 7
Piazza Calogero, 8 Appartamento 26
Piazza Campanella, 956 Piano 2
Piazza Campise, 328 Piano 3
Piazza Canevascini, 56 Appartamento 8
Piazza Canil, 66 Appartamento 60
Piazza Casini, 9 Appartamento 25
Piazza Cassandra, 0 Appartamento 79
Piazza Castelli, 23
Piazza Cipriano, 735
Piazza Cirillo, 95 Appartamento 4
Piazza Claudio, 0
Piazza Clelia, 26 Piano 0
Piazza Columbo, 276 Piano 0
Piazza Conte, 352 Piano 6
Piazza Costantino, 473
Piazza Donarelli, 11 Appartamento 1
Piazza Donna, 8
Piazza Edoardo, 5
Piazza Elmo, 136
Piazza Elmo, 9 Appartamento 4
Piazza Ettore, 4 Piano 9
Piazza Ettore, 8
Piazza Eugenia, 56
Piazza Federigo, 5
Piazza Federigo, 577 Piano 4
Piazza Fernanda, 568 Piano 1
Piazza Fibonacci, 70
Piazza Filangieri, 4 Piano 5
Piazza Filippo, 62
Piazza Fiorenzo, 3
Piazza Foa, 4
Piazza Fusani, 99 Appartamento 3
Piazza Gaetano, 796 Piano 3
Piazza Gaiatto, 3 Piano 8
Piazza Galilei, 52
Piazza Gaspare, 15
Piazza Gastone, 57
Piazza Gelsomina, 4 Piano 9
Piazza Giacobbe, 391 Appartamento 38
Piazza Gianmarco, 356
Piazza Giannetti, 51 Piano 9
Piazza Gianpaolo, 0
Piazza Gianpaolo, 228
Piazza Gianpaolo, 3 Piano 7
Piazza Gioberti, 95
Piazza Giuseppina, 94
Piazza Giustino, 3
Piazza Gori, 50
Piazza Granatelli, 83 Piano 8
Piazza Grimani, 469
Piazza Grisoni, 73
Piazza Guinizzelli, 0
Piazza Jacopo, 576 Piano 5
Piazza Leone, 0 Piano 4
Piazza Liana, 8
Piazza Lisa, 11
Piazza Livia, 95
Piazza Lucio, 82
Piazza Lucrezia, 8 Piano 9
Piazza Lucrezia, 944
Piazza Luigi, 49
Piazza Luigi, 986
Piazza Malatesta, 353
Piazza Manolesso, 873
Piazza Marcella, 4 Piano 7
Piazza Marconi, 53
Piazza Martino, 89
Piazza Mastandrea, 20
Piazza Maura, 2
Piazza Maurilio, 4 Piano 9
Piazza Melissa, 6 Piano 7
Piazza Micheletto, 30
Piazza Moneta, 93 Piano 2
Piazza Monti, 831
Piazza Murri, 67
Piazza Naccari, 6 Piano 1
Piazza Naccari, 878
Piazza Nedda, 42 Piano 8
Piazza Nino, 90 Appartamento 7
Piazza Oliboni, 86 Piano 2
Piazza Olivetti, 7 Appartamento 74
Piazza Orengo, 576
Piazza Oreste, 71 Piano 1
Piazza Orlando, 18
Piazza Ossani, 39
Piazza Padovano, 0
Piazza Paloma, 84 Piano 3
Piazza Parmitano, 67 Appartamento 54
Piazza Pepe, 4
Piazza Pezzali, 66 Piano 6
Piazza Piergiorgio, 52 Piano 7
Piazza Piergiuseppe, 5
Piazza Piergiuseppe, 54 Piano 7
Piazza Piero, 498
Piazza Piero, 9 Piano 8
Piazza Pignatti, 112 Appartamento 5
Piazza Prati, 73 Appartamento 34
Piazza Ramona, 2
Piazza Rastelli, 1 Appartamento 38
Piazza Respighi, 87 Appartamento 1
