Aasalléen 934, 8709 Knutbø
Berntsengropa 3, 9536 Helenesund
Berntsengropa 90, 4017 Kristiansen
Berntsenholtet 07F, 1154 Tangen
Berntsenholtet 7, 1019 Lund
Berntsenhøgda 11, 7518 Åsefjell
Berntsenhøgda 2, 6152 Lisehamn
Berntsenjordet 8D, 3848 Dahl
Berntsenløkka 1, 7895 Hanssen
Berntsenmarka 21, 9744 Karlsen
Berntsenplassen 8, 2719 Pedersen
Berntsenskrenten 4, 0776 Hagen
Berntsenspranget 5, 4148 Sivertsen
Berntsenspranget 75, 4294 Svendsen
Berntsensvingen 80, 1600 Sandvik
Berntsentjernet 79F, 3161 Kjetilvik
Berntsentoppen 8, 6199 Jørgensen
Berntsenvika 3, 5887 Martinegrunn
Berntsenåsen 21, 5965 Petterøy
Berntsenåsen 5, 3185 Nilsgrunn
Birkelandalléen 935, 9874 Abrahamsen
Birkelandeggen 4, 2349 Rolfsund
Birkelandeggen 85C, 8322 Annaberg
Birkelandeggen 9B, 0972 Haug
Birkelandholtet 20E, 9701 Johnsen
Birkelandhøgda 476, 8845 Moen
Birkelandjordet 2, 7560 Haugen
Birkelandjordet 681, 4578 Stigborg
Birkelandlunden 93E, 5134 Bakken
Birkelandlyngen 195, 2489 Aune
Birkelandmoen 88, 0703 Andresen
Birkelandringen 1, 1299 Ruud
Birkelandringen 2A, 3681 Knudsen
Birkelandstien 1A, 2616 Siljefjord
Birkelandstien 6, 6626 Håkonvåg
Birkelandstien 72, 8070 Karivik
Birkelandstranda 87B, 8471 Dahl
Birkelandstubben 2D, 2274 Gunnargrunn
Birkelandstykket 2, 6524 Gundersen
Birkelandstykket 8H, 0742 Amundsen
Birkelandtjernet 06D, 1632 Ruud
Birkelandvika 5, 4976 Kristoffersen
Birkelandåsen 8, 0911 Reidunbø
Brekkebråten 50, 8539 Maygrunn
Brekkeeggen 8G, 0134 Jenssen
Brekkeekra 70, 9499 Andresen
Brekkeengen 3B, 1170 Kjerstisund
Brekkeengen 4, 2976 Solveigøy
Brekkeengen 7B, 5568 Mathisen
Brekkeengen 970, 5711 Geirborg
Brekkegrenda 5, 6428 Elisestad
Brekkejordet 9E, 9598 Hansen
Brekkekollen 7, 6831 Berg
Brekkekroken 4, 3920 Lie
Brekkelunden 4, 0239 Jensen
Brekkelunden 931, 0601 Tveit
Brekkemarka 30, 6773 Cathrinefjord
Brekketjernet 96, 5291 Martinborg
Brekkevika 1A, 2205 Strand
Brekkevollen 8, 2558 Pettersen
Brekkeåsen 5, 9607 Gundersen
Bøealléen 5, 4002 Lunde
Bøealléen 9, 7712 Arnesen
Bøebakken 36, 1922 Tovemark
Bøeberget 90B, 3663 Haug
Bøegata 17F, 6288 Mathisen
Bøegata 926, 6808 Thomassen
Bøegjerdet 25, 0053 Eriksen
Bøegrenda 1, 6791 Marieås
Bøehavna 6, 5464 Moen
Bøelunden 47D, 4499 Gulbrandsen
Bøelyngen 62C, 2226 Sørensen
Bøemoen 44, 0012 Alfstrand
Bøemoen 70, 2068 Gundersen
Bøemyra 8B, 3356 Trondstad
Bøeringen 39, 0355 Hagen
Bøeroa 73B, 5331 Andresen
Bøeskrenten 95, 5506 Egilsund
Bøestien 3C, 8152 Larsen
Bøestien 9, 6550 Mariadal
Bøesvingen 5, 2724 Jennyby
Bøetjernet 45, 6200 Einarø
Bøetjernet 9, 8899 Nilsfoss
Bøevika 78, 8253 Hannaås
Christensenberget 61E, 8915 Steinarvik
Christensenfaret 21, 5922 Nygård
Christensenfaret 3A, 5669 Jakobsen
Christensenfaret 5, 1117 Aasen
Christensenfaret 5, 7761 Mariusborg
Christensengata 3, 4332 Elisestrand
Christensengjerdet 9, 5597 Danielsen
Christensengjerdet 90D, 8075 Knutsen
Christensengropa 425, 9681 Andreassen
Christensenhagen 5, 4097 Moe
Christensenhaugen 7, 9167 Tommyodden
Christensenhaugen 8, 4883 Hegevær
Christensenhavna 24, 2851 Nielsen
Christensenhøgda 8, 4924 Rønning
Christensenlia 6F, 6430 Ragnhildstrand
Christensenlunden 879, 6053 Lund
Christensenlyngen 5C, 4405 Heidihamn
Christensenmarka 36, 5487 Gretheborg
Christensenmarka 4, 9073 Siriø
Christensenplassen 047, 7811 Johansen
Christensenplassen 6, 6338 Håkonnes
Christensenringen 1, 3894 Thorsen
Christensenskrenten 6A, 0773 Engen
Christensenskrenten 78, 6145 Sondrestad
Christensenspranget 137, 8346 Nielsen
Christensenvika 00, 4343 Synnøvefoss
Christensenåsen 2, 0414 Tveit
Dahlbråten 324, 6210 Norasund
Dahlflata 8, 6684 Kristinefjell
Dahlgata 93, 2695 Mariaeid
Dahlgropa 32A, 0534 Grethegrunn
Dahlhaugen 1C, 5448 Sigridvik
Dahlholtet 471, 9953 Sigridsand
Dahlholtet 87B, 8353 Hanssen
Dahlhøgda 19B, 2905 Hegefjord
Dahlhøgda 52A, 8938 Frankås
Dahljordet 35A, 5301 Lailaodden
Dahlkollen 93, 0850 Ivarø
Dahlkroken 2, 1917 Kristinsund
Dahlkroken 35, 4407 Malineid
Dahllyngen 62, 6341 Tovehavn
Dahlløkka 14F, 6746 Jenssen
Dahlløkka 21D, 4184 Karlsen
Dahlløkka 6, 5021 Sandvik
Dahlmoen 61F, 7512 Bjørnvær
Dahlroa 5A, 1226 Ingeborghavn
Dahlrøa 158, 7583 Dahl
Dahlstien 41, 7556 Mayfjell
Dahltoppen 5, 3304 Berntsen
Dahltoppen 6, 3465 Amundsen
Dahlvika 8, 2455 Ruud
Dahlvollen 7, 1855 Holm
Dahlåsen 2, 5756 Sveinbø
Dahlåsen 67A, 4014 Marisjøen
Danielsenbakken 7, 2518 Andersberg
Danielsengata 9, 1358 Rogerstrøm
Danielsengropa 92, 7430 Danieldal
Danielsenhagen 41, 9776 Kjetilborg
Danielsenhagen 7B, 3991 Lien
Danielsenhaugen 4, 4922 Isaksen
Danielsenhaugen 92B, 8112 Jonfoss
Danielsenhavna 9D, 7301 Mikkelsen
Danielsenholtet 03, 3435 Birkeland
Danielsenholtet 2A, 7311 Bentesand
Danielsenmarka 2A, 7211 Rønning
Danielsenmoen 1, 8576 Karenodden
Danielsenroa 03, 3562 Kristinodden
Danielsenrøa 64, 9260 Erlingsjøen
Danielsenskogen 8, 6210 Fredriksen
Danielsenskrenten 71, 8496 Aune
Danielsenstubben 1, 0923 Jensen
Danielsentjernet 795, 1999 Jandal
Danielsentunet 666, 6634 Bakke
Danielsenvollen 13, 3782 Eriksen
Danielsenåsen 43, 0819 Sverreøy
Edvardsenberget 25, 0921 Rasmussen
Edvardseneggen 24, 6294 Asbjørnborg
Edvardsengata 46, 6019 Gundersen
Edvardsengjerdet 48, 1221 Sæther
Edvardsengrenda 3, 1973 Tonestrøm
Edvardsenhaugen 4, 4698 Hagen
Edvardsenlunden 8, 3589 Ragnhildstrøm
Edvardsenmarka 44F, 2080 Danielsen
Edvardsenmyra 1, 5222 Rønning
Edvardsenmyra 2D, 9317 Vidarvåg
Edvardsenroa 7, 4183 Terjemark
Edvardsenspranget 55, 3015 Ali
Edvardsenstranda 3, 8083 Turidnes
Edvardsenstubben 1, 8365 Ingridmark
Edvardsenstykket 9G, 2021 Hagen
Edvardsentjernet 1, 3681 Bjørgdal
Edvardsenvika 3A, 5294 Jensdal
Edvardsenvollen 8, 2922 Birkeland
Eideberget 413, 8385 Rønning
Eideberget 836, 1854 Helland
Eidehaugen 38, 2991 Espenstrøm
Eidejordet 4, 2731 Karlsen
Eidelunden 11, 9068 Torillsjøen
Eidelunden 66, 6107 Kimsand
Eideløkka 592, 7237 Anitafjord
Eideroa 10E, 6559 Roareid
Eideskogen 7, 6325 Larsen
Eidespranget 51, 1985 Unniøy
Eidestykket 6, 5026 Gulbrandsen
Eidesvingen 59, 2201 Jørgensen
Eliasseneggen 6F, 3224 Jorunndal
Eliassenengen 8E, 0173 Theafoss
Eliassengrenda 147, 4979 Aasen
Eliassengropa 5, 4768 Larssund
Eliassengropa 76, 6401 Arneby
Eliassenhagen 49E, 2857 Karlvær
Eliassenhagen 525, 8273 Brittvik
Eliassenhøgda 3, 2375 Knuthamn
Eliassenkollen 3, 9292 Solberg
Eliassenkroken 88, 0527 Halvorsen
Eliassenkroken 97, 3958 Myklebust
Eliassenlia 77E, 4241 Fredriksen
Eliassenlunden 08, 0864 Tonjesjøen
Eliassenlyngen 2, 5557 Sivertsen
Eliassenløkka 8, 7462 Kristoffersen
Eliassenløkka 89, 3116 Ruthodden
Eliassenmyra 675, 0783 Petterfjell
Eliassenplassen 6B, 1073 Berntsen
Eliassenroa 631, 1536 Sandergrunn
Eliassenrøa 2, 3607 Kirstengrunn
Eliassenskogen 3, 0984 Fredrikgrunn
Eliassenspranget 584, 6678 Lailahelle
Eliassensvingen 36, 0181 Edvardsen
Eliassentjernet 52, 7116 Haugland
Eliassenvollen 7C, 4321 Johannessen
Eliassenvollen 9, 8240 Gundersen
Eliassenåsen 868, 3441 Evaås
Ellingsenalléen 3, 2595 Tonedal
Ellingsenekra 5, 0673 Jannehelle
Ellingsengata 7, 1576 Brekke
Ellingsenhavna 5D, 9001 Vidarberg
Ellingsenkollen 3, 5966 Berntsen
Ellingsenkroken 9, 3614 Hegeø
Ellingsenmoen 42B, 2524 Pettersen
Ellingsenringen 08G, 6009 Bøe
Ellingsenringen 75, 1523 Nielsen
Ellingsenrøa 16F, 8255 Grethefoss
Ellingsenskogen 53, 7228 Olavfjell
Ellingsenstien 81, 3313 Olsen
Ellingsenstubben 6H, 5828 Egilnes
Ellingsensvingen 54A, 6847 Beritfjell
Ellingsentjernet 8, 8773 Bjørgstrøm
Ellingsenvika 60, 3028 Knudsen
Ellingsenvika 787, 9062 Tangen
Engenberget 9, 0552 Kristianfjell
Engengropa 3, 6471 Sirifjell
Engenhagen 3, 7081 Annasjøen
Engenhaugen 17, 7507 Berntsen
Engenhaugen 9, 6522 Andreassen
Engenlyngen 2A, 5751 Mathisen
Engenløkka 86C, 6329 Lien
Engenmoen 089, 9504 Rønning
Engenplassen 8, 2085 Berntsen
Engenringen 9F, 1811 Brittstrand
Engenrøa 3, 2636 Kristoffersen
Engenskogen 3C, 5569 Frankstrand
Engenstranda 385, 7226 Solberg
Engentjernet 3, 8977 Jannemark
Engentoppen 2, 8494 Camillaås
Engentoppen 90G, 8731 Sandvik
Engentunet 28, 6779 Trinefjord
Engenvollen 86G, 6055 Sigridby
Eriksenalléen 34, 8399 Tveit
Eriksenbråten 3, 7893 Danielhelle
Eriksenflata 1, 6440 Gretheborg
Eriksengrenda 42, 3175 Kristofferfjell
Eriksengropa 2, 6051 Olsen
Eriksenhavna 19, 8408 Jakobsen
Eriksenkollen 9, 5541 Janodden
Eriksenkroken 7, 5805 Jenssen
Eriksenlunden 2F, 2940 Sarasund
Eriksenlyngen 53C, 3258 Erikhelle
Eriksenringen 5, 5594 Lie
Eriksenskogen 4B, 9848 Kristinbø
Eriksenskogen 97, 6751 Heidimark
Eriksenskrenten 43, 9423 Ragnhildmark
Eriksenstranda 53, 2263 Johnsen
Eriksensvingen 39, 0729 Wenchesund
Eriksensvingen 6, 7949 Espendal
Eriksentjernet 5, 5191 Sørensen
Eriksenåsen 972, 8925 Øysteinberg
Evensenalléen 56, 8740 Frodevær
Evenseneggen 3, 5507 Idasjøen
Evensenekra 3, 9458 Idaodden
Evensenengen 958, 4975 Lenefjell
Evensenfaret 43, 5399 Ødegård
Evensenfaret 8, 0565 Henriksen
Evensengrenda 3, 7983 Nguyen
Evensenlunden 3, 2324 Mariabø
Evensenlunden 4, 7618 Monicastad
Evensenlunden 500, 9427 Sigridø
Evensenløkka 93, 4911 Heidiøy
Evensenmarka 9A, 2994 Linehelle
Evensenskrenten 9, 6464 Nielsen
Evensenspranget 2, 1398 Tveit
Evensenstranda 65, 1729 Andreassen
Evensentjernet 339, 8475 Lie
Evensenåsen 88D, 8080 Ellenstad
Fredriksenbakken 7, 2194 Jørgenfjord
Fredriksenflata 371, 7073 Isaksen
Fredriksenflata 6, 1784 Solheim
Fredriksenjordet 7, 0203 Kjetilmark
Fredriksenkollen 50A, 2799 Vik
Fredriksenkroken 4, 6795 Vidarvær
Fredriksenløkka 69, 3927 Royeid
Fredriksenmoen 1, 6653 Lailabø
Fredriksenstranda 87, 5392 Karinøy
Fredriksenstubben 84, 6600 Sindrenes
Fredriksenstykket 16, 7254 Svendsen
Fredriksenstykket 29C, 8986 Påldal
Fredriksentjernet 09H, 0497 Jacobsen
Fredriksentoppen 5, 9100 Geirvåg
Fredriksenåsen 3B, 8348 Jensen
Gulbrandsenbakken 014, 1804 Beritgrunn
Gulbrandsenekra 52, 7143 Strand
Gulbrandsenengen 93B, 3416 Audborg
Gulbrandsenflata 484, 5252 Kristoffersen
Gulbrandsengata 05, 9745 Jennyberg
Gulbrandsengata 7, 5466 Marengrunn
Gulbrandsengrenda 392, 6816 Olsen
Gulbrandsenhagen 04, 1218 Ruud
Gulbrandsenhavna 96F, 6764 Astridhamn
Gulbrandsenkollen 6B, 2931 Ragnhildø
Gulbrandsenlyngen 306, 0705 Haug
Gulbrandsenløkka 72, 5515 Kristianberg
Gulbrandsenspranget 4, 9440 Pettersen
Gulbrandsenspranget 7, 9684 Johnsen
Gulbrandsentoppen 5, 1047 Madsen
Gulbrandsentoppen 85D, 2497 Pettersen
Gulbrandsenvollen 36F, 5350 Leifås
Gundersenalléen 770, 1565 Pettersen
Gunderseneggen 5E, 6283 Paulsen
Gundersengjerdet 8, 7351 Heleneborg
Gundersenhagen 5C, 3306 Solheim
Gundersenhagen 9, 9898 Arnesen
Gundersenhaugen 1, 4684 Karinvåg
Gundersenhavna 5, 6066 Mathisen
Gundersenholtet 4D, 5083 Aasen
Gundersenjordet 9, 4122 Jakobsen
Gundersenlia 526, 4415 Mathisen
Gundersenlyngen 1, 6261 Berge
Gundersenløkka 033, 1898 Birkeland
Gundersenmarka 5, 8130 Næss
Gundersenroa 5, 9514 Jacobsen
Gundersenrøa 4, 7987 Johannesstrøm
Gundersenskogen 1A, 6342 Martinodden
Gundersenspranget 77B, 9271 Alfby
Gundersenstubben 3, 8961 Kristinevær
Gundersensvingen 96, 1656 Abrahamsen
Gundersentjernet 628, 4498 Theaås
Gundersenåsen 1, 9789 Paulsen
Hagenbakken 1, 6757 Holm
Hagenbråten 79A, 3370 Erikfjell
Hagenekra 86, 7042 Sandervær
Hagenekra 9, 8125 Iversen
Hagenflata 13F, 6956 Holm
Hagenflata 5F, 0401 Berg
Hagengata 1B, 0175 Sivertsen
Hagengrenda 3, 1242 Ødegård
Hagenhavna 7, 2418 Jenssen
Hagenhøgda 55, 8507 Annanes
Hagenlunden 147, 1547 Sebastiannes
Hagenløkka 2, 4276 Fredrikborg
Hagenløkka 8, 6082 Idaodden
Hagenmarka 1, 3136 Simenbø
Hagenmyra 09, 6919 Knutsen
Hagenplassen 73, 1151 Eide
Hagenskrenten 442, 6687 Sivertsen
Hagenskrenten 670, 3344 Paulsen
Hagenstykket 986, 0732 Fredrikø
Hagentjernet 618, 2739 Antonsen
Hagentunet 253, 1776 Nilsen
Hagenvika 8B, 2517 Jenssen
Hagenåsen 68E, 9770 Berntsen
Halvorsenbakken 3, 3522 Sæther
Halvorsenbakken 65B, 2491 Hanssen
Halvorsenberget 4B, 1629 Kjellsjøen
Halvorsenengen 8, 5190 Erikhamn
