Abdul-Cichorius-Allee 87/26
Berta-Hethur-Weg 1/8
Bettina-Eigenwillig-Platz 1-3
Bettina-Gutknecht-Platz 1-4
Betty-Preiß-Platz 2
Beyergasse 9/3
Bienallee 54-47
Bienweg 77-32
Biggengasse 8/1
Biggenweg 7-4
Binnerring 95
Binnerstr. 7/4
Birgit-Misicher-Weg 40
Birgitt-Mangold-Allee 4-1
Birgitta-Wulf-Weg 62-92
Birnbaumring 8157
Blochring 8-3
Blochstr. 1594
Blochstraße 99/54
Blochweg 445
Blümelallee 42/76
Blümelring 895
Blümelstraße 7-7
Bohnbachring 74-98
Bohnbachstr. 7/7
Bohnbachstraße 4804
Bolanderstr. 3
Bolzmannallee 6-7
Bolzmannstraße 64/51
Bonbachring 170
Boucseinring 7720
Briemerweg 43-41
Brigitta-Krebs-Platz 4
Brita-Bolander-Weg 43-54
Britt-Ruppert-Weg 9-6
Britta-Binner-Straße 83
Bruderplatz 21
Bruderweg 75-68
Brunhilde-Kobelt-Platz 47/66
Buchholzstraße 26/39
Budigstr. 80-48
Budigstraße 986
Buttegasse 4-6
Bährstraße 3
Bärerplatz 3083
Bärerplatz 691
Bärerstraße 1
Bärerstraße 1-3
Bärerweg 41
Börnerallee 80
Börnergasse 62
Carina-Löchel-Weg 2246
Carmela-Killer-Weg 6804
Carmela-Ladeck-Weg 123
Carmelo-Bien-Weg 720
Carmen-Werner-Weg 298
Carolin-Bender-Straße 2-1
Carstengasse 2828
Carstenstr. 89
Carstenstraße 841
Carstenweg 3/7
Carstenweg 30-71
Casparallee 1652
Casparplatz 4-6
Casparstr. 646
Catherine-Hermann-Gasse 10
Centa-Barth-Straße 251
Chantal-Drub-Weg 577
Charles-Reichmann-Allee 39/29
Charlotte-Jacobi Jäckel-Weg 7
Christel-Schenk-Allee 58-58
Christiana-Karz-Straße 65/28
Christina-Steckel-Gasse 61
Christine-Koch-Platz 5-3
Christopher-Beyer-Weg 43
Christopher-Kambs-Platz 2-7
Christophgasse 3-5
Christophring 59/38
Cichoriusgasse 887
Cichoriusplatz 1-4
Cichoriusplatz 95-32
Clara-Fiebig-Straße 5227
Clara-Scholz-Straße 61-25
Claudio-Liebelt-Ring 3-3
Claudius-Heinz-Gasse 2544
Claus-Dieter-Steinberg-Ring 9/3
Claus-Ditschlerin-Gasse 934
Claus-Drub-Ring 283
Claus-Wagner-Ring 3/5
Cläre-Hoffmann-Platz 6/1
Conrad-Ring-Straße 87
Conradigasse 3
Conradistraße 1-2
Constance-Fliegner-Weg 95/88
Constantin-Pölitz-Platz 54/46
Cora-Wulf-Weg 30
Cordula-Noack-Platz 32
Corinna-Finke-Ring 92-26
Cornelius-Löffler-Platz 7/6
Cynthia-Fischer-Gasse 8-2
Cäcilia-Budig-Allee 1
Damaris-Trommler-Allee 7
Dan-Beier-Platz 261
Dan-Bolnbach-Platz 1
Dana-Thanel-Straße 4571
Danica-Kraushaar-Allee 21
Daniela-Wulf-Weg 18
Daniele-Vogt-Gasse 24-83
Daniele-Wende-Ring 540
Darius-Hendriks-Weg 826
Davidsallee 80-63
Davidsstr. 8/7
Davidsstraße 214
Davidsstraße 60-12
Dehmelring 3/6
Dehmelweg 5-1
Delia-Henschel-Weg 8699
Denis-Hermighausen-Ring 7-2
Dennis-Christoph-Platz 8-9
Denny-Freudenberger-Allee 71
Detlev-Wirth-Gasse 60/42
Diana-Knappe-Platz 57-51
Dieter-Klingelhöfer-Platz 8/1
Diethard-Weiß-Weg 79
Diether-Meister-Weg 1
Dietmar-Sölzer-Straße 8-7
Dietrich-Finke-Straße 40
Dietrich-Stiebitz-Allee 6-1
Dietzallee 3-4
Dietzstr. 44/68
Dimitri-Bohnbach-Ring 29/31
Dippelgasse 4
Dippelplatz 3997
Dippelring 6
Ditschlerinstraße 8-1
Ditschlerinweg 7/2
Dobesallee 797
Dobesring 3-2
Dobesweg 39
Dogan-Hecker-Straße 20-18
Dogan-Hesse-Allee 57
Dolores-Eberhardt-Gasse 3-1
Dolores-auch Schlauchin-Platz 3/4
Dominic-Aumann-Gasse 40-28
Dominik-Kostolzin-Allee 6/7
Donald-Schulz-Ring 7216
Doreen-Pergande-Straße 1
Dorothe-Fechner-Weg 41
Dorothee-Kabus-Straße 4695
Dowergstraße 1/4
Dowergstraße 4-1
Drago-Hermighausen-Weg 69-89
Drewesring 52
Drewesstr. 9/9
Drubinring 66-68
Drubinstr. 4/7
Drubinstr. 43/24
Drubinstraße 417
Drubinstraße 60-74
Drubstr. 74
Dussen vanplatz 9259
Dussen vanstr. 3-6
Dussen vanstr. 9691
Dussen vanstraße 8
Dussen vanstraße 8/5
Döhnstr. 60
Döringstr. 18-44
Dörrallee 5339
Dörrweg 28/10
Dörschnerring 7339
Dörschnerweg 28/92
Dörschnerweg 738
Eberhardtallee 88-66
Eberhardtweg 84-46
Ebertallee 2-5
Eberthallee 5128
Eberthstraße 2/4
Ebertring 58
Ebertstr. 15-49
Eckbauerallee 24-54
Eckbauerallee 51
Eckbauergasse 9264
Eckbauerring 4
Eckbauerstraße 5295
Eckbauerweg 6
Eckhard-Jockel-Gasse 369
Eckhard-Tintzmann-Weg 3/1
Edeltraut-Segebahn-Platz 6532
Edit-Barkholz-Weg 6/2
Edit-Döhn-Straße 886
Edit-Etzold-Gasse 91/15
Edit-Riehl-Platz 18-42
Edmund-Christoph-Gasse 6
Edmund-Rörricht-Ring 5/3
Edward-Scheuermann-Straße 6
Eggert-Drub-Gasse 355
Egon-Scheibe-Allee 98-10
Egon-Tröst-Platz 70/28
Ehlertplatz 1334
Ehlertweg 0
Ehrenfried-Kranz-Straße 840
Ehrentraud-Süßebier-Gasse 14-50
Eigenwilligallee 3/2
Eigenwilligweg 586
Eimerallee 4-8
Eimerplatz 18/33
Eimerring 1018
Eimerring 435
Eimerweg 3892
Eimerweg 49
Eimerweg 5/2
Ekrem-Kabus-Straße 2796
Elfie-Seifert-Platz 60/38
Elias-Etzler-Weg 7931
Elisa-Staude-Allee 8
Elisabet-Krein-Ring 1
Elise-Speer-Ring 4
Elizabeth-Schaaf-Gasse 3-5
Ella-Flantz-Platz 6/5
Elly-Noack-Weg 116
Elma-Gehringer-Ring 9
Elma-Tschentscher-Gasse 76
Elsa-Förster-Weg 3-9
Elsa-Steckel-Gasse 63/44
Elsbeth-Hering-Straße 16/74
Else-Schulz-Gasse 134
Else-Thies-Platz 7008
Else-Tschentscher-Ring 7
Emilia-Steinberg-Weg 2
Emilie-Mälzer-Ring 26/58
Emin-Schmidtke-Ring 6790
Emma-Sorgatz-Weg 7493
Emmy-Patberg-Straße 3-9
Enno-Hartmann-Platz 85/12
Enno-Kaul-Straße 695
Enrico-Dietz-Ring 61
Enver-Riehl-Allee 286
Ercan-Geißler-Ring 22
Ercan-Werner-Platz 86-27
Erdal-Henck-Ring 4/6
Erdal-Loos-Platz 3/3
Erdogan-Klapp-Platz 2-8
Eric-Lehmann-Straße 11-53
Erica-Kohl-Allee 65/49
Erich-Söding-Platz 1
Erik-Hornich-Straße 65
Ernest-Ebert-Platz 4-5
Ernestine-Dussen van-Straße 19
Ernst-Dieter-Meyer-Allee 98/90
Ernst-Otto-Wesack-Weg 78/70
Ernstallee 830
Ernstweg 4-5
Erol-Jüttner-Platz 86
Ester-Drewes-Ring 26/83
Esther-Drewes-Platz 1-9
Etta-Hethur-Ring 6096
Etzlerallee 414
Etzlerplatz 7-4
Etzlerring 31
Etzlerring 62/72
Etzlerstr. 356
Etzoldgasse 6764
Etzoldplatz 12/76
Eugen-Haering-Weg 39-53
Eugenie-Rosenow-Platz 5
Eva-Maria-Berger-Ring 9-8
Eva-Marie-Gutknecht-Gasse 328
Evangelia-Hethur-Allee 7
Evangelos-Ziegert-Weg 89-51
Evelin-Wirth-Allee 2712
Evelyn-van der Dussen-Straße 7-8
Evelyne-Bolander-Allee 58
Evelyne-Süßebier-Weg 9142
Evi-Scholtz-Platz 54
Ewald-Reising-Gasse 76/68
Fabian-Ackermann-Ring 1-2
Fabienne-Bärer-Ring 89-75
Fabienne-Fröhlich-Weg 68-42
Fabienne-Gutknecht-Platz 0
Falko-Salz-Allee 7-9
Fatih-Niemeier-Straße 167
Faustgasse 8-3
Fechnerstraße 80/58
Fechnerweg 4/2
Felicitas-Jockel-Ring 2336
Felicitas-Reichmann-Weg 71-56
Felizitas-Kraushaar-Ring 53
Ferdi-Steckel-Straße 2-6
Fiebigallee 8936
Fiebigstraße 56
Filippo-Ladeck-Gasse 45-27
Finkegasse 78
Finkering 5-3
Finkering 85/46
Finkestraße 0
Finkestraße 4-4
Flantzallee 84-20
Flantzstraße 768
Fliegnerallee 3-1
Fliegnerallee 66-83
Fliegnerstr. 73-94
Fliegnerstraße 76/17
Flora-Henschel-Platz 5383
Florence-Hartung-Straße 1
Florentine-Gorlitz-Gasse 790
Florian-Reinhardt-Platz 10-92
Francesco-Mohaupt-Platz 97/38
Francesco-Scheel-Straße 328
Francis-Krause-Ring 21-64
Francis-Köster-Platz 28
Francisco-Wesack-Platz 42
Franjo-Käster-Gasse 3
Franjo-Putz-Allee 9/4
Frankegasse 0
Frankeplatz 3-1
Frankeplatz 48-33
Franz-Benthin-Ring 62-89
Frauke-Rörricht-Allee 97/13
Frederic-Stiebitz-Straße 48/25
Frederik-Radisch-Platz 558
Fredy-Neureuther-Platz 45/24
Freia-Trommler-Allee 44
Freia-auch Schlauchin-Gasse 992
Freudenbergerallee 6102
Freudenbergergasse 66
Freudenbergerstraße 85-64
Freya-Etzler-Ring 584
Frieda-Hörle-Platz 30/28
Frieda-Klotz-Allee 52-52
Friedbert-Oestrovsky-Platz 38-71
Friedemann-Häring-Ring 27
Frieder-Vogt-Gasse 43/26
Frieder-Vogt-Straße 64/21
Friedericke-Nette-Gasse 92-59
Friederike-Johann-Weg 60
Friedl-Schottin-Allee 2/9
Friedl-Speer-Gasse 7/1
Friedo-Hahn-Platz 20
Friedrich-Wilhelm-Schaaf-Straße 24
Fritschplatz 6-9
Fritschring 1-5
Fritz-Etzler-Platz 879
Fröhlichplatz 2-7
Fröhlichring 43-78
Fröhlichring 88
Försterplatz 2/6
Gaetano-Ebert-Platz 5500
Gaetano-Holt-Platz 5-6
Galina-Gierschner-Weg 71/23
Gehringerallee 2511
Gehringergasse 11-94
Gehringerring 5767
Gehringerstr. 2934
Gehringerstraße 8
Gehringerweg 0
Geislerallee 3/5
Geislerstr. 1-5
Geißlerstr. 4
Geißlerstr. 67/50
Geißlerstraße 3-3
Geißlerstraße 53/36
Georg-Margraf-Gasse 41
Georgia-Dippel-Weg 9-3
Georgios-Adler-Platz 2
Gerd-Hornich-Weg 57/43
Gerd-Kraus-Allee 6
Gereon-Schacht-Straße 9
Gereon-Scholl-Gasse 3/4
Gerhardt-Eberhardt-Gasse 60
Gerhardt-Paffrath-Weg 35-91
Gerhart-Blümel-Weg 69-93
Gerhart-Henschel-Platz 749
Gerhart-Jessel-Gasse 2
Gerhild-Berger-Allee 590
Gerlachgasse 647
Gerlachstr. 3-1
Gerlachstr. 9172
Gerlind-Hartmann-Platz 73
Gerta-Gierschner-Platz 4790
Gerta-Kensy-Allee 14/62
Gertrud-Heidrich-Gasse 85
Gertrude-Fechner-Ring 82-41
Gertzring 5
Gertzring 5-9
Gertzring 7
Gertzstraße 5/9
Gesine-Margraf-Allee 689
Gesine-Ortmann-Ring 45/11
Gierschnerring 61/70
Giesela-Gutknecht-Straße 5/3
Gießplatz 4980
Gilda-Bonbach-Allee 93/88
Gisa-Schmidtke-Platz 6
Gorlitzallee 68-96
Gorlitzring 3-1
Gotthardstr. 31/22
Gotthardstraße 2-1
Gotthardstraße 9-4
Gotthardstraße 9/5
Gotthilf-Förster-Weg 756
Gotthilf-Hübel-Gasse 5
Gotthilf-Schottin-Gasse 17
Gotthold-Hethur-Platz 8-9
Gotthold-Junck-Straße 44/28
Gottlieb-Junck-Weg 13-84
Gottlob-Flantz-Allee 406
Grafgasse 1-2
Grafgasse 56/71
Grafstr. 30/30
Grein Grothplatz 46/14
Grein Grothring 17/25
Gretchen-Grein Groth-Platz 28-78
Gretel-Förster-Platz 63
Gretel-Rädel-Gasse 51/49
Gröttnerallee 9-3
Gröttnerplatz 7/8
Gudeplatz 1311
Guenther-Radisch-Straße 3605
Gumprichgasse 70-41
Gumprichgasse 8/4
Gumprichplatz 4-3
Gumprichweg 0
Gunar-Löwer-Platz 7118
Gundolf-Stadelmann-Weg 1
Gunnar-Hein-Allee 43
Gunpfgasse 3143
Gunpfgasse 6-1
Gunpfring 5/6
Gunpfstraße 24/27
Gunpfweg 404
Guntram-Spieß-Straße 2-3
Gusti-Mülichen-Weg 1587
Guteweg 4
Gutknechtgasse 66-17
Gutknechtweg 3/8
Götz-Cichorius-Allee 84-68
Gülay-Barth-Straße 1
Günther-Kensy-Platz 4
H.-Dieter-Kobelt-Gasse 2306
Haaseallee 28-20
Haasegasse 1-2
Haasestr. 713
Haaseweg 7/2
Haeringgasse 2/4
Haeringplatz 3/8
Haeringring 7/9
Haeringweg 9234
Haeringweg 9448
Hahnallee 2959
Hahngasse 8-2
Hahnring 309
Hahnstr. 64
Hajo-Geisler-Weg 83/59
Halina-Kallert-Ring 82/60
Hamannplatz 7-2
Hamannstr. 8-9
Hamannstraße 3-3
Handering 62
Handering 673
Handestraße 6-8
Handestraße 8654
Hanife-Koch-Platz 3
Hannah-Hornich-Platz 5
Hannah-Käster-Ring 626
Hanny-Ullrich-Straße 1
Hans Jörg-Hering-Straße 103
Hans-Bernd-Dehmel-Ring 5049
Hans-Bernd-Werner-Allee 2306
Hans-Christian-Benthin-Allee 2/1
Hans-Christian-Johann-Allee 7
Hans-Detlef-Bolzmann-Allee 67-13
Hans-Detlef-Jacob-Allee 495
Hans-Dieter-Lindau-Ring 7
Hans-Eberhard-Henschel-Weg 9-9
Hans-Georg-Baum-Platz 28/16
Hans-Georg-Ernst-Platz 91-98
Hans-Gerd-Drewes-Gasse 81
Hans-Gerhard-Kühnert-Weg 598
Hans-Günter-Schuster-Straße 9-2
Hans-Günther-Börner-Ring 9/5
Hans-Günther-Caspar-Ring 2227
Hans-Hermann-Wulff-Allee 1457
Hans-Jochen-Haering-Weg 2
Hans-Josef-Nerger-Allee 8-6
Hans-Jörg-Ladeck-Straße 9-5
Hans-Ludwig-Koch-Allee 97/60
Hans-Martin-Stolze-Allee 45/76
Hans-Martin-Tröst-Ring 96-38
Hans-Otto-Drewes-Ring 43-97
Hans-Otto-Hartmann-Platz 909
Hans-Rainer-Koch II-Ring 5-5
Hans-Rudolf-Etzler-Allee 51
Hans-Uwe-Reising-Platz 7-9
Hans-Wilhelm-Kensy-Gasse 19-70
Hans-Wilhelm-Rogner-Allee 81-22
Hans-Willi-Ortmann-Allee 3/2
Hansgeorg-Ortmann-Allee 116
Hardy-Knappe-Weg 33-56
Harloffallee 3
Harloffplatz 3373
Harloffplatz 5/8
Harloffweg 8-4
Harm-Gunpf-Straße 37/12
Harro-Hertrampf-Gasse 0
Harry-Rörricht-Straße 12/65
Hartmannallee 1386
Hartmannallee 435
Hartmanngasse 2831
Hartmannplatz 54-54
Hartmut-Hethur-Ring 1/3
Hartmuth-Krebs-Platz 27/93
Hartunggasse 93
Hartwig-Langern-Allee 6/6
Hedda-Eimer-Ring 74-19
Hedi-Metz-Ring 5/3
Hedwig-Eimer-Allee 18
Heide-Klingelhöfer-Weg 64/63
Heidi-Döring-Straße 5-4
Heidi-Schmiedt-Weg 0
Heidrichplatz 8/2
Heidrichstr. 45
Heidrun-Reuter-Allee 92
Heidrun-Seidel-Gasse 7501
Heiko-Siering-Ring 7-2
Heinfried-Gunpf-Platz 73/77
Heini-Seip-Straße 84
Heini-Weinhage-Weg 70/62
Heino-Bruder-Ring 7301
Heino-Geisler-Gasse 606
Heinrichallee 81-11
Heinrichstr. 43
Heinstr. 2-8
Heintzeweg 1
Heinz Dieter-Schottin-Straße 4-5
Heinz-Gerd-Beckmann-Ring 30-18
Heinz-Gerd-Radisch-Straße 77
Heinz-Günter-Bohlander-Platz 9240
Heinz-Hövel-Straße 98-20
Heinz-Joachim-Ruppert-Platz 20
Heinz-Josef-Drub-Gasse 3/2
Heinz-Josef-Geißler-Weg 30
Heinz-Peter-Schmidtke-Gasse 9268
Heinzplatz 76/56
Heinzstraße 405
Helfried-Hertrampf-Allee 6-8
Hellmut-Klemt-Straße 1
Hellwiggasse 7/4
Hellwigring 19
Hellwigring 9-3
Helma-Hübel-Straße 993
Helmuth-Trub-Straße 836
Henckring 4-3
Henckstr. 47-64
Henckweg 1/4
Henckweg 56-88
Hendrik-Gierschner-Platz 50/70
Hendriksallee 51/21
Hendriksring 10-48
Hendriksring 4
Henkplatz 16-79
Henkweg 6-6
Henning-Herrmann-Allee 77/97
Henriette-Kranz-Ring 23/68
Henrike-Schenk-Straße 3-8
Henryk-Klotz-Ring 1/8
Henryk-Scholtz-Platz 3/4
Henschelstr. 6-3
Henschelweg 4
Hentschelplatz 56
Hentschelstr. 565
Hentschelstraße 34/72
Heringgasse 5/7
Heringgasse 8
Heringgasse 98
Heringweg 9/1
Hermann Josef-Mans-Straße 9/6
Hermannstraße 76
Hermannstraße 8-3
Hermighausengasse 68/72
Hermighausenstraße 4194
Hermighausenweg 77/91
Herrmannring 4-2
Hertrampfallee 9/1
Herwig-Oderwald-Gasse 2339
Heserallee 8-3
Heserallee 9-2
Hesergasse 0
Hessegasse 1-2
Hessegasse 39-21
Hessestraße 525
Hethurallee 3/8
Hethurplatz 35-57
Hethurweg 89-92
Heusergasse 399
Heuserplatz 4368
Heuserstr. 2
Heydrichring 16-21
Heßgasse 88
Heßplatz 6
Heßstr. 651
Heßstraße 53
Hilde-Rogge-Platz 5/5
Hildegard-Stumpf-Gasse 7518
Hillergasse 11-61
Hillerplatz 5-2
Hillerstraße 8-3
Hillerstraße 97-86
Hiltrud-Heintze-Platz 3
Hiltrud-Misicher-Ring 4/4
Hiltrud-Möchlichen-Straße 11
Hoffmannring 74
Hoffmannweg 17-98
Hoffmannweg 7/9
Hofmannring 7-7
Holger-Stiebitz-Gasse 7/9
Holm-Hamann-Weg 9-8
Holstenallee 999
Holtweg 6793
Holzapfelplatz 4
Holzapfelplatz 5-9
Holzapfelstraße 78
Holzapfelstraße 8/7
Holzapfelstraße 97/43
Hornichgasse 4
Horniggasse 9/1
Horniggasse 9068
Horst-Dieter-Naser-Weg 6
Horst-Günter-Schleich-Allee 85
Horst-Jacobi Jäckel-Allee 97
Horst-Peter-Jacobi Jäckel-Gasse 53/39
Horst-Peter-Vollbrecht-Gasse 67
Horst-Scheuermann-Ring 347
Hugo-Beckmann-Straße 6
Hugo-Kohl-Allee 27
Huhnring 16-34
Huhnstraße 7/2
Hänelring 2-6
Hänelweg 95
Häringgasse 27-58
Häringgasse 392
Höfigallee 53
Hölzenbechergasse 3/5
Hölzenbecherplatz 4/9
Hölzenbecherstraße 74-13
Hölzenbecherweg 1/7
Hölzenbecherweg 5
Hörlestr. 80-48
Hörlestraße 31-38
Hörleweg 4925
Hövelweg 2442
Hübelstr. 69-18
Ida-Holsten-Weg 47/86
Ignatz-Hahn-Weg 64/86
Ilija-Kabus-Straße 4/2
Ilija-Kabus-Weg 661
Ilka-Käster-Weg 76/20
Imke-Seidel-Weg 8
Ina-Kroker-Platz 818
Ina-Winkler-Gasse 938
Ingbert-Roht-Straße 511
Ingeburg-Hellwig-Straße 9
Ingetraut-Adler-Straße 9081
Ingrid-Trupp-Straße 896
Inka-Mangold-Ring 445
Inna-Junken-Ring 95-39
Inna-Tintzmann-Weg 9-8
Ira-Blümel-Straße 90
Irene-Schuster-Weg 3341
Irina-Benthin-Platz 1/9
Irina-Ritter-Platz 5/2
Irma-Juncken-Gasse 1-6
Irma-Linke-Straße 39
Irmtraud-Zobel-Straße 60
Irmtrud-Ullmann-Gasse 2-6
Isabella-Kuhl-Platz 3
Ismail-Zänker-Gasse 19-67
Ivan-Trub-Straße 6/8
Iwona-Förster-Allee 23-90
Jacoballee 51/47
Jacobi Jäckelallee 7/4
Jacobi Jäckelweg 10/97
Jacobi Jäckelweg 2/7
Jacobweg 593
Jacqueline-Geißler-Gasse 7092
James-Kade-Ring 37-52
Jan-Peter-Trüb-Allee 4-1
Jana-Barkholz-Ring 5
Janett-Herrmann-Straße 3
Janett-Schmidtke-Gasse 327
Janina-Seidel-Allee 262
Janko-Ernst-Straße 3/6
Janna-Geisler-Weg 5-5
Janos-Baum-Gasse 66
Janos-Schleich-Allee 89/57
Janus-Weller-Weg 92-88
Janusz-Biggen-Platz 48
Jasmina-Heidrich-Weg 96/76
Jeannette-Eberth-Ring 67
Jelena-Rogge-Weg 62
Jennifer-Köster-Gasse 2
Jenny-Drubin-Ring 6780
Jenny-Fiebig-Gasse 977
Jens-Harloff-Gasse 3-9
Jerzy-Hethur-Allee 9-2
Jerzy-Pechel-Weg 859
Jesselring 9/3
Jesselstraße 44
Jessika-Zahn-Platz 96/68
Jiri-Rosenow-Ring 6
Jiri-Wilmsen-Allee 735
Jo-Dussen van-Ring 49
Jo-Dussen van-Straße 2099
Jo-Hamann-Gasse 8530
Jo-Lachmann-Allee 4-2
Joachim-Eigenwillig-Gasse 46
Joachim-Werner-Allee 17
Joana-Sontag-Ring 600
Joanna-Bien-Gasse 98/88
Jockelgasse 8-2
Jockelstr. 28-66
Johan-Girschner-Platz 7/6
Johanna-Naser-Straße 99/79
Johannallee 9094
Johannstr. 371
Jopichplatz 834
Josef-Klapp-Platz 94
Josef-Kruschwitz-Allee 83/47
Josef-Schmidt-Allee 7589
Josephine-Klemt-Allee 49/95
Jost-Dippel-Ring 2/5
Jost-Weihmann-Gasse 60
José-Hesse-Gasse 45-36
Jozef-Trupp-Gasse 561
Juan-Fröhlich-Straße 731
Juan-Trommler-Gasse 3
Judith-Matthäi-Allee 89/69
Julia-Lindau-Ring 3268
Juliane-Hermighausen-Straße 893
Julie-Ziegert-Gasse 835
Julius-Briemer-Gasse 11/32
Junckenallee 3
Junckenplatz 6-2
Junckenstr. 5/5
Junckenweg 357
Jungferring 68/23
Junitzplatz 8/6
Junitzring 3020
Junitzweg 47-83
Junkengasse 5/2
Junkenring 59/39
Junkenring 6/1
Junkenweg 7-3
Junkplatz 5
Junkplatz 8/7
Junkring 10
Junkring 4
Juri-Rudolph-Straße 710
Justina-Schomber-Ring 3/7
Justine-Geisel-Allee 47/69
Jähngasse 87-14
Jähnstraße 1
Jähnweg 1/6
Jäkelallee 8/5
Jäkelring 7091
Jäkelstr. 7
Jäntschallee 4/2
Jäntschplatz 9/7
Jäntschstr. 1
Jäntschstraße 66/60
Jäntschweg 6/4
Jäntschweg 741
Jörg-Jungfer-Ring 53-12
Jörg-Peter-Liebelt-Gasse 1-6
Jörg-Peter-Wohlgemut-Platz 13
Jörn-Klotz-Straße 687
Jörn-Schuster-Gasse 4445
