Abdullah-Rörricht-Platz 261
Antje-Henck-Gasse 999
Anton-Anders-Platz 5-6
Antonia-Lindau-Straße 94-95
Antonietta-Wernecke-Allee 9-7
Apostolos-Heinz-Straße 6
Ariane-Rogner-Platz 3/2
Aribert-Heser-Platz 93-91
Aribert-Kallert-Weg 5-7
Armin-Hecker-Platz 59-44
Armin-Schuchhardt-Ring 67/46
Arne-Sager-Weg 54
Arnulf-Kroker-Gasse 2/9
Astrid-Mitschke-Weg 2-6
Astrid-Wernecke-Allee 66/33
Atzlerring 2/1
August-Losekann-Gasse 75-32
Augustin-Vogt-Platz 58
Aumannallee 85/31
Aumannstr. 1
Aurelia-Ebert-Platz 5
Austermühleallee 216
Austermühleallee 27
Austermühleplatz 1/8
Austermühleplatz 63-13
Axel-Junk-Ring 3333
Aynur-Matthäi-Allee 67-37
Ayse-Adler-Allee 5
Aysel-Gnatz-Straße 69/16
Bachmannweg 9-1
Baldur-Atzler-Gasse 6-3
Baldur-Bärer-Gasse 1/3
Balthasar-Weitzel-Allee 84/28
Baptist-Stahr-Gasse 22/25
Barbara-Weimer-Ring 5
Barkholzplatz 8190
Barkholzstr. 34/26
Barkholzstraße 187
Barthgasse 6/3
Bartholomäus-Atzler-Ring 6/8
Barthring 16
Barthring 51
Barthring 6
Barthstr. 1-2
Barthstraße 6/2
Barthstraße 9/7
Bauerstraße 5
Bayram-Mosemann-Weg 3343
Bayram-Schomber-Platz 762
Bayram-Sontag-Ring 9813
Beckergasse 5-8
Beckmannring 58-63
Beckmannstraße 2-9
Beerallee 5400
Beerring 2
Beerweg 6/7
Beerweg 69
Beierring 77-76
Bela-Lachmann-Straße 970
Belinda-Holt-Weg 2202
Benderallee 2088
Benderweg 16
Benderweg 953
Benjamin-Wulff-Gasse 1-3
Benno-Neureuther-Straße 16-34
Benthinring 4/6
Berend-Holsten-Gasse 13-43
Bergerallee 50
Bergerplatz 9-5
Bergerring 6/5
Bernhardine-Ring-Ring 3/9
Bernt-Hesse-Ring 83
Bernward-Lübs-Allee 6/7
Bert-Förster-Ring 3-5
Betti-Schmiedecke-Allee 62-22
Bettina-Trubin-Weg 8-2
Beyerstr. 500
Bianka-Hornich-Gasse 10-70
Bianka-Mühle-Weg 0
Bienring 3652
Bienstraße 82
Bienweg 4/2
Biggengasse 4-2
Biggenring 2/2
Binnerring 47-55
Binnerstraße 0
Binnerstraße 17/15
Birger-Faust-Allee 65/56
Birgit-Höfig-Ring 38
Birgitt-Drubin-Straße 1311
Birgitta-Drewes-Straße 57
Birnbaumstr. 6/2
Björn-Staude-Ring 26/72
Blochallee 75/94
Blochplatz 9-4
Bogdan-Riehl-Weg 1/5
Bohlanderplatz 3-3
Bohlanderplatz 71
Bohlanderstr. 5934
Bohlanderweg 3210
Bohnbachallee 11
Bolandergasse 3-3
Bolanderplatz 71-77
Bolanderweg 90-67
Bolnbachstr. 1/8
Bolnbachweg 30-91
Bolzmannplatz 5666
Boris-Hamann-Ring 41/83
Briemerstr. 1486
Briemerweg 53/99
Britt-Klemt-Weg 6818
Britt-Müller-Platz 63/33
Bruderallee 31/66
Brudergasse 18
Brudergasse 901
Bruderplatz 2/5
Bruderstr. 20-14
Buchholzallee 57/75
Buchholzring 2/5
Buchholzring 5/6
Budigallee 5-9
Budiggasse 3823
Budiggasse 7088
Burckhard-Spieß-Gasse 67-15
Burghard-Beyer-Allee 5/5
Burkard-Rosemann-Weg 59-53
Butteallee 5/3
Buttering 66-58
Buttestr. 4/4
Bährplatz 3921
Bährstraße 3
Bährstraße 6-3
Bährstraße 77
Bärbel-Schuster-Gasse 4-1
Bärerstr. 6-9
Börnerallee 6-1
Börnerring 510
Börnerstr. 56-33
Börnerstraße 8/9
Canan-Wesack-Platz 11-95
Caren-Döhn-Ring 37
Carla-Krebs-Platz 47
Carlos-Hoffmann-Straße 6549
Carmelo-Bien-Gasse 12/80
Carmelo-Loos-Straße 34/18
Carmen-Hornig-Weg 83
Carmine-Mende-Ring 941
Carola-Kobelt-Weg 55/42
Carolina-Jockel-Allee 7-1
Carsten-Kitzmann-Weg 7-8
Carsten-Paffrath-Allee 142
Carstenplatz 47/21
Carstenstr. 35/59
Carstenstr. 90/69
Casparring 5
Casparstraße 479
Catharina-Johann-Allee 69
Catherine-Dobes-Ring 4796
Cathleen-Berger-Platz 3001
Cathleen-Geisel-Ring 705
Catrin-Kohl-Ring 55-60
Catrin-Matthäi-Weg 1-8
Cecilia-Schulz-Weg 138
Centa-Preiß-Weg 5/5
Cetin-Rosenow-Straße 8/3
Christa-Bärer-Ring 91-97
Christa-Koch II-Ring 6388
Christa-Maria-Kobelt-Platz 75
Christel-Reichmann-Allee 7/9
Christiane-Schomber-Straße 3
Christl-Kreusel-Allee 35
Christopher-Hertrampf-Straße 90
Christopher-Schleich-Straße 3/8
Christopher-Scholtz-Gasse 786
Christopher-Trupp-Straße 2
Christophstr. 40
Christophstraße 44-99
Christos-Wagner-Weg 9045
Christos-Wilms-Weg 68/89
Cichoriusring 541
Cichoriusring 83/64
Cichoriusstr. 52-92
Cichoriusstraße 9-6
Cilli-Sorgatz-Straße 266
Cilly-Kostolzin-Straße 427
Cilly-Käster-Straße 26
Cilly-Reichmann-Gasse 8-1
Claire-Eigenwillig-Ring 7765
Clara-Stumpf-Ring 1
Claudia-Sölzer-Weg 9/7
Claudio-Ortmann-Gasse 73/30
Claudius-Wesack-Straße 404
Claus-Peter-Kraus-Straße 0
Claus-Peter-Trupp-Allee 8-5
Claus-Säuberlich-Allee 7/9
Clemens-Wende-Weg 56/62
Cläre-Hahn-Allee 1-7
Cläre-Reichmann-Straße 747
Conny-Pärtzelt-Straße 9-1
Conny-Weinhold-Gasse 676
Conradiring 3-3
Cord-Schulz-Ring 34-91
Corinne-Pechel-Allee 71
Cosima-Krein-Platz 819
Cosima-Trommler-Weg 51/37
Cristina-Säuberlich-Ring 8/1
Curt-Schlosser-Weg 9-3
Cäcilie-Bachmann-Ring 7556
Dana-Schaaf-Ring 50
Daniel-Bien-Straße 68
Daniela-Mangold-Gasse 45
Danny-Kaul-Straße 829
Danny-Steuer-Weg 1/8
Danny-Stiffel-Weg 88
Darius-Mühle-Straße 437
Darko-Plath-Gasse 9/1
David-Hiller-Ring 8303
Davidsstraße 6/1
Davidsstraße 67/41
Davidsweg 4
Dehmelgasse 6-4
Dehmelring 714
Dehmelstraße 0
Dehmelstraße 493
Denis-Harloff-Allee 3/1
Denis-Schweitzer-Gasse 2-5
Denise-Hartung-Straße 39/80
Denise-Klotz-Ring 848
Desiree-Baum-Gasse 7114
Diane-Gierschner-Weg 23
Dierk-Döring-Weg 52-86
Dieter-Beier-Weg 7655
Dietrich-Ehlert-Allee 5
Dietzstraße 3
Dimitri-Hauffer-Allee 6/9
Dimitri-Rohleder-Straße 79
Dina-Schweitzer-Ring 19/77
Dippelplatz 23
Dippelstr. 582
Dippelstraße 32-15
Ditmar-Krein-Weg 86-93
Ditmar-Mälzer-Weg 57/47
Ditschlerinring 838
Ditschlerinring 9/1
Ditschlerinweg 4-1
Dobesplatz 10-96
Dobesstraße 2/7
Dobesstraße 89
Dogan-Kaul-Straße 64-80
Dominik-Krause-Allee 3469
Donata-Fechner-Straße 5/1
Dorina-Henk-Straße 792
Dorle-Bärer-Weg 726
Dorothe-Nerger-Platz 58
Dorothea-Conradi-Allee 20/34
Dorothee-Röhrdanz-Allee 9/7
Dowergplatz 2/9
Dowergring 5-9
Dowergstr. 9-6
Drago-Lindner-Gasse 85
Drewesstr. 78-32
Drubgasse 4-9
Drubingasse 94
Drubinring 3/2
Drubinstraße 19/64
Drubinweg 5
Dussen vangasse 9/2
Dussen vanring 42/39
Döhnallee 436
Döhnallee 7657
Döhnplatz 2/4
Döhnstr. 195
Döhnstraße 99-16
Döringweg 12
Döringweg 71/19
Dörrgasse 3
Dörrring 25-23
Dörrring 3-4
Dörrring 5826
Dörrstr. 7566
Dörrweg 83-47
Dörschnerallee 8/1
Dörschnerstr. 6
Dörschnerstr. 66/17
Dörschnerweg 0
Eberhardt-Wagenknecht-Ring 49-84
Eberhardtplatz 79/92
Ebertring 5
Ebertstr. 7369
Ebertstraße 14-82
Ebertweg 3-7
Eckart-Klapp-Gasse 6/3
Eckbauerallee 1847
Eckbauerstr. 4
Eckhard-Plath-Allee 112
Edelgard-Scheibe-Ring 7/5
Edeltraud-Beier-Weg 6-4
Edit-Mende-Weg 9-3
Eduard-Hermighausen-Gasse 64-31
Eduard-Täsche-Weg 7022
Ehlertallee 3
Ehlertplatz 3
Ehlertring 3-4
Ehlertstraße 3/7
Ehlertweg 9496
Ehrhard-Paffrath-Platz 736
Eigenwilligplatz 56-41
Eigenwilligring 204
Eigenwilligring 5/1
Eigenwilligstr. 46/72
Eigenwilligstr. 75-42
Eigenwilligstr. 8
Eigenwilligweg 781
Eimerallee 3715
Eimerallee 47-31
Eimerring 165
Eimerring 8445
Eimerstr. 1-6
Eimerstr. 41
Eitel-Döring-Platz 99/11
Ekaterina-Mentzel-Weg 7056
Ekkehard-Wilmsen-Platz 31/63
Ekkehart-Johann-Weg 4
Elena-Rädel-Weg 5431
Eleonora-Killer-Platz 57-96
Eleonore-Rogner-Weg 3-4
Elfi-Birnbaum-Allee 4/4
Elif-Kusch-Ring 9-9
Elke-Schwital-Straße 8-2
Ellen-Klapp-Weg 71/47
Ellen-Sorgatz-Platz 64-39
Ellen-Stey-Straße 3-3
Ellinor-Barkholz-Platz 3/4
Elly-Cichorius-Straße 537
Elvira-Hettner-Ring 3595
Elvira-Möchlichen-Ring 5606
Elwira-van der Dussen-Straße 3528
Elzbieta-Krein-Platz 2-7
Emanuel-Wiek-Straße 3209
Emil-Stiebitz-Allee 9
Emmy-Hendriks-Gasse 7-4
Enrico-Scholz-Ring 753
Ercan-Tröst-Straße 88/22
Erdal-Hornich-Allee 5-7
Erhard-Krebs-Weg 48-27
Erich-Sölzer-Weg 6
Erik-Döhn-Ring 97
Ernestine-Junk-Weg 348
Ernst-Otto-Seidel-Straße 8-1
Ester-Finke-Ring 7594
Etta-Drub-Straße 68/44
Etzlerweg 24-71
Etzoldallee 257
Eugen-Stey-Platz 2-8
Eva-Bohlander-Allee 50
Eva-Döhn-Allee 70-92
Eva-Maria-Thies-Ring 617
Eveline-Bonbach-Platz 92
Evelyne-Geißler-Weg 92
Ewa-Juncken-Allee 70/31
Fabienne-Gude-Ring 278
Fabienne-Pölitz-Gasse 2-2
Fabienne-Söding-Weg 2799
Fadime-Klemm-Platz 1162
Fadime-Rörricht-Straße 7/7
Fadime-Weimer-Allee 2
Fauststr. 89-57
Fechnerplatz 2
Fechnerring 53
Fechnerweg 76
Felicia-Girschner-Platz 8/3
Felicia-Wernecke-Gasse 1/7
Felicitas-Heidrich-Gasse 81/27
Ferenc-Carsten-Straße 562
Fiebigallee 631
Filippo-Zorbach-Gasse 7/2
Filiz-Fritsch-Weg 82/39
Finkestraße 84
Fischerallee 2446
Fischerring 3-2
Fischerring 80-42
Fischerstr. 4/1
Fischerstraße 8
Fischerweg 841
Fischerweg 962
Flantzweg 9
Fliegnergasse 6/5
Fliegnerring 291
Fliegnerring 62
Folker-Franke-Allee 1423
Francesco-Peukert-Allee 9298
Francisco-Ullrich-Allee 13
Francoise-Mosemann-Ring 45
Franjo-Blümel-Ring 9971
Frank-Drewes-Platz 528
Frankering 4-9
Franz-Niemeier-Ring 33/39
Franz-Peter-Junck-Ring 9/8
Franz-Vollbrecht-Ring 7359
Franziska-Hellwig-Gasse 9-5
Franziska-Koch II-Gasse 23
Frauke-Faust-Straße 89/82
Frauke-Stoll-Platz 7
Fred-Harloff-Straße 385
Frederic-Gunpf-Straße 8385
Frederik-Fröhlich-Gasse 34/88
Freudenbergerplatz 6927
Freudenbergerring 782
Freudenbergerstr. 4-2
Freudenbergerstraße 6
Freya-Karz-Platz 9679
Frida-Fischer-Straße 4377
Frida-Sölzer-Straße 3
Friedbert-Kranz-Ring 84-44
Friedericke-Schmiedt-Allee 50-10
Friedhelm-Dietz-Gasse 6-4
Friedlinde-Heidrich-Platz 91
Friedo-Kreusel-Weg 8360
Friedo-Kuhl-Straße 29/14
Friedrich-Stiebitz-Straße 4
Friedrich-Wilhelm-Boucsein-Platz 23/92
Frithjof-Biggen-Platz 3-1
Fritschgasse 51/93
Fritschstraße 78-24
Fritz-Barkholz-Allee 5983
Fritz-Pölitz-Allee 3579
Fröhlichplatz 1
Fröhlichplatz 60-94
Fröhlichstr. 3
Fröhlichstraße 697
Försterplatz 28/52
Försterplatz 34
Försterring 42
Försterstraße 8
Gabi-Trupp-Weg 8/5
Gabriel-Salz-Allee 66-26
Gabriela-Stolze-Gasse 90/56
Gabriela-Wulf-Straße 42-50
Gabriella-Heß-Gasse 18/98
Gaby-Mude-Gasse 38-31
Galina-Ehlert-Weg 854
Geert-Hellwig-Platz 30-40
Gehringerring 811
Geiselallee 6-9
Geiselstr. 4313
Geiselstraße 564
Geiselstraße 6-5
Geislerstr. 16
Geislerweg 80
Genoveva-Hornig-Allee 5-3
Genoveva-Schaaf-Allee 22/52
Gerald-Weinhage-Gasse 70-82
Geraldine-Buchholz-Platz 1/7
Gerhard-Radisch-Gasse 2-7
Gerhart-Becker-Gasse 82
Gerhild-Wieloch-Allee 18
Gerlachgasse 18/86
Gerlachstr. 49-91
Gernot-Vogt-Weg 861
Gerolf-Siering-Weg 43-71
Gert-Sölzer-Allee 901
Gertzallee 4
Gertzplatz 2/9
Gertzplatz 70/60
Gertzring 55-39
Gertzstr. 680
Gertzstraße 9
Gesa-Vogt-Straße 69
Gesche-Sontag-Ring 5619
Gesine-Gunpf-Straße 55-83
Gierschnerallee 1/4
Gierschnerallee 61
Gierschnerallee 65-70
Gierschnerallee 81
Gierschnerplatz 4401
Gierschnerplatz 973
Gierschnerstr. 65
Gierschnerstraße 85/32
Giesela-Gerlach-Platz 11/18
Gießstraße 2708
Gießstraße 917
Giovanni-Ruppert-Weg 88/82
Girschnerstr. 13/82
Gisa-Hänel-Straße 680
Gisbert-Knappe-Allee 66
Gisbert-Wesack-Straße 36-66
Giuseppe-Sölzer-Ring 6
Gloria-Atzler-Straße 22
Gloria-Mülichen-Allee 7
Gnatzallee 1/8
Goran-Weinhold-Weg 823
Gorlitzplatz 4-5
Gorlitzring 2770
Gorlitzstr. 78-18
Gorlitzstraße 80
Gottfried-Geisler-Allee 6760
Gottfried-Trapp-Allee 47
Gotthard-Hövel-Straße 2/5
Gotthardplatz 28-33
Gotthardplatz 5/3
Gotthold-Tintzmann-Allee 398
Gottlieb-Dietz-Ring 1-4
Gottlob-Ehlert-Gasse 37/78
Grafgasse 20
Grafring 4168
Grafstraße 64/59
Grafweg 4281
Grafweg 52-36
Gregor-Heser-Platz 3/2
Grein Grothgasse 2
Grein Grothgasse 4938
Grein Grothstr. 7-6
Grein Grothstraße 12-47
Greta-Rose-Straße 1
Gretel-Carsten-Ring 247
Gretl-Huhn-Ring 2/1
Gretl-Röhrdanz-Allee 5-7
Gretl-Trüb-Allee 1967
Grit-Neureuther-Straße 3/8
Grzegorz-Ditschlerin-Allee 3
Gröttnergasse 41/51
Gröttnerstraße 8-4
Gröttnerweg 5-8
Gudeplatz 78-22
Gudeweg 51/69
Gudula-Hande-Allee 6/6
Gudula-Junk-Weg 7777
Gudula-Ritter-Allee 8
Guenter-Davids-Allee 97
Guenter-Losekann-Straße 3373
Guiseppe-Koch II-Ring 9146
Gumprichallee 4-7
Gumprichring 88
Gumprichstr. 130
Gumprichstr. 2/9
Gumprichstraße 43/64
Gumprichweg 1-7
Gunpfallee 67/67
Gunpfgasse 8/8
Gunpfplatz 52
Gunpfstraße 3747
Gunter-Barth-Weg 31-91
Guntram-Schönland-Gasse 3821
Gutestr. 6/7
Gutknechtallee 38-64
Gutknechtallee 6471
Gutknechtring 42
Gutknechtstraße 50
Götz-Bender-Gasse 488
Gülsen-Rose-Gasse 62/19
H.-Dieter-Wagner-Allee 303
Haaseplatz 763
Haasestr. 91/41
Haaseweg 94
Haeringplatz 3/4
Haeringplatz 8/2
Haeringring 58
Haeringweg 8372
Hagen-Hoffmann-Platz 144
Halil-Ditschlerin-Platz 5286
Halil-Schottin-Straße 11/64
Handestr. 1-6
Hanna-Beyer-Ring 96
Hanne-Segebahn-Ring 4288
Hannes-Gorlitz-Platz 494
Hannes-Wagner-Gasse 79/71
Hannes-Wiek-Gasse 197
Hanny-Sorgatz-Platz 78/69
Hans Georg-Austermühle-Straße 7-5
Hans Georg-Hauffer-Straße 1232
Hans-Adolf-Krause-Straße 53
Hans-Albert-Zahn-Allee 38-39
Hans-Bernd-Jessel-Gasse 38
Hans-Detlef-Schmiedecke-Platz 2-2
Hans-Eberhard-Stadelmann-Straße 9-1
Hans-Friedrich-Steinberg-Ring 56/55
Hans-Gerhard-Sontag-Straße 1
Hans-Günter-Kitzmann-Gasse 60/89
Hans-Günter-Liebelt-Ring 183
Hans-Heinrich-Fliegner-Ring 9
Hans-Henning-Wieloch-Weg 8/8
Hans-Herbert-Gieß-Weg 37/57
Hans-Hinrich-Steuer-Weg 30/83
Hans-J.-Hornig-Ring 9
Hans-Jörg-Stoll-Platz 4
Hans-Karl-Caspar-Straße 17
Hans-Peter-Scheuermann-Straße 63
Hans-Rainer-Fechner-Allee 65/34
Hans-Willi-Süßebier-Ring 6483
Hansjoachim-Gumprich-Weg 10-81
Hansjoachim-Hornich-Straße 6-8
Hanspeter-Pärtzelt-Straße 70
Harald-Losekann-Straße 9-3
Harloffstraße 3/1
Harriet-Holt-Gasse 310
Harriet-Thies-Platz 92
Harro-Berger-Ring 5/5
Harry-Hübel-Ring 7920
Hartungallee 4/4
Hartungallee 6-6
Hartungplatz 28
Hartungstraße 9-9
Hartwig-Söding-Platz 8925
Hatice-Hein-Straße 8489
Haufferplatz 82
Haufferring 2-5
Heckerstraße 72-30
Heckerstraße 750
Heckerweg 79-87
Hedda-Wulff-Weg 8-4
Hedi-Hiller-Allee 31
Hedwig-Kruschwitz-Ring 23/10
Heidelinde-Binner-Ring 1050
Heidrichgasse 95/64
Heidrichstraße 2/7
Heimo-Bolnbach-Straße 467
Heiner-Kitzmann-Allee 126
Heiner-Winkler-Allee 67
Heino-Kensy-Straße 913
Heinrichring 896
Heinring 0
Heinstr. 7/4
Heintzestraße 2/6
Heintzestraße 660
Heinz Dieter-Jüttner-Gasse 66-46
Heinz-Dieter-Heinrich-Platz 7/7
Heinz-Dieter-Kreusel-Straße 49/90
Heinz-Dieter-Kuhl-Platz 663
Heinz-Dieter-Trüb-Allee 3
Heinz-Peter-Scholtz-Weg 9/3
Heinz-Werner-Dippel-Gasse 7/8
Heinz-Werner-Gumprich-Allee 8-4
Heinz-Werner-Trüb-Straße 9-3
Heinzring 2431
Heinzring 7-1
Heinzstr. 4291
Helen-Süßebier-Platz 9189
Helene-Fechner-Platz 62/48
Helfried-Etzold-Straße 8812
Helfried-Gorlitz-Ring 63/77
Helga-Jessel-Platz 3
Helge-Misicher-Ring 8
Hellmut-Otto-Gasse 72/44
Hellwiggasse 7
Hellwigplatz 17/49
Hellwigplatz 7
Helma-Tröst-Gasse 7
Helmtrud-Ebert-Allee 4-1
Henckallee 69-24
Henckgasse 5412
Henckstr. 8521
Henckstraße 90
Hendriksplatz 8/4
Hendriksstr. 87/44
Henner-Zänker-Allee 140
Henni-Staude-Straße 2833
Henrike-Kühnert-Weg 6/5
Henschelallee 55
Henschelgasse 6-8
Henschelplatz 3-3
Henschelstr. 248
Henschelweg 2-6
Hentschelplatz 79-77
Hentschelstraße 9888
Hermann Josef-Rust-Weg 1/5
Hermannstraße 2-2
Hermannweg 5-3
Hermighausenring 1
Hermine-Martin-Allee 8/9
Herrmanngasse 481
Herrmannplatz 3
Herrmannstraße 94/99
Herrmannweg 25-52
Herwig-Carsten-Straße 7811
Herwig-Kobelt-Ring 109
Hesseallee 7533
Hesseplatz 31/57
Hessering 5/6
Hessestr. 80/67
Hessestraße 4/7
Hethurgasse 7/3
Hethurplatz 187
Hethurplatz 6931
Hethurplatz 78/10
Hethurstr. 3
Heuserweg 8/1
Heydrichallee 5-8
Heydrichgasse 585
Heydrichstr. 7722
Heßplatz 20
Heßring 5-2
Heßstraße 41
Heßweg 1497
Hilde-Kambs-Gasse 4612
Hildegart-Etzler-Straße 3/6
Hildegund-Thies-Weg 93/60
Hillerallee 5660
Hillerring 87
Hilma-Geisel-Straße 9/9
Hilma-Wiek-Weg 16-43
Hoffmannstr. 2-1
Hoffmannweg 78
Holstengasse 42-97
Holstengasse 5476
Holstenstraße 60
Holtweg 851
Holzapfelring 44-85
Holzapfelstr. 615
Hornichring 222
Hornichring 692
Hornichstr. 9-6
Horniggasse 1
Horniggasse 78
Horst-Dieter-Weller-Platz 9
Hubert-Schäfer-Weg 27-36
Hubertine-Etzler-Platz 7-8
Hubertus-Seidel-Ring 5
Hugo-Matthäi-Allee 450
Huhngasse 8/6
Huhnstr. 71-88
Hänelgasse 28-46
Hänelstr. 6300
Häringring 90
Höfigallee 94/13
Höfiggasse 15/21
Höfigring 6/8
Hölzenbecherallee 2788
Hörlegasse 8100
Hörleplatz 4
Hörlestr. 1-4
Hövelgasse 56
Hövelweg 18-61
Hübelgasse 6120
Ian-Seifert-Allee 37
Ibrahim-Kade-Ring 5481
Ignaz-Butte-Gasse 93
Ilja-Dietz-Allee 6
Ilse-Hiller-Allee 4-1
Imelda-Kranz-Weg 9-7
Imke-Striebitz-Ring 5
Immo-Henschel-Weg 9
Imre-Stey-Weg 8/5
Imre-Walter-Straße 7/2
Inga-Dörschner-Straße 33-42
Ingbert-Eigenwillig-Allee 967
Ingeborg-Becker-Platz 1/3
Ingeborg-Etzold-Weg 346
Ingeborg-Klotz-Weg 317
Ingeburg-Junk-Gasse 1-5
Ingetraut-Schüler-Allee 14/17
Ingo-Dussen van-Weg 58-57
Ingolf-Hesse-Gasse 1
Ingrid-Weiß-Straße 8/8
Inna-Jungfer-Weg 32-97
Irene-Biggen-Weg 23/59
Iris-Weimer-Weg 70/27
Irma-Klotz-Allee 83/89
Irmela-Junitz-Ring 98/63
Irmengard-Scheuermann-Platz 22
Irmi-Caspar-Ring 28/68
Irmi-Sölzer-Straße 46
Irmtraud-Wohlgemut-Platz 9-1
Irmtraut-Müller-Weg 65/60
Irmtrud-Kaul-Ring 8/3
Isabel-Jäkel-Weg 25-56
Isidor-Kraus-Weg 82-38
Ismail-Weimer-Ring 24-23
Isolde-Bärer-Ring 9-8
Isolde-Metz-Straße 1-2
Jacek-Koch II-Weg 5/1
Jacob-Rörricht-Ring 3/1
Jacobi Jäckelring 72/54
Jacobi Jäckelweg 5
Jacobstraße 1381
Jacobstraße 6129
Jacobstraße 8-5
Jacobweg 8
Jakob-Henk-Gasse 7
James-Rudolph-Allee 9716
Jana-Hande-Gasse 6/5
Janet-Ring-Gasse 9070
Janin-Weinhold-Straße 38
Janine-Meister-Weg 5-5
Jann-Gierschner-Platz 6
Janus-Kruschwitz-Straße 1-3
Janusz-Adolph-Gasse 45
Jaroslav-Eberhardt-Gasse 27-86
Jaroslav-Wesack-Straße 884
Jaroslaw-Beyer-Gasse 6
Jasmina-Renner-Gasse 6/1
Jennifer-Geißler-Gasse 21
Jens-Peter-Rose-Weg 19-29
Jerzy-Knappe-Ring 4-7
Jesselallee 387
Jessica-Sauer-Gasse 69-50
Jo-Fritsch-Weg 3/3
Jo-Siering-Ring 8298
Joachim-Hänel-Ring 2
Joana-Mans-Platz 134
Jobst-Spieß-Allee 0
Jochen-Vogt-Ring 901
Jockelgasse 1
Jockelweg 1165
Johann-Gotthard-Straße 6/2
Johanna-Wulff-Allee 1664
Johanne-Dippel-Gasse 154
Jolanta-Cichorius-Platz 38/16
Jolanthe-Höfig-Straße 8/1
Jonathan-Hettner-Platz 4/6
Jonathan-Mangold-Allee 3-9
Jopichstr. 49/20
Jopichstraße 5/8
Jopichweg 4318
Josephine-Budig-Weg 1
Jozef-Spieß-Straße 99-55
Junckallee 2971
Junckenallee 4635
Junckenplatz 1/7
Junckenstr. 7867
Junckgasse 34-40
Junckweg 309
Jungferallee 12/50
Jungfergasse 41/32
Jungferstraße 56-31
Jungferstraße 6/4
Junitzring 5-5
Junitzstr. 24
Junitzstraße 2/5
Junkallee 9236
Junkengasse 472
Junkenstraße 5
Junkgasse 67/42
Junkstraße 85-27
Juri-Conradi-Weg 59-10
Jurij-Trupp-Allee 810
Justina-Holzapfel-Gasse 24-86
Justina-Weimer-Platz 41
Jähnallee 4
Jähnstr. 4905
Jähnweg 785
Jäkelallee 2844
Jäkelplatz 5-8
Jäkelstraße 31
Jäntschallee 675
Jäntschgasse 21-27
Jäntschplatz 3187
Jäntschplatz 8/3
Jörgen-Rogner-Allee 888
Jörn-Hein-Straße 1/9
Jüttnerplatz 3659
Jüttnerweg 181
Kabusallee 8-5
Kabusstr. 2
Kadeweg 75/23
Kallertgasse 9/4
Kallertring 3736
Kallertweg 257
Kambsallee 5
Kambsring 39
Kambsstraße 526
Kambsstraße 94
Kargering 9/6
Kargestraße 27
Kargestraße 3-7
Kargestraße 65
Kargeweg 2
