Achille Leopardi-Zanichelli
Antonella Bevilacqua
Antonella Pedroni
Antonella Sokolov
Antonella Vecoli
Antonello Abate-Donà
Antonello Agazzi
Antonello Casadei
Antonello Morricone-Polesel
Antonello Pavarotti
Antonello Ricolfi
Antonia Cabrini
Antonia Corradi
Antonia Gianinazzi
Antonia Lovato
Antonia Pepe
Antonia Schiavo
Antonia Sinisi-Camuccini
Antonietta Nosiglia
Antonietta Persico
Antonietta Ponti
Antonina Giannuzzi-Modiano
Antonino Brunelleschi
Antonino Gagliano
Antonino Raurica
Antonino Vigliotti
Antonio Bocca
Antonio Cabrini-Cicilia
Antonio Marrone-Salgari
Antonio Mazzocchi-Galvani
Antonio Moccia
Aria Basadonna
Aria Beffa
Aria Calarco-Travaglio
Aria Carocci
Aria Castellitto
Aria Orsini
Aria Sismondi
Aria Spallanzani
Armando Amato
Armando Bersani-Veltroni
Armando Comboni-Visintini
Armando Lancisi
Arnaldo Giunti
Arnaldo Gulotta
Arnaldo Mastroianni
Arnulfo Gentileschi-Fischetti
Arnulfo Spinelli
Arsenio Cilibrasi-Scarlatti
Arsenio Montalcini
Arsenio Torlonia
Arturo Cignaroli-Tonisto
Augusto Asprucci-Turati
Augusto Cagnotto
Augusto Montalti
Augusto Pagnotto
Aurora Moschino
Aurora Pedroni-Errani
Aurora Toninelli-Carpaccio
Azeglio Caccianemico
Azeglio Chittolini
Azeglio Fantoni
Azeglio Ubaldi
Baldassare Beccheria
Baldassare Gottardi
Barbara Casadei
Barbara Doglioni
Bartolomeo Monte
Bartolomeo Segrè
Beatrice Barcaccia
Beatrice Bellini-Leone
Beatrice Ginese
Beatrice Greco
Beatrice Pedersoli-Serraglio
Beatrice Pistoletto
Benedetto Scalera
Benito Camanni
Benito Santorio
Benvenuto Battaglia
Benvenuto Serlupi
Beppe Troisi-Campanella
Berenice Casellati-Offredi
Berenice Paruta
Bernardo Schicchi
Bettina Necci-Borroni
Bettina Trobbiani
Biagio Bocelli
Biagio Finetti
Biagio Roero
Bianca Aloisio
Bianca Beccheria
Bianca Bramante
Bianca Cagnin-Praga
Bianca Lamborghini
Bianca Mastroianni
Bianca Mondadori
Bianca Tresoldi
Bruno Bianchini-Battaglia
Bruno Draghi
Bruno Sagese
Calcedonio Mantegazza
Calcedonio Monicelli
Calcedonio Zichichi
Calogero Meucci-Lucarelli
Calogero Stefanelli
Calogero Ungaretti
Camilla Bragaglia
Camilla Dossi
Camilla Grimani
Camilla Tamborini-Medici
Camilla Ughi
Camillo Broschi
Carla Brenna-Saracino
Carla Giannelli
Carla Mantegna
Carla Pederiva
Carla Verri
Carla Vigliotti
Carlo Barracco
Carlo Carullo-Ceschi
Carlo Maffei-Bataglia
Carlo Mazzacurati
Carlo Mazzanti
Carlo Meucci
Carlo Ortese
Carmelo Andreozzi
Carmelo Bocelli
Carmelo Mezzetta
Carmelo Pininfarina
Carolina Casalodi
Carolina Curci
Carolina Mazzanti
Carolina Olivetti
Carolina Poerio-Corradi
Cassandra Argan
Cassandra Castelli
Cassandra Malipiero-Dossetti
Caterina Dossi
Caterina Mazzocchi
Caterina Ruberto
Cecilia Aulenti-Cicala
Cecilia Balla
Cecilia Maffei
Cecilia Persico
Cecilia Scarfoglio
Cecilia Tamburi
Cecilia Tanzini
Cesare Gadda
Cesare Spinola
Chiara Farinelli
Chiara Fiorucci
Chiara Foletti
Chiara Gasperi
Chiara Giulietti
Chiara Sabatini-Tresoldi
Cipriano Moschino
Cipriano Zetticci
Cirillo Scalera
Cirillo Sibilia
Cirillo Zola-Cagnotto
Ciro Bellini
Ciro Petrassi
Ciro Viola
Claudia Barbarigo
Claudia Bellucci
Claudia Cignaroli
Claudia Giannini-Ravaglioli
Claudia Gritti-Barzini
Claudia Segni
Claudio Donini
Claudio Favata
Claudio Mercadante
Claudio Quasimodo
Claudio Toso
Clelia Durante
Clelia Salvemini
Coluccio Columbo
Concetta Cuda
Concetta Dallara
Concetta Desio
Concetta Garobbio
Concetta Peranda
Coriolano Perozzo
Coriolano Redi
Corrado Majorana
Corrado Mascagni
Corrado Stefanelli
Corrado Vattimo-Casalodi
Costantino Andreotti
Costantino Granatelli-Bonino
Costantino Russo
Costanzo Staglieno
Cristina Agostini-Comencini
Cristina Florio-Foscari
Cristina Lucchesi
Cristina Parisi
Cristina Seddio
Cristina Tozzo
Damiano Michelangeli
Daniele Ciampi
Daniele Cimarosa
Daniele Telesio
Daniele Valmarana
Danilo Benussi
Danilo Berlusconi-Righi
Danilo Mennea-Botta
Danilo Ungaretti
Dante Bernetti
Dante Cabrini
Dante Greco
Dante Morricone-Doria
Daria Bettoni
Daria Pigafetta
Daria Valmarana
Dario Sobrero
Delfino Bembo
Delfino Chechi
Delfino Endrizzi-Curiel
Delfino Manzoni
Delfino Pininfarina
Delfino Puglisi-Inzaghi
Delfino Samele
Diana Mazzanti
Diana Morosini
Diana Piacentini
Diana Soffici-Malaparte
Dina Luzi
Dina Verdi
Dino Borromeo
Dino Vanvitelli
Dionigi Cappelli
Dolores Casaleggio
Dolores Cheda
Dolores Monduzzi
Dolores Pellegrini-Telesio
Dolores Prodi-Garzoni
Dolores Rosiello
Domenico Antonetti
Domenico Cipolla
Domenico Leonetti
Domenico Travaglio
Donatella Balla
Donatella Casellati
Donatello Chinnici-Bettoni
Donatello Ginesio
Donatello Spanevello
Donato Camilleri
Donato Cutuli
Donato Gabbana
Donato Guidotti
Donna Alfonsi
Donna Asmundo
Donna Gentilini-Soranzo
Donna Leone
Dott. Adamo Iacovelli
Dott. Adelasia Scarponi
Dott. Adriana Carullo
Dott. Adriana Trincavelli
Dott. Alessandra Disdero
Dott. Alessia Campanella
Dott. Alessia Cutuli
Dott. Alessio Altera
Dott. Alfredo Legnante
Dott. Alfredo Travaglio
Dott. Amalia Monteverdi
Dott. Angelo Bova
Dott. Angelo Gucci
Dott. Antonella Deledda
Dott. Antonio Milanesi
Dott. Aria Buscetta
Dott. Aria Desio
Dott. Arsenio Einaudi
Dott. Arsenio Manunta
Dott. Atenulf Paolini
Dott. Aurora Taliercio
Dott. Baccio Dellucci
Dott. Beatrice Pizzetti
Dott. Benito Parri
Dott. Beppe Borsellino
Dott. Berenice Geraci
Dott. Bianca Vercelloni
Dott. Bruno Callegaro
Dott. Bruno Viviani
Dott. Calcedonio Bonolis
Dott. Carmelo Ceci
Dott. Cesare Tamburello
Dott. Chiara Gasperi
Dott. Cirillo Golgi
Dott. Ciro Antonello
Dott. Coriolano Pincherle
Dott. Cristina Angiolello
Dott. Diana Bernardi
Dott. Dino Pinamonte
Dott. Dionigi Anguissola
Dott. Donatella Bompiani
Dott. Donatella Cesaroni
Dott. Donatello Gatto
Dott. Edoardo Tamborini
Dott. Elena Palombi
Dott. Elmo Turci
Dott. Ennio Moresi
Dott. Enzo Anguissola
Dott. Eraldo Trombetta
Dott. Ermanno Gotti
Dott. Etta Babato
Dott. Ettore Comolli
Dott. Evangelista Semitecolo
Dott. Federico Trentini
Dott. Fernanda Villarosa
Dott. Filippa Armani
Dott. Filippa Cagnotto
Dott. Filippa Vianello
Dott. Flavia Rinaldi
Dott. Flora Morpurgo
Dott. Flora Odescalchi
Dott. Francesca Ferrata
Dott. Francesco Cocci
Dott. Gabriele Lucchesi
Dott. Gabriele Maccanelli
Dott. Gaetano Fittipaldi
Dott. Gastone Caetani
Dott. Geronimo Antonacci
Dott. Geronimo Crisafulli
Dott. Giampaolo Mogherini
Dott. Giampiero Venturi
Dott. Gian Opizzi
Dott. Giancarlo Porzio
Dott. Gioacchino Vittadello
Dott. Gioele Bosurgi
Dott. Gioffre Curiel
Dott. Girolamo Puccini
Dott. Giuliano Tutino
Dott. Giulietta Abatantuono
Dott. Graziano Gioberti
Dott. Graziella Tozzi
Dott. Greco Ovadia
Dott. Griselda Galeati
Dott. Ignazio Mantegazza
Dott. Ilaria Trezzini
Dott. Imelda Cundari
Dott. Jacopo Dibiasi
Dott. Lando Gonzaga
Dott. Lando Trussardi
Dott. Laura Grisoni
Dott. Laureano Pellico
Dott. Leopoldo Petrocelli
Dott. Letizia Zanzi
Dott. Lilla Florio
Dott. Livia Modigliani
Dott. Loredana Toscani
Dott. Loretta Santoro
Dott. Luca Tomasini
Dott. Luchino Moccia
Dott. Luchino Tomaselli
Dott. Luciana Renault
Dott. Luciano Cabibbo
Dott. Lucrezia Norbiato
Dott. Ludovico Milanesi
Dott. Ludovico Turchetta
Dott. Luigina Peranda
Dott. Luisa Antonelli
Dott. Luisa Giacconi
Dott. Marcello Fibonacci
Dott. Margherita Badoglio
Dott. Margherita Segni
Dott. Maria Spadafora
Dott. Mariana Pisacane
Dott. Martina Tarchetti
Dott. Martino Innocenti
Dott. Matteo Bernardi
Dott. Mattia Ferrante
Dott. Maura Trevisan
Dott. Maurilio Calgari
Dott. Maurilio Petralli
Dott. Melania Giannini
Dott. Melissa Mezzetta
Dott. Melissa Morandi
Dott. Milena Camicione
Dott. Mirco Caccianemico
Dott. Morena Vergerio
Dott. Nadia Cutuli
Dott. Nanni Bandello
Dott. Nanni Morucci
Dott. Niccolò Accardo
Dott. Nina Grasso
Dott. Ninetta Lamborghini
Dott. Nino Marazzi
Dott. Orlando Volterra
Dott. Paoletta Bocelli
Dott. Patrizia Giacconi
Dott. Paulina Tamburi
Dott. Pierpaolo Stefanelli
Dott. Pina Norbiato
Dott. Pina Turchi
Dott. Raffaella Trotta
Dott. Raffaellino Franzese
Dott. Ramona Bonino
Dott. Renata Vespa
Dott. Ricciotti Leoncavallo
Dott. Rita Albertini
Dott. Roberta Cuda
Dott. Romana Endrizzi
Dott. Romana Tomasetti
Dott. Ronaldo Burcardo
Dott. Ronaldo Perini
Dott. Rosalia Parini
Dott. Rosaria Antonelli
Dott. Rosaria Govoni
Dott. Sandra Balla
Dott. Sandra Pietrangeli
Dott. Saverio Anguissola
Dott. Sebastiano Pedroni
Dott. Serena Abbagnale
Dott. Severino Canetta
Dott. Silvio Pugliese
Dott. Silvio Toselli
Dott. Stefania Bignardi
Dott. Stefania Santorio
Dott. Susanna Mancini
Dott. Temistocle Gagliano
Dott. Tina Pedrazzini
Dott. Tiziano Marazzi
Dott. Tonia Gasperi
Dott. Tonia Stefanelli
Dott. Tonia Tamborini
Dott. Tonino Bevilacqua
Dott. Torquato Fantini
Dott. Ugolino Pedroni
Dott. Umberto Ramazzotti
Dott. Valerio Costalonga
Dott. Vanessa Papetti
Dott. Vanessa Tamburello
Dott. Veronica Cutuli
Dott. Vincentio Coardi
Dott. Vincenza Treccani
Dott. Vito Cesaroni
Dott. Zaira Cappelli
Durante Fioravanti
Edoardo Endrizzi-Sandi
Edoardo Martucci
Eleanora Bevilacqua
Eleanora Borsellino
Eleanora Pasolini-Farina
Eleanora Scialpi-Briccialdi
Elena Nibali
Eliana Jilani-Benigni
Eliana Novaro
Eliana Piccinni
Elisa Emo
Elisa Filzi
Elisa Galilei-Gadda
Elisa Mazzi
Elisa Pellegrini
Elisa Raimondi
Elladio Antonetti
Elladio Fabbri
Elladio Morricone
Elmo Zarlino
Elvira Barcaccia-Morpurgo
Elvira Buonauro
Elvira Ferrucci
Elvira Navarria
Elvira Scaduto
Elvira Spanevello
Emilio Argento
Emilio Beccheria
Emilio Simeoni
Emma Calbo
Emma Cicilia
Emma Farina
Emma Magrassi
Emma Palladio-Cesaroni
Emma Soffici-Trebbi
Emma Soranzo-Verdone
Ennio Civaschi
Ennio Foletti
Ennio Milanesi
Ennio Orlando
Ennio Paolini-Ginese
Ennio Tomei
Enrico Campano-Argan
Enzio Ferragamo-Bonanno
Enzio Micca
Enzio Stefanelli
Enzo Carpaccio-Stoppani
Enzo Mazzi
Enzo Rosselli
Enzo Zaccagnini
Eraldo Columbo
Eraldo Fagiani
Eraldo Gabba
Ermanno Falloppio
Ermanno Franscini-Bajardi
Ermanno Pavarotti
Ermenegildo Paruta
Ermes Brenna
Ermes Ramazzotti
Ernesto Barracco
Ernesto Correr-Antonelli
Etta Casalodi-Fittipaldi
Etta Interminei
Etta Lanfranchi
Etta Maglio
Etta Miniati
Etta Veneziano
Etta Vittadello
Ettore Barsanti
Ettore Durante-Pellegrini
Ettore Mazzi
Ettore Rusticucci
Eugenia Boaga
Eugenia Dossetti-Poerio
Eugenia Tarantino
Eva Benussi
Eva Bergoglio
Evangelista Carriera
Evangelista Pignatti
Evangelista Sabbatini
Evangelista Tagliafierro
Evangelista Trobbiani
Ezio Boccherini
Ezio Pausini
Ezio Treves
Fabia Casarin
Fabia Curiel
Fabia Giacconi
Fabia Pederiva
Fabia Sansoni
Fabio Bramante
Fabio Giacometti-Pertile
Fabio Gigli
Fabio Goldoni
Fabio Morandini
Fabio Pergolesi
Fabio Rusticucci
Fabrizia Antonelli
Fabrizia Telesio
Fabrizia Togliatti
Fabrizio Bazzi
Fabrizio Brichese
Fabrizio Crespi
Fabrizio Ferrari
Fabrizio Ginese
Fabrizio Lettiere
Fabrizio Pennetta
Fausto Costalonga
Fausto Falloppio
Fausto Onisto
Fausto Tarantino
Fedele Celentano
Fedele Chiappetta
Fedele Pasolini
Fedele Vecoli
Federica Borzomì
Federica Donatoni
Federica Sorrentino
Federica Troisi
Federico Fagiani
Federico Fittipaldi
Federico Pigafetta-Ortolani
Federico Tornatore
Federigo Pacillo
Federigo Rosselli
Federigo Stefanelli
Ferdinando Correr
Ferdinando Ravaglioli
Fernanda Beffa
Fernanda Bernardi
Fernanda Druso-Botticelli
Fernanda Sansoni
Fernanda Viviani
Fiamma Cainero
Fiamma Gravina-Raimondi
Filippa Guidone
Fiorenzo Bianchini-Andreotti
Fiorenzo Buscetta-Fagotto
Fiorenzo Cusano
Fiorenzo Druso
Fiorenzo Perini
Fiorenzo Salvemini
Fiorenzo Vecoli
Flavia Correr
Flavia Petralli-Veltroni
Flavio Barese
Flavio Branciforte
Flavio Carpaccio-Ricolfi
Flavio Mascheroni
Flavio Parpinel
Flavio Ughi
Flora Gotti
Flora Maderno
Flora Malpighi
Fortunata Anichini
Fortunata Cipolla
Fortunata Dellucci
Fortunata Fusani
Francesca Marenzio
Francesca Vecellio
Francesco Favata
Francesco Filzi
Francesco Greggio
Francesco Sauli
Francesco Seddio
Francesco Venturi-Pace
Franco Gianinazzi
Franco Mazzocchi
Franco Turati
Fredo Abatantuono
Fredo Camilleri
Fredo Combi
Fredo Forza
Fredo Giacconi
Fredo Rossetti
Fredo Tornatore
Fredo Viola-Ferrari
Fulvio Bompiani
Fulvio Fornaciari
Fulvio Sermonti
Gabriele Curci
Gabriele Ramazzotti-Zichichi
Gabriele Spinola
Gabriella Caruso
Gabriella Mortati
Gabriella Panicucci
Gaetano Taliercio
Galasso Bernardi
Galasso Ceci
Galasso Mocenigo
Galasso Spinola-Scarfoglio
Galasso Sraffa
Galasso Tamburi-Carducci
Gaspare Spallanzani-Murri
Gastone Finotto
Gastone Tasca-Zoppetto
Gelsomina Scotto-Pozzecco
Gelsomina Sordi
Gelsomina Trentin
Gemma Fantini
Gemma Iannuzzi
Gemma Trincavelli
Germana Benedetti-Sraffa
Germana Ottino-Barberini
Geronimo Abba
Geronimo Paruta
Geronimo Segni
Geronimo Tornatore
Giacinto Cabrini-Collina
Giacinto Casale
Giacinto Disdero
Giacinto Giannini
Giacinto Zola-Chindamo
Giacomo Inzaghi
Giacomo Ramazzotti
Giacomo Toscanini
Giada Fittipaldi-Grasso
Giada Gasperi
Giada Matteotti
Giampiero Bonino
Gian Carosone
Gian Ginesio
Gian Lombardi
Gian Longhena
Gian Marcacci
Gian Moresi
Giancarlo Morpurgo
Gianfrancesco Giannelli
Gianfranco Stradivari-Proietti
Gianluca Fuseli
Gianluca Gentili
Gianluca Poerio-Sollima
Gianluigi Canali
Gianluigi Grasso
Gianluigi Salgari
Gianmarco Beccheria
Gianmarco Faggiani
Gianmarco Toselli
Gianmarco Tutino
Gianna Abba
Gianna Geraci
Gianna Marinetti
Gianna Zamengo
Gianni Bondumier
Gianni Galtarossa
Gianni Morosini
Gianni Muratori
Gianni Oscuro
Gianni Prada
Gianni Telesio
Gianpaolo Bernetti
Gianpaolo Cutuli
Gianpaolo Goldoni-Bertoli
Gianpaolo Leone
Gianpietro Finetti
Gianpietro Longhena
Gianpietro Sbarbaro
Gianpietro Solari
Gianpietro Tozzi
Gianpietro Tropea
Gilberto Bossi
Gilberto Nosiglia-Andreozzi
Gino Cabibbo-Roncalli
Gino Canevascini
Gino Gucci
Gino Pizzamano-Prati
Gioacchino Burcardo
Gioachino Bondumier
Gioachino Flaiano-Gradenigo
Gioachino Sanudo
Gioele Procacci
Gioffre Bellini-Turci
Gioffre Moccia
Gionata Luria
Gionata Sansoni
Giorgia Cagnin-Regge
Giorgia Catalano
Giorgia Moresi
Giorgia Pietrangeli
Giorgia Pozzecco
Giorgio Nordio-Schiavo
Giosuè Iannuzzi
Giosuè Maffei
Giosuè Pometta
Giovanna Bersani
Giovanna Carullo
Girolamo Pace
Girolamo Ricciardi-Puccini
Giulia Armani
Giulia Gatto
Giuliana Beccaria
Giuliana Colletti
Giuliana Dovara
Giuliana Farnese
Giuliana Opizzi
Giuliana Russo
Giuliano Toldo-Cappelli
Giuliano Travaglio
Giuliano Vespa
Giulietta Almagià
Giulio Borghese-Duse
Giulio Caracciolo
Giuseppe Callegari
Giuseppe Casadei
Giuseppe Cerutti
Giuseppina Babato-Boezio
Giuseppina Gelli
Giuseppina Pometta
Giuseppina Stein
Giuseppina Trevisan
Giustino Biagi
Giustino Bossi
Giustino Ciampi
Giustino Zamorani
Gloria Muratori
Goffredo Cignaroli
Graziano Filzi-Maglio
Graziano Tomasetti-Maspero
Graziella Bellucci
Graziella Pacetti-Borroni
Graziella Ughi-Tomaselli
Greca Beffa
Greca Bignardi
Greca Bondumier-Endrizzi
Greca Bonino
Greca Castellitto
Greca Gottardi
Greco Barbarigo
Greco Lippomano
Griselda Belletini
Griselda Colletti
Griselda Cossiga
Griselda Costanzi
Griselda Mazzanti
Griselda Parpinel
Guarino Badoer
Guarino Ligorio-Marangoni
Guglielmo Buscetta
Guglielmo Morellato
Guglielmo Scarfoglio
Guido Antonello-Garibaldi
Guido Borroni
Guido Rossini
Guido Tornatore
Gustavo Bosurgi-Telesio
Gustavo Brenna
Gustavo Comboni
Gustavo Gabba
Hugo Chittolini
Hugo Mastandrea
Hugo Montesano
Hugo Napolitano
Ida Finzi-Tresoldi
Ida Lercari-Tamburi
Ida Nievo
Ida Quasimodo-Zaccardo
Ida Rienzo
Ida Treves
Ignazio Barracco-Bosio
Ignazio Cilibrasi
Ignazio Santoro
Ilaria Faranda
Ilaria Tresoldi
Ilaria Vitturi
Imelda Antonacci
Imelda Catenazzi
Imelda Contarini
Imelda Montalti
Imelda Sauro-Ponti
Imelda Vezzali
Imelda Vitturi
Iolanda Donati-Riccardi
Iolanda Renault-Volta
Iolanda Sandi
Iolanda Strangio
Iolanda Zaccagnini
Ippazio Cassarà
Irma Barberini
Irma Mastandrea
Irma Scotto
Irma Tanzini-Iacovelli
Isa Salvemini
Isa Zaccardo
Isabella Beffa-Cagnin
Isabella Durante-Sommaruga
Isabella Gabba
Isabella Malenchini
Isabella Pederiva
Isabella Rienzo
Isabella Solari
Ivan Tamborini
Jacopo Abba-Grisoni
Jacopo Garzoni
Jacopo Grimani
Jolanda Serao
Jolanda Vasari
Lamberto Porcellato
Lamberto Sobrero
Lando Giolitti
Lando Golino
Lara Ligorio
Lara Pietrangeli
Lara Tozzi
Laura Esposito
Laura Fogazzaro-Tebaldi
Lauretta Fiorucci
Lazzaro Barsanti-Eco
Lazzaro Borrani
Lazzaro Parpinel
Lazzaro Zoppetti
Leone Greggio
Leone Ughi
Leone Vergassola
Leopoldo Camicione
Leopoldo Saragat
Letizia Grassi
Letizia Leoncavallo
Letizia Luxardo
Liana Manzoni-Cociarelli
Liana Silvestri
Liana Vento
Liberto Pascarella
Liberto Sagese
Licia Bellocchio
Lidia Cremonesi
Lidia Filzi
Lidia Petrassi
Lidia Scaramucci
Lidia Scialpi
Lidia Sismondi
Lidia Turchi-Gussoni
Liliana Bergoglio-Canil
Liliana Campano
Liliana Rocca
Liliana Vezzali-Guinizzelli
Lilla Bova
Lilla Emanuelli-Morrocco
Lilla Lamborghini
Lilla Moneta
Lilla Onio
Lilla Rusticucci
Lilla Speri
Lilla Trevisan
Lilla Udinese
Lina Bersani
Lina Borgia
Lina Guglielmi
Lina Padovano-Lercari
Lina Pizzetti
Lina Ramazzotti
Lina Schiaparelli
Lisa Galvani
Lisa Lercari-Costanzi
Lisa Maglio
Lisa Udinese
Lisa Vasari
Livia Curatoli
Livia Salata
Livia Satriani
Livia Zoppetti-Bianchi
Livio Cociarelli
Livio Marsili
Lodovico Anastasi
Lodovico Grossi
Lodovico Orlando
Lodovico Pistoletto-Bassi
Lodovico Satta
Lodovico Spinelli
Lodovico Trombetta-Guglielmi
Lolita Contarini
Lolita Frescobaldi
Lolita Geraci
Lolita Longhena
Lolita Maderna
Lolita Monte
Lolita Petrocelli-Rienzo
Lolita Pietrangeli
Lolita Pirandello-Dulbecco
Lolita Sinisi-Chiesa
Lolita Tropea-Inzaghi
Lolita Volta-Grossi
Loredana Bocca
Loredana Bonolis
Loredana Errani
Loredana Ferrata
Lorenzo Amaldi
Lorenzo Carriera-Milanesi
Lorenzo Mercalli
Lorenzo Papetti
Lorenzo Trentini
Loretta Antonioni
Loretta Caracciolo
Loretta Giradello
Loretta Monduzzi
Loretta Pizzamano
Loretta Terragni-Eco
Loretta Vendetti-Pareto
Luca Boezio
Luchino Agazzi
Luchino Bandello
Luchino Battaglia
Luchino Iacovelli
Lucia Bergoglio
Lucia Cannizzaro
Lucia Innocenti
Lucia Napolitano
Lucia Palazzo
Lucia Sabbatini
Lucia Vanvitelli-Moccia
Luciana Bassi-Balotelli
Luciana Bruscantini
Luciana Cesarotti-Onisto
Luciana Dulbecco
Luciano Collodi
Luciano Trapani
Lucio Cannizzaro-Chindamo
Lucio Carli-Polesel
Lucio Poerio
Lucio Ziani-Druso
Lucrezia Giacometti
Lucrezia Pavone-Interminei
Lucrezia Sagnelli
Lucrezia Trombetta
Lucrezia Zabarella
Ludovica Lombroso
Ludovica Nicolini
Ludovico Ferraris
Ludovico Franzese
Ludovico Marcacci
Ludovico Papetti
Luigi Fuseli-Cuomo
Luigi Grisoni
Luigi Lucciano-Ruberto
Luigi Matteotti
Luigi Nordio-Agostini
Luigi Tremonti
Luigi Zacco
Luigina Bazzi-Bruno
Luigina Bova
Luigina Filogamo-Mazzacurati
Luigina Fittipaldi
Luigina Iannuzzi
Luigina Novaro
Luigina Rosiello
Luigina Tebaldi
Luisa Bruno
Luisa Gilardoni
Luisa Parini
Luisa Seddio-Onio
Manuel Cipolla
Manuel Curiel
Manuel Giannini
Manuel Omma
Marcantonio Barracco
Marcantonio Galuppi
Marcantonio Saraceno
Marcella Parini
Marcella Rinaldi
Marcello Segni
Marcello Stoppani
Marco Ariasso
Marco Fischetti
Marco Nievo
Marco Pinamonte
Margherita Bertoni
Margherita Brugnaro
Margherita Carli
Margherita Emanuelli
Margherita Monti
Margherita Morlacchi-Abate
Margherita Morlacchi-Tutino
Margherita Ravaglioli
Margherita Schiaparelli-Segrè
Margherita Veltroni-Micca
Maria Argan-Raimondi
Maria Bottigliero
Maria Briccialdi
Maria Cibin-Liverotti
Maria Colletti
Maria Curiel-Redi
Maria Giunti
Maria Leonetti
Maria Littizzetto
Maria Lucciano
Maria Mantegna
Maria Marconi
Maria Nibali
Maria Nibali-Chechi
Maria Nicoletti
Maria Papafava-Tutino
Maria Roncalli-Franzese
Maria Sgarbi
Maria Stradivari
Maria Tomaselli
Maria Volterra-Druso
Mariana Baresi-Tosto
Mariana Brunello-Sinisi
Mariana Mocenigo-Trentini
Mariana Sismondi-Maffei
Mariana Tonisto
Mariana Visconti
Mariano Borroni
Mariano Gotti-Columbo
Mariano Interiano
Mariano Sordi
Marina Armani
Marina Berlusconi
Marina Chechi
Marina Ferrata
Marina Giacometti
Marina Petrucelli
Mario Crispi
Mario Palombi
Mario Tafuri
Marisa Galiazzo
Marisa Gradenigo
Marissa Bevilacqua
Marissa Bocelli
Marissa Callegaro
Marissa Greco
Marta Borromeo-Morlacchi
Marta Cociarelli
Marta Leblanc
Marta Pisacane
Martina Asmundo
Martina Comisso
Martina Fanucci-Spanevello
Martina Federico
Martina Sanudo
Martino Antonello-Accardo
Martino Battelli
Martino Caironi
Martino Callegaro
Martino Druso
Martino Farina
Martino Finetti
Martino Grimani-Sauli
Martino Nordio-Buonauro
Martino Trapanese
Massimiliano Ludovisi
Massimiliano Padovano
