Alameda 25 de Abril, 43
Alameda de Loureiro, S/N
Alameda de Luís António Verney, 64
Alameda de Macedo, S/N
Alameda de Machado, 22
Alameda de Matias, 135
Alameda de Matias, 2
Alameda de Morais, 60
Alameda de Moreira, 6
Alameda de Moreira, 8
Alameda de Moreira, S/N
Alameda de Mota, 944
Alameda de Nascimento, 1
Alameda de Nascimento, 88
Alameda de Neto, 35
Alameda de Neves, 887
Alameda de Neves, S/N
Alameda de Nogueira, 1
Alameda de Oliveira, 1
Alameda de Pacheco, 64
Alameda de Palma, 77
Alameda de Pereira, 32
Alameda de Pinheiro, 68
Alameda de Pinto, 9
Alameda de Pires, 492
Alameda de Reis, 26
Alameda de Reis, 3
Alameda de Reis, 41
Alameda de Reis, S/N
Alameda de Rocha, 94
Alameda de Serrúbia, S/N
Alameda de Simões, 29
Alameda de Soares, 371
Alameda de Sousa, 58
Alameda de Sá, 20
Alameda de São Vicente de Paulo, 366
Alameda de São Vicente, 69
Alameda de Tavares, 9
Alameda de Teixeira, 60
Alameda de Torres, 3
Alameda de Torres, 30
Alameda de Vaz, 3
Alameda de Vicente, 54
Alameda de Vieira, 87
Alameda do Adamastor, 917
Alameda do Alto de São João, 64
Alameda do Alto do Varejão, 8
Alameda do Anjo, S/N
Alameda do Arrabalde, 881
Alameda do Bolhão, S/N
Alameda do Caminho Novo, 3
Alameda do Carregal, 70
Alameda do Cerco do Porto, 389
Alameda do Dr. Fernando de Azeredo Antas, 10
Alameda do Freixo, S/N
Alameda do Lagarteiro, 28
Alameda do Lagarteiro, 636
Alameda do Levante, 56
Alameda do Machado, S/N
Alameda do Maestro Afonso Valentim, 80
Alameda do Mirante, 74
Alameda do Monte da Pena, 4
Alameda do Pedregulho, 36
Alameda do Preto, 39
Alameda do Preto, 73
Alameda do Rou, 3
Alameda do Rou, 99
Alameda do Sapal, 50
Alameda do Tijolo, 915
Alameda dos Combatentes da Grande Guerra, 5
Alameda dos Corvos, 13
Alameda dos Fenícios, 7
Alameda dos Navegadores, 96
Alameda Ângela Fonseca, S/N
Alameda Ângela Loureiro, 9
Alameda Íris Teixeira, 89
Av Abreu, 614
Av Abreu, 83
Av Alexandre Moreira, S/N
Av Alfredo Keil, 15
Av Alfredo Keil, 79
Av Almeida, 28
Av Amaral, 54
Av Amnistia Internacional, 86
Av Ana Melo, 75
Av Anjos, 9
Av Artur Jesus, 20
Av Associação Empresarial de Portugal, S/N
Av Assunção, S/N
Av Azevedo, S/N
Av Baptista, 620
Av Batista, 6
Av Benedita Miranda, 90
Av Branco, 43
Av Branco, S/N
Av Brito, 128
Av Brito, 6
Av Cardoso, 551
Av Cardoso, S/N
Av Catarina Simões, 93
Av Coelho, 33
Av Coronel Vítor Alves, 49
Av Costa, 7
Av Cruz, 1
Av Cruz, S/N
Av César Esteves, S/N
Av Dom Afonso Henriques, 76
Av Domingues, 1
Av Duarte Azevedo, 60
Av Edgar Nogueira, 52
Av Eduarda Gonçalves, S/N
Av Eduardo Amorim, 30
Av Erika Morais, 51
Av Escuro, 3
Av Eva Gonçalves, 83
Av Eva Pacheco, S/N
Av Feia, 94
Av Fernandes, 23
Av Fernandes, 80
Av Flor da Rosa, S/N
Av Francisco Costa, 9
Av Freitas, 58
Av Freitas, 589
Av Freitas, 9
Av Gabriel Neto, 951
Av Gabriela Azevedo, 613
Av Gaspar Melo, 6
Av Gaspar, 88
Av Gomes, 71
Av Gomes, S/N
Av Guilherme Henriques, S/N
Av Gustavo Leite, 6
Av Henrique Cunha, 158
Av Herculano, 61
Av Isabela Paiva, 5
Av Jaime Martins, 27
Av Jesus, 59
Av José Domingues dos Santos, S/N
Av Kyara Nunes, 81
Av Leite, 57
Av Leite, S/N
Av Lorena Barros, 28
Av Lucas Paiva, 8
Av Luciana Lopes, 40
Av Luís Amorim, 40
Av Luís Ferreira, 3
Av Magalhães, 28
Av Magalhães, S/N
Av Maia, 38
Av Maria José Moura, 98
Av Marta Leal, 41
Av Marta Martins, 51
Av Martins, 4
Av Matos, 271
Av Matos, 6
Av Melo, 79
Av Mendes, 15
Av Mendes, 35
Av Micael Monteiro, 15
Av Miranda, 52
Av Monteiro, S/N
Av Morais, 84
Av Mário Ruivo, 776
Av Mário Soares, 13
Av Mélanie Lourenço, 798
Av Naiara Andrade, S/N
Av Noa Pires, 47
Av Nogueira, 7
Av Nunes, 234
Av Núria Cunha, 23
Av Patrícia Mendes, 98
Av Pedro Almeida, S/N
Av Pereira, 11
Av Pereira, 48
Av Pereira, S/N
Av Pinto, S/N
Av Pires, 351
Av Português, 10
Av Ramos, 78
Av Raquel Torres, 13
Av Renata Pereira, 41
Av Rita Loureiro, 84
Av Rocha, S/N
Av Santiago Leal, 2
Av Sebastião Leite, 28
Av Silva, S/N
Av Sousa, 336
Av Sá, 5
Av Tatiana Pires, 5
Av Teixeira, 55
Av Torres, 354
Av Vasco Barros, 92
Av Vera Moreira, 52
Av Vítor Borges, 26
Av Wilson Lourenço, 48
Av Wilson Moura, 25
Av Xavier Nascimento, 58
Av da Alfândega, 76
Av da França, 87
Av das Bolas, 4
Av das Carquejeiras, S/N
Av das Mimosas, S/N
Av das Musas, S/N
Av das Âncoras, 635
Av de Almeida, 41
Av de Almeida, 5
Av de Alves, 28
Av de Andrade, 46
Av de Andrade, 642
Av de Andrade, S/N
Av de Assunção, 47
Av de Barbosa, 3
Av de Barbosa, 753
Av de Barbosa, 77
Av de Barbosa, 78
Av de Barbosa, S/N
Av de Barros, 768
Av de Basílio Teles, 62
Av de Belém, 23
Av de Borges, 5
Av de Borges, 537
Av de Borges, 6
Av de Cardoso, 2
Av de Cardoso, S/N
Av de Carvalho, 39
Av de Carvalho, S/N
Av de Castro, 787
Av de Coelho, 45
Av de Coelho, S/N
Av de Correia, 90
Av de Eduardo Soares, S/N
Av de Figueiredo, 6
Av de Figueiredo, S/N
Av de Fontes Pereira de Melo, S/N
Av de Gondomar, 2
Av de Guerreiro, 64
Av de Guerreiro, S/N
Av de Henriques, 67
Av de Jesus, 968
Av de José Régio, 76
Av de José Régio, 96
Av de João Augusto Ribeiro, S/N
Av de Leal, 85
Av de Maia, 43
Av de Marques, 10
Av de Marques, 78
Av de Martins, 17
Av de Martins, S/N
Av de Matos, S/N
Av de Melo, 21
Av de Mendes, 28
Av de Mendes, 50
Av de Mendes, 712
Av de Miranda, 7
Av de Miranda, S/N
Av de Morais, 123
Av de Morais, 6
Av de Mota, 3
Av de Nascimento, 248
Av de Nascimento, 38
Av de Neto, S/N
Av de Neves, 71
Av de Nogueira, 74
Av de Nogueira, S/N
Av de Nunes, 3
Av de Nunes, 91
Av de Oliveira, 9
Av de Paiva, 46
Av de Pina Manique, 2
Av de Pinheiro, 4
Av de Ramalde, 51
Av de Ribeiro, 98
Av de Ribeiro, S/N
Av de Rocha, 9
Av de Rocha, S/N
Av de S. Brás, 5
Av de S. Mamede, 70
Av de Santana, 369
Av de Santana, 50
Av de Silva, 60
Av de Soares, 28
Av de Sobre-o-Douro, 81
Av de Sousa, 69
Av de Sá, 203
Av de São João de Deus, 5
Av de Teixeira, 5
Av de Valente, 9
Av de Valente, 90
Av de Valente, 979
Av de Vaz, 6
Av de Vinte e Quatro de Agosto, 36
Av do Barcal, 72
Av do Bicalho, 45
Av do Calhau, 77
Av do Carvalhão, 80
Av do Codeçal, 529
Av do Codeçal, S/N
Av do Dr. Fernando de Azeredo Antas, S/N
Av do Evaristo, 12
Av do Leal, 53
Av do Maestro Afonso Valentim, 64
Av do Monte da Lapa, 27
Av do Monte da Lapa, S/N
Av do Moreda, S/N
Av do Parque, 9
Av do Pinzaleiro, 14
Av do Rego Lameiro, 8
Av do Rego Lameiro, 96
Av do Seabra, S/N
Av do Seminário, 65
Av do Sobreirinho, S/N
Av do Trancão, 83
Av dos Aliados, S/N
Av dos Moinhos, 28
Av dos Olivais, 40
Av Ângelo Rodrigues, S/N
Av Íris Brito, 9
Avenida Adriana Lima, 68
Avenida Afonso Machado, 16
Avenida Afonso Rodrigues, 565
Avenida Afonso Tavares, 97
Avenida Alexandre Fernandes, S/N
Avenida Almeida, S/N
Avenida Alícia Costa, 377
Avenida Amorim, 897
Avenida Amorim, 984
Avenida Ana Almeida, 1
Avenida Associação Empresarial de Portugal, 50
Avenida Azevedo, 5
Avenida Azevedo, 984
Avenida Barbosa, S/N
Avenida Barros, 34
Avenida Batista, 90
Avenida Branco, 2
Avenida Brian Barros, 78
Avenida Brito, 140
Avenida Bryan Nascimento, 28
Avenida Bárbara Morais, 839
Avenida Campos, S/N
Avenida Cardoso, 79
Avenida Carneiro, S/N
Avenida Carvalho, 691
Avenida Cunha, 83
Avenida César Brito, S/N
Avenida Daniel Barros, 7
Avenida Daniela Lourenço, S/N
Avenida Diana Moreira, S/N
Avenida Diego Moura, 976
Avenida Diego Tavares, 934
Avenida Domingues, 724
Avenida Duarte Marques, 48
Avenida Eduardo Leite, 46
Avenida Elisa Baptista de Sousa Pedroso, 160
Avenida Emma Leite, 69
Avenida Emma Moura, 403
Avenida Erica Neves, 9
Avenida Ernesto Veiga de Oliveira, 85
Avenida Esteves, S/N
Avenida Eva Domingues, 7
Avenida Fernandes, 40
Avenida Fernandes, 57
Avenida Ferreira, 592
Avenida Filipe Amorim, 22
Avenida Francisca Freitas, 2
Avenida Francisca Neves, 87
Avenida Freitas, 84
Avenida General Afonso Botelho, 38
Avenida Gil Anjos, 621
Avenida Gustavo Garcia, 64
Avenida Helena Matos, S/N
Avenida Henrique Maia, 3
Avenida Henriques, 98
Avenida Inês Lourenço, 5
Avenida Isabel Coelho, 1
Avenida Ivan Figueiredo, 987
Avenida Ivan Moura, 91
Avenida Ivan Nascimento, 7
Avenida Joana Anjos, S/N
Avenida José Miranda, 801
Avenida Kevin Reis, 782
Avenida Kevin Torres, S/N
Avenida Laura Fonseca, 2
Avenida Leal, S/N
Avenida Leite, S/N
Avenida Leonardo Moreira, 45
Avenida Letícia Carneiro, 74
Avenida Loureiro, S/N
Avenida Lourenço, 94
Avenida Luana Costa, 6
Avenida Luciana Matias, 6
Avenida Luís Ferreira, 7
Avenida Lúcia Amaral, 87
Avenida Macedo, 27
Avenida Machado, 19
Avenida Madrid, S/N
Avenida Margarida Matias, 418
Avenida Marques, 55
Avenida Marques, 81
Avenida Marques, 9
Avenida Martins, 9
Avenida Matias Matos, 3
Avenida Matias, 3
Avenida Matilde Castro, 91
Avenida Melissa Barros, 7
Avenida Melissa Vieira, S/N
Avenida Mendes, 78
Avenida Mendes, 9
Avenida Micael Mendes, 33
Avenida Miranda, 26
Avenida Morais, S/N
Avenida Moreira, S/N
Avenida Moura, 83
Avenida Nacional 209, 93
Avenida Nair Amaral, 77
Avenida Nelson Mandela, 95
Avenida Nelson Reis, 658
Avenida Nicole Araújo, 37
Avenida Novo (à Travessa das Águas Boas), 17
Avenida Pacheco, 37
Avenida Paiva, S/N
Avenida Pinho, 3
Avenida Pires, 48
Avenida Prof. Francisco Caldeira Cabral, 13
Avenida República Argentina, 41
Avenida República da Colômbia, 55
Avenida Ribeiro, 63
Avenida Rita Cruz, S/N
Avenida Rocha, 59
Avenida Santiago Leite, 17
Avenida Santos, 26
Avenida Sara Pacheco, 68
Avenida Silva Porto, 5
Avenida Silva, S/N
Avenida Simão Leite, 164
Avenida Soares, 55
Avenida Soraia Melo, 23
Avenida Sousa, S/N
Avenida Sul do Bairro da Encarnação, 2
Avenida Sá, 50
Avenida Tavares, 1
Avenida Tavares, 16
Avenida Tavares, 40
Avenida Teixeira, 8
Avenida Teófilo Ferreira, 330
Avenida Tomás Anjos, 70
Avenida Valente, 1
Avenida Valentim Gaspar, 8
Avenida Vaz, 14
Avenida Vaz, S/N
Avenida Vicente, 26
Avenida Vicente, 58
Avenida Vieira, 27
Avenida Violeta Fernandes, 63
Avenida William Carneiro, 951
Avenida da Foz, 32
Avenida da Vila Expo, 6
Avenida das Cebolas, S/N
Avenida das Fragatas, 53
Avenida das Galeotas ao Parque das Nações, 95
Avenida das Nações, 8
Avenida das Rolas, 72
Avenida das Rolas, S/N
Avenida das Verdades, 54
Avenida de Almeida, 807
Avenida de Alves, 24
Avenida de Amaral, 6
Avenida de Amaral, S/N
Avenida de Amorim, 24
Avenida de Amorim, 43
Avenida de Antunes, S/N
Avenida de Assunção, 87
Avenida de Azevedo, 28
Avenida de Azevedo, S/N
Avenida de Baptista, 45
Avenida de Barros, S/N
Avenida de Batista, 65
Avenida de Batista, S/N
Avenida de Borges, S/N
Avenida de Branco, 20
Avenida de Campolide, 75
Avenida de Carvalho, 26
Avenida de Carvalho, 79
Avenida de Carvalho, S/N
Avenida de Costa, 55
Avenida de Cruz, 4
Avenida de Faria, 14
Avenida de Faria, 44
Avenida de Faria, 78
Avenida de Fernandes, 56
Avenida de Fernandes, 70
Avenida de Figueiredo, 15
Avenida de Freitas, 1
Avenida de Freitas, 63
Avenida de Freitas, S/N
Avenida de Gaspar, 59
Avenida de Gondomar, 44
Avenida de Gonçalo Cristóvão, 4
Avenida de Gonçalves, 62
Avenida de João do Carmo, 938
Avenida de Leite, 4
Avenida de Magalhães, 28
Avenida de Magalhães, 6
Avenida de Martins, 7
Avenida de Martins, S/N
Avenida de Matos, 37
Avenida de Matos, 4
Avenida de Matos, 50
Avenida de Mendes, 77
Avenida de Mendes, S/N
Avenida de Miranda, 4
Avenida de Monteiro, 350
Avenida de Morais, S/N
Avenida de Moreira, 70
Avenida de Moreira, S/N
Avenida de Mota, 37
Avenida de Neves, 8
Avenida de Nun'Álvares Pereira, S/N
Avenida de Nunes, 24
Avenida de Oliveira, S/N
Avenida de Pacheco, 3
Avenida de Pacheco, S/N
Avenida de Paiva Couceiro, S/N
Avenida de Paiva, 45
Avenida de Pereira, 296
Avenida de Pereira, 563
Avenida de Pires, S/N
Avenida de Ribeiro, 1
Avenida de Ribeiro, 71
Avenida de Ribeiro, 896
Avenida de Ribeiro, S/N
Avenida de Rodrigues, 63
Avenida de S. Francisco de Borja, 32
Avenida de Tavares, 66
Avenida de Teixeira, S/N
Avenida de Valente, 54
Avenida de Vaz, 22
Avenida de Vicente, 415
Avenida de Vieira, 4
Avenida de Vieira, 84
Avenida de Viterbo de Campos, 63
Avenida do Amazonas, S/N
Avenida do Arrabalde, 3
Avenida do Barredo, 17
Avenida do Bessa, 5
Avenida do Cantábrico, 28
Avenida do Conselho da Europa, 22
Avenida do Marechal Gomes da Costa, 70
Avenida do Monte da Pena, 15
Avenida do Outeiro, 20
Avenida do Passeio Alegre, 595
Avenida do Pedregulho, 64
Avenida do Prof. Hernâni Monteiro, S/N
Avenida do Seabra, 53
Avenida do Trancão, 67
Avenida dos Argonautas, S/N
Avenida dos Flamingos, 2
Avenida Ângela Leite, 4
Avenida Ângela Nunes, 76
Avenida Érica Almeida, 83
Largo Alves, 1
Largo Alves, S/N
Largo Amaral, S/N
Largo Andrade, 32
Largo André Assunção, S/N
Largo Antunes, 9
Largo António Monteiro, 68
Largo António Sérgio, 14
Largo António Sérgio, 9
Largo Araújo, 24
Largo Artur Barbosa, S/N
Largo Associação Empresarial de Portugal, S/N
Largo Augusto Monjardino, 29
Largo Azevedo, 1
Largo Azevedo, S/N
Largo Barbosa, 22
Largo Batista, 48
Largo Benedita Valente, 59
Largo Benjamim Esteves, 8
Largo Benjamim Leal, S/N
Largo Borges, 12
Largo Branco, 8
Largo Brito, 4
Largo Brito, 931
Largo Brito, 94
Largo Bruna Matos, 86
Largo Bárbara Baptista, 5
Largo Bárbara Jesus, 607
Largo Bárbara Lopes, 16
Largo Caetana Ramos, 3
Largo Camila Magalhães, 22
Largo Campos, 2
Largo Campos, 5
Largo Cardeal Cerejeira, S/N
Largo Carlos Loureiro, 50
Largo Carneiro, S/N
Largo Carolina Valente, S/N
Largo Carvalho, S/N
Largo Catarina Nascimento, S/N
Largo Coronel Vítor Alves, 98
Largo Correia, 36
Largo Cristiano Coelho, 14
Largo Cunha, S/N
Largo Domingues, 10
Largo Erica Antunes, 46
Largo Faria, 5
Largo Faria, 839
Largo Ferreira de Mira, 754
Largo Ferreira, 62
Largo Figueiredo, 1
Largo Figueiredo, 90
Largo Fonseca, 89
Largo Francisca Tavares, 4
Largo Freitas, 673
Largo Garcia, S/N
Largo General Afonso Botelho, 86
Largo General Afonso Botelho, S/N
Largo Gonçalves, 35
Largo Gonçalves, 44
Largo Guilherme Lourenço, 92
Largo Guilherme Vicente, 36
Largo Helena Cruz, 4
Largo Henriques, 12
Largo Henriques, 13
Largo Iara Melo, 904
Largo Inês Vaz, S/N
Largo Isaac Rodrigues, 74
Largo Ismael Nogueira, 1
Largo Ivan Figueiredo, 498
Largo Jaime Matias, 93
Largo Jorge Rocha, 306
Largo Laura Ribeiro, 17
Largo Leandro Carvalho, 141
Largo Leandro Nogueira, S/N
Largo Leonardo Campos, 38
Largo Leonor Freitas, 203
Largo Lima, 240
Largo Lisandro Pinto, S/N
Largo Lourenço Andrade, 20
Largo Lourenço Soares, 3
Largo Lúcia Pacheco, 78
Largo Macedo, 70
Largo Machado, 65
Largo Machado, 74
Largo Madalena Pires, 964
Largo Madalena Ramos, 312
Largo Magalhães, S/N
Largo Marcos Gomes, 2
Largo Maria José Moura, 87
Largo Mariana Andrade, 39
Largo Marques, 218
Largo Martins, 7
Largo Matos, 71
Largo Melo, S/N
Largo Mia Esteves, S/N
Largo Micael Pinto, 56
Largo Miranda, 69
Largo Monteiro, 25
Largo Moreira, 30
Largo Moreira, 814
Largo Mota, 354
Largo Naiara Nascimento, 88
Largo Neves, 26
Largo Nicole Reis, 98
Largo Noa Azevedo, 75
Largo Nogueira, 5
Largo Nádia Leite, 9
Largo Pacheco, 386
Largo Paiva, 59
Largo Pilar Reis, 89
Largo Pinheiro, 21
Largo Professor José Conde, S/N
Largo Ramos, 13
Largo Ramos, 5
Largo Reis, S/N
Largo Rita Simões, 18
Largo Rocha, 7
Largo Rodrigo Barbosa, 34
Largo Rui Reis, 7
Largo Salomé Maia, 97
Largo Sandro Correia, S/N
Largo Santiago Jesus, 66
Largo Santiago Miranda, 81
Largo Sara Ribeiro, S/N
Largo Sebastião Paiva, S/N
Largo Sá, 570
Largo Sá, S/N
Largo Sérgio Magalhães, 3
Largo Tatiana Baptista, 3
Largo Tavares, S/N
Largo Teresa Matos, 1
Largo Teófilo Ferreira, 40
Largo Tristão da Silva, 41
Largo Vicente Ferreira, 49
Largo Vicente Teixeira, 8
Largo Victória Mendes, S/N
Largo Victória Valente, 52
Largo Vieira, 17
Largo Vieira, 36
Largo Vitória Matias, 35
Largo William Anjos, S/N
Largo Yasmin Reis, 27
Largo da Agra do Amial, 72
Largo da Figueira, 94
Largo da Quinta de São João Baptista, 42
Largo da Ranha, 96
Largo da Rua Duque de Palmela, S/N
Largo da Senhora da Lapa, 37
Largo das Ondas, 342
Largo das Sereias, 69
Largo de 25 de Abril, 6
Largo de Alves, 5
Largo de Alves, 95
Largo de Amorim, 33
Largo de Anjos, 745
Largo de Antunes, 20
Largo de Araújo, 71
Largo de Araújo, 740
Largo de Assunção, 16
Largo de Batista, 343
Largo de Brito, S/N
Largo de Cardoso, 74
Largo de Castro, 14
Largo de Colares, 50
Largo de Correia, 48
Largo de Correia, 54
Largo de Costa, 896
Largo de Cruz, S/N
Largo de Cunha, 17
Largo de Dom Fradique, 60
Largo de Fernandes, 13
Largo de Fernandes, 928
Largo de Gomes, 80
Largo de Guedes de Oliveira, S/N
Largo de Jesus, 80
Largo de José Régio, 70
Largo de Lamas, 2
Largo de Leite, 36
Largo de Macedo, 4
Largo de Macedo, 40
Largo de Macedo, 67
Largo de Magalhães, 35
Largo de Maia, 25
Largo de Manuel Cardoso Agrelos, 77
Largo de Marques, 61
Largo de Monteiro, 57
Largo de Moreira, S/N
Largo de Moura, 21
Largo de Nogueira, 53
Largo de Nova Sintra, 515
Largo de Nova Sintra, 664
Largo de Oliveira, S/N
Largo de Pacheco, S/N
Largo de Palma de Cima, 39
Largo de Pereira, 53
Largo de Pereira, 6
Largo de Pinheiro, 63
Largo de Pinheiro, 90
Largo de Pinho, 14
Largo de Pinho, 27
Largo de Pinho, 72
Largo de Pires, 54
Largo de Reis, 1
Largo de Reis, 97
Largo de Ribeiro, 382
Largo de Ribeiro, 82
Largo de Rodrigues, 8
Largo de S. Lázaro, 84
Largo de S. Macário, 385
Largo de S. Mamede, S/N
Largo de Santo Estêvão, S/N
Largo de Santo Eugénio, S/N
Largo de Silva, S/N
Largo de Sousa, 96
Largo de Sousa, S/N
Largo de Sá, 80
Largo de São Pedro, 77
Largo de Teixeira, 20
Largo de Teixeira, 732
Largo de Torres, 14
Largo de Valente, 674
Largo de Vaz, S/N
Largo do Adro, 104
Largo do Anjo da Guarda, 227
Largo do Arboreto, 31
Largo do Arboreto, S/N
Largo do Beato, 63
Largo do Bolhão, 97
Largo do Campo da Bola, 749
Largo do Carvalhão, 99
Largo do Castelo, 469
Largo do Cidral de Cima, 85
Largo do Freixo, 98
Largo do Levante, 952
Largo do Maestro Afonso Valentim, S/N
Largo do Mercado, 30
Largo do Monte Cativo, 72
Largo do Monte Cativo, S/N
Largo do Monte, 3
Largo do Pedregulho, 30
Largo dos Mastros, 98
Largo dos Moinhos, 770
Largo dos Navegadores, 48
Largo Ângelo Almeida, 28
Praça Adriana Maia, 444
Praça Alexandra Domingues, S/N
Praça Alfredo Keil, 871
Praça Almeida, S/N
Praça Alves, 68
Praça Amélia Carvalheira, 86
Praça Amélia Garcia, 71
Praça Andrade, 8
Praça Andreia Figueiredo, 1
Praça Anita Lopes, 8
Praça Antunes, 5
Praça Antunes, 59
Praça António Dias Lourenço, 89
Praça Araújo, 703
Praça Ariana Mota, 74
Praça Ariana Nogueira, 583
Praça Artur Agostinho, 52
Praça Artur Agostinho, S/N
Praça Assunção, 4
Praça Assunção, 55
Praça Azevedo, 34
Praça Azevedo, 68
Praça Baptista, 8
Praça Barros, 5
Praça Benjamim Neves, 4
Praça Bianca Freitas, 60
Praça Borges, 881
Praça Bruna Leal, 62
Praça Bryan Pinto, 338
Praça Camila Leal, 422
Praça Campos, 883
Praça Carlos Ramos, 73
Praça Carlos Vieira, 59
Praça Carolina Pires, 81
Praça Castro, S/N
Praça Cláudio Henriques, 58
Praça Constança Carneiro, 23
Praça Correia, 34
Praça Correia, 87
