300 არაგველის ქ. 01, ტყვარჩელი
ასათიანი ლადოს ქ. 95, თელავი
ასათიანი ლადოს ქ. 97, აბაშა
ასკანის ქ. 02, გორი
ასკანის ქ. 28, ბორჯომი
ასკანის ქ. 71, ახმეტა
ასხინის ქ. 82, ტყიბული
ატენის ქ. 91, დმანისი
აფანასიევის ქ. 50, ახმეტა
აფანასიევის ქ. 77, ტყვარჩელი
აფხაზეთის ქ. 38, ვალე
აფხაზეთის ქ. 47, დმანისი
აფხაზეთის ქ. 54, გაგრა
აჭარის ქ. 01, რუსთავი
აჭარის ქ. 07, ქუთაისი
აჭარის ქ. 47, თბილისი
აჭარის ქ. 89, ამბროლაური
აჭარის ქ. 92, ახალი ათონი
ახალარსენალის ქ. 01, ბათუმი
ახალარსენალის ქ. 06, ონი
ახალარსენალის ქ. 38, გარდაბანი
ახალარსენალის ქ. 40, წნორი
ახალდაბის ქ. 91, ბორჯომი
ახალქალაქის ქ. 07, ახალციხე
ახალქალაქის ქ. 44, ბოლნისი
ახალქალაქის ქ. 70, საგარეჯო
ახალქალაქის ქ. 93, აბაშა
ახვლედიანი გიორგის ქ. 10, დმანისი
ახვლედიანი გიორგის ქ. 18, თბილისი
ახვლედიანი გიორგის ქ. 71, საგარეჯო
ახვლედიანი ელენეს ქ. 13, ახმეტა
ახვლედიანის ქ. 44, სენაკი
ახვლედიანის ქ. 48, თეთრიწყარო
ახმეტელის ქ. 02, ვანი
ახმეტის ქ. 32, ზესტაფონი
ახმეტის ქ. 85, ტყვარჩელი
ახმეტის ქ. 93, ონი
ახოსპირელის ქ. 23, ბოლნისი
ახტალის ქ. 37, მცხეთა
ახუთის ქ. 26, ტყვარჩელი
ახუნდოვის ქ. 55, ყვარელი
აჯამეთის ქ. 22, ტყვარჩელი
აჯამეთის ქ. 35, სამტრედია
აჯამეთის ქ. 82, ბათუმი
ბააზოვის ქ. 52, აბაშა
ბააზოვის ქ. 62, ნინოწმინდა
ბაგინეთის ქ. 75, ხობი
ბადიაურის ქ. 56, ცხინვალი
ბაზალეთის ქ. 92, ქობულეთი
ბაზალეთის ქ. 95, ჭიათურა
ბათუმის ქ. 49, ცხინვალი
ბათუმის ქ. 92, საჩხერე
ბაკურიანის ქ. 17, ამბროლაური
ბაკურიანის ქ. 55, ოჩამჩირე
ბაკურიანის ქ. 85, ფოთი
ბაკურციხის ქ. 05, მარნეული
ბაკურციხის ქ. 50, ლანჩხუთი
ბაკურციხის ქ. 56, ხობი
ბალადინის ქ. 40, ფოთი
ბალადინის ქ. 62, ჭიათურა
ბალადინის ქ. 86, ცხინვალი
ბალანჩივაძე მელიტონის ქ. 36, აბაშა
ბალანჩივაძე მელიტონის ქ. 58, ოჩამჩირე
ბალანჩივაძე მელიტონის ქ. 69, თელავი
ბარათაშვილი ნოკოლოზის ქ. 33, ვალე
ბარათაშვილი ნოკოლოზის ქ. 50, რუსთავი
ბარათაშვილის ქ. 08, ოზურგეთი
ბარათაშვილის ქ. 28, აბაშა
ბარალეთის ქ. 42, ბორჯომი
ბარალეთის ქ. 61, გურჯაანი
ბარამიძე ალექსანდრეს ქ. 17, ტყვარჩელი
ბარამიძე ალექსანდრეს ქ. 79, ვანი
ბარისახოს ქ. 68, ზესტაფონი
ბარისახოს ქ. 74, წნორი
ბარისახოს ქ. 75, ყვარელი
ბარნოვის ქ. 38, ლანჩხუთი
ბაქოს ქ. 58, ლანჩხუთი
ბაქოს ქ. 59, დედოფლისწყარო
ბაქოს ქ. 88, ბაღდათი
ბაქრაძე დავითის ქ. 24, მარნეული
ბაქრაძე დავითის ქ. 47, ვალე
ბაქრაძე დავითის ქ. 81, თბილისი
ბაქრაძე დიმიტრის ქ. 66, ახმეტა
ბაქრაძე დიმიტრის ქ. 71, სამტრედია
ბაღდათის ქ. 30, წყალტუბო
ბახმაროს ქ. 49, მარტვილი
ბახტრიონის ქ. 21, თეთრიწყარო
ბახტრიონის ქ. 56, გალი
ბახტრიონის ქ. 84, მარნეული
ბედიის ქ. 12, ახალქალაქი
ბედიის ქ. 27, ბათუმი
ბედიის ქ. 82, სამტრედია
ბედიის ქ. 90, სამტრედია
ბევრეთის ქ. 03, ახალქალაქი
ბევრეთის ქ. 91, წალენჯიხა
ბევრეთის ქ. 99, დუშეთი
ბეთანიის ქ. 41, ფოთი
ბეთლემის ქ. 03, თელავი
ბეთლემის ქ. 62, გორი
ბელიაშვილი აკაკის ქ. 48, ჭიათურა
ბენაშვილის ქ. 95, ახალციხე
ბენდელიანი ჭიჭიკოს ქ. 87, წნორი
ბეჟანიშვილი ეკას ქ. 44, ვალე
ბერიკაშვილის ქ. 26, ზესტაფონი
ბერიკაშვილის ქ. 32, ლაგოდეხი
ბერიკაშვილის ქ. 37, მცხეთა
ბერიკაშვილის ქ. 44, რუსთავი
ბერიკაშვილის ქ. 55, ქარელი
ბერიკაშვილის ქ. 57, ვანი
ბერიკაშვილის ქ. 80, სენაკი
ბერიტაშვილის ქ. 17, გურჯაანი
ბერიტაშვილის ქ. 54, მარნეული
ბერიტაშვილის ქ. 98, მარტვილი
ბერიძე ვუკოლის ქ. 60, კასპი
ბერიძე ვუკოლის ქ. 98, ლანჩხუთი
ბერძენიშვილის ქ. 09, ბაღდათი
ბერძენიშვილის ქ. 14, ცაგერი
ბერძენიშვილის ქ. 52, ცაგერი
ბერძენიშვილის ქ. 73, თერჯოლა
ბესიკის ქ. 42, ცხინვალი
ბესიკის ქ. 47, სოხუმი
ბესიკის ქ. 62, ხობი
ბესიკის ქ. 65, გურჯაანი
ბესიკის ქ. 90, სიღნაღი
ბექა ოპიზარის ქ. 05, ხობი
ბექა ოპიზარის ქ. 54, ბორჯომი
ბექა ოპიზარის ქ. 69, მარნეული
ბექა ოპიზარის ქ. 90, ოჩამჩირე
ბეღლეთის ქ. 16, თეთრიწყარო
ბეღლეთის ქ. 33, თეთრიწყარო
ბეღლეთის ქ. 43, ოზურგეთი
ბზიფის ქ. 33, რუსთავი
ბზიფის ქ. 53, ოზურგეთი
ბზიფის ქ. 87, ახალი ათონი
ბზიფის ქ. 90, სამტრედია
ბიჭვინთის ქ. 15, ნინოწმინდა
ბიჭვინთის ქ. 40, გურჯაანი
ბიჭვინთის ქ. 47, ჭიათურა
ბიჭვინთის ქ. 96, თერჯოლა
ბოგვის ქ. 28, ახალი ათონი
ბოგვის ქ. 31, ტყვარჩელი
ბოდავის ქ. 18, მარტვილი
ბოდავის ქ. 63, ფოთი
ბოდბის ქ. 41, ახალციხე
ბოლნისის ქ. 26, გალი
ბოლნისის ქ. 39, ოზურგეთი
ბოლნისის ქ. 46, გურჯაანი
ბოლნისის ქ. 72, ტყიბული
ბოლნისის ქ. 88, გურჯაანი
ბორბალოს ქ. 10, ხობი
ბორბალოს ქ. 18, დმანისი
ბორბალოს ქ. 38, ხონი
ბორბალოს ქ. 60, საჩხერე
ბოროდინოს ქ. 11, წყალტუბო
ბოროდინოს ქ. 46, ცხინვალი
ბოროდინოს ქ. 72, გალი
ბოროდინოს ქ. 85, დედოფლისწყარო
ბოტანიკურის ქ. 08, რუსთავი
ბოცვაძის ქ. 42, გუდაუთა
ბოცვაძის ქ. 46, ოზურგეთი
ბოჭორიშვილის ქ. 58, ლანჩხუთი
ბოჭორიშვილის ქ. 67, ნინოწმინდა
ბოჭორიშვილის ქ. 88, დმანისი
ბჟოლეთის ქ. 66, ცხინვალი
ბროლოსანის ქ. 02, მარტვილი
ბუაჩიძე თენგიზის ქ. 25, ყვარელი
ბუაჩიძე თენგიზის ქ. 69, ყვარელი
ბუაჩიძე თენგიზის ქ. 87, ქობულეთი
ბულაჩაურის ქ. 40, წყალტუბო
ბულაჩაურის ქ. 90, ახალციხე
ბულაჩაურის ქ. 95, გურჯაანი
ბურძგლას ქ. 17, ოჩამჩირე
ბურძგლას ქ. 82, საჩხერე
ბურძგლას ქ. 97, ლაგოდეხი
ბურძგლას ქ. 98, გალი
ბუხაიძის ქ. 13, თერჯოლა
ბუხაიძის ქ. 25, წალენჯიხა
გ. სვანიძის ქ. 25, დუშეთი
გ. სვანიძის ქ. 95, ქარელი
გაბაშვილი ეკატერინეს ქ. 03, ზესტაფონი
გაბაშვილი ეკატერინეს ქ. 09, ხაშური
გაბაშვილი ეკატერინეს ქ. 35, ქობულეთი
გაბაშვილი ეკატერინეს ქ. 37, დუშეთი
გალავნის ქ. 17, ხობი
გალავნის ქ. 32, სიღნაღი
გალავნის ქ. 59, ტყიბული
გალაქტიონ ტაბიძის ქ. 13, ბოლნისი
გალაქტიონ ტაბიძის ქ. 35, ოზურგეთი
გალაქტიონ ტაბიძის ქ. 41, სენაკი
გალის ქ. 06, ამბროლაური
გალის ქ. 31, ბოლნისი
გამრეკელის ქ. 15, თერჯოლა
გამცემლიძე შოთას ქ. 18, ყვარელი
გამცემლიძე შოთას ქ. 72, ლანჩხუთი
გამცემლიძე შოთას ქ. 72, ონი
გამცემლიძე შოთას ქ. 86, გურჯაანი
გამცემლიძე შოთას ქ. 95, ბათუმი
განთიადის ქ. 06, ქობულეთი
განთიადის ქ. 30, ბორჯომი
განთიადის ქ. 74, ახმეტა
გარე კახეთის ქ. 27, ახმეტა
გარე კახეთის ქ. 60, ქობულეთი
გარეჯელი დავითის ქ. 52, დედოფლისწყარო
გარეჯელი დავითის ქ. 73, თბილისი
გარიყული მარიამის ქ. 47, ტყვარჩელი
გარიყული მარიამის ქ. 49, გორი
გაფრინდაულის ქ. 39, გორი
გაფრინდაულის ქ. 39, საგარეჯო
გაფრინდაულის ქ. 46, რუსთავი
გაფრინდაულის ქ. 51, გუდაუთა
გაფრინდაულის ქ. 76, გალი
გაფრინდაულის ქ. 83, ონი
გახოკიძე აკაკის ქ. 42, დმანისი
გახოკიძე აკაკის ქ. 59, ზუგდიდი
გახოკიძის ქ. 14, წალკა
გახოკიძის ქ. 68, ახმეტა
გეგუთის ქ. 04, ლაგოდეხი
გეგუთის ქ. 80, ცაგერი
გედევანიშვილის ქ. 62, წალენჯიხა
გეზათის ქ. 47, ზუგდიდი
გეზათის ქ. 51, ახმეტა
გელათის ქ. 00, ქარელი
გელათის ქ. 20, ცხინვალი
გელათის ქ. 26, სენაკი
გერგეტის ქ. 11, ზუგდიდი
გერგეტის ქ. 88, მარნეული
გივიშვილის ქ. 08, წნორი
გივიშვილის ქ. 11, თელავი
გივიშვილის ქ. 97, ტყიბული
გიორგაძის ქ. 08, გურჯაანი
გიორგაძის ქ. 54, ტყვარჩელი
გიორგაძის ქ. 61, თელავი
გიორგაძის ქ. 96, თბილისი
გიორგაძის ქ. 96, ლანჩხუთი
გიორგი მერჩულეს ქ. 93, მცხეთა
გლინკას ქ. 88, ყვარელი
გოგაშენის ქ. 01, ლანჩხუთი
გოგაშენის ქ. 75, საგარეჯო
გოგებაშვილის იაკობის ქ. 47, დმანისი
გოგებაშვილის იაკობის ქ. 81, გარდაბანი
გოგოლაურის ქ. 54, ახალი ათონი
გოგოლაურის ქ. 56, ზუგდიდი
გოგოლაურის ქ. 57, რუსთავი
გოგოლაურის ქ. 60, ფოთი
გოგოლაურის ქ. 65, თერჯოლა
გოგოლაურის ქ. 98, ხონი
გოგოლის ქ. 24, აბაშა
გოგოლის ქ. 78, დუშეთი
გოგოლის ქ. 90, დედოფლისწყარო
გოგჩის ქ. 12, თეთრიწყარო
გოგჩის ქ. 28, ფოთი
გოგჩის ქ. 49, გუდაუთა
გოთუას ქ. 17, ზუგდიდი
გოთუას ქ. 33, ჭიათურა
გოკიელის ქ. 89, გაგრა
გომარეთის ქ. 35, ახალი ათონი
გომარეთის ქ. 38, ბათუმი
გომარეთის ქ. 43, ამბროლაური
გომარეთის ქ. 48, ქობულეთი
გომარეთის ქ. 56, ზესტაფონი
გომარეთის ქ. 84, გარდაბანი
გომარეთის ქ. 95, თერჯოლა
გომბორის ქ. 21, ხონი
გომბორის ქ. 30, საგარეჯო
გომბორის ქ. 92, ნინოწმინდა
გომის ქ. 08, აბაშა
გომის ქ. 39, სიღნაღი
გომის ქ. 45, გარდაბანი
გომის ქ. 50, ქარელი
გონაშვილი ჰამლეტის ქ. 32, ცაგერი
გონაშვილი ჰამლეტის ქ. 45, ხაშური
გორგასლის ქ. 03, საჩხერე
გორგასლის ქ. 20, ყვარელი
გორგასლის ქ. 68, ნინოწმინდა
გორდის ქ. 84, ტყვარჩელი
გორდის ქ. 85, ზესტაფონი
გორდის ქ. 87, წალკა
გორის ქ. 20, ქარელი
გორკის ქ. 22, ბორჯომი
გორკის ქ. 43, გაგრა
გოცირიძის ქ. 83, გარდაბანი
გოძიაშვილის ქ. 13, თელავი
გოძიაშვილის ქ. 17, ხობი
გრანელი ტერენტის ქ. 04, წალკა
გრიბოედოვის ქ. 51, ფოთი
გრიშაშვილის ქ. 02, ქარელი
გრიშაშვილის ქ. 40, გალი
გრიშაშვილის ქ. 41, ჭიათურა
გრიშაშვილის ქ. 90, ზუგდიდი
გრუზინსკი პეტრეს ქ. 16, ტყვარჩელი
გრუზინსკი პეტრეს ქ. 23, თერჯოლა
გრუზინსკი პეტრეს ქ. 51, ფოთი
გუდამაყრის ქ. 10, ცაგერი
გუდარის ქ. 06, თეთრიწყარო
გუდარის ქ. 09, ბათუმი
გუდარის ქ. 70, ქარელი
გუდარის ქ. 76, ცხინვალი
გუდარის ქ. 87, ახალციხე
გუდაუთის ქ. 67, გაგრა
გუდაუთის ქ. 75, წალკა
გუდაურის ქ. 33, დუშეთი
გუდიაშვილი ლადოს ქ. 66, ცაგერი
გუდიაშვილი ლადოს ქ. 67, ვალე
გულიას ქ. 33, დედოფლისწყარო
გულიას ქ. 38, ხობი
გულიას ქ. 72, დუშეთი
გულისაშვილის ქ. 01, ლაგოდეხი
გულისაშვილის ქ. 10, ახალციხე
გულისაშვილის ქ. 47, წალკა
გულისაშვილის ქ. 86, ფოთი
გულუა გიას ქ. 67, ქუთაისი
გუმათის ქ. 31, ბოლნისი
გუმათის ქ. 35, ონი
გუმათჰესის ქ. 18, ზესტაფონი
გუმათჰესის ქ. 86, ამბროლაური
გუმათჰესის ქ. 98, გალი
გუმბრის ქ. 52, თეთრიწყარო
გუნიას ქ. 70, ახალციხე
გურგენიძის ქ. 01, გარდაბანი
გურიელის ქ. 83, საჩხერე
გურიელის ქ. 96, ონი
გურიის ქ. 98, ქობულეთი
დ. ყიფიანის ქ. 02, ახმეტა
დ. ყიფიანის ქ. 24, ონი
დ. ყიფიანის ქ. 43, ქობულეთი
დაბახანას ქ. 69, გურჯაანი
დაბახანას ქ. 76, საჩხერე
დადიანი შალვას ქ. 67, წნორი
დადიანი შალვას ქ. 70, მცხეთა
დადიანი ცოტნეს ქ. 20, ტყვარჩელი
დადიანი ცოტნეს ქ. 34, დმანისი
დადიანი ცოტნეს ქ. 84, ქარელი
დადიანი ცოტნეს ქ. 89, ამბროლაური
დაისის ქ. 24, ოზურგეთი
დაისის ქ. 35, ლაგოდეხი
დაისის ქ. 70, ზუგდიდი
დარკვეთის ქ. 08, რუსთავი
დარკვეთის ქ. 25, სამტრედია
დარკვეთის ქ. 63, დუშეთი
დარკვეთის ქ. 73, ზუგდიდი
დარკვეთის ქ. 90, მარნეული
დგებუაძის ქ. 40, ქარელი
დეკაბრისტების ქ. 65, დმანისი
დელისის ქ. 04, ლაგოდეხი
დელისის ქ. 87, ქობულეთი
დეპოს ქ. 15, აბაშა
დეპოს ქ. 54, ახალციხე
დეპოს ქ. 99, წნორი
დვალის ქ. 22, ხობი
დვირის ქ. 03, ლანჩხუთი
დიდგორის ქ. 03, ტყიბული
დიდი ხეივნის ქ. 71, თბილისი
დიდი ჯიხაიშის ქ. 23, საჩხერე
დიმიტრი თავდადებულის ქ. 12, ნინოწმინდა
დირსიჭალას ქ. 55, სამტრედია
დიუმა ალექსანდრეს ქ. 98, დმანისი
დმანისის ქ. 28, რუსთავი
დმანისის ქ. 68, ახმეტა
დმანისის ქ. 96, სენაკი
დობროლიუბოვის ქ. 62, ხონი
დობროლიუბოვის ქ. 69, ოჩამჩირე
დოესის ქ. 13, ვალე
დოესის ქ. 61, თელავი
დოლიძე გოგის ქ. 15, წნორი
დოლიძის ქ. 80, სენაკი
დოქის ქ. 03, გარდაბანი
დოქის ქ. 50, კასპი
დოღუმბარის ქ. 51, მარტვილი
დოღუმბარის ქ. 91, ქობულეთი
დოღუმბარის ქ. 92, ქარელი
დუტუ მეგრელის ქ. 49, ჭიათურა
დუტუ მეგრელის ქ. 59, ჭიათურა
დუშეთის ქ. 25, ახალქალაქი
დუშეთის ქ. 80, ხონი
ედისის ქ. 29, ზესტაფონი
ედისის ქ. 36, ცაგერი
ედისის ქ. 83, ცხინვალი
ედისის ქ. 85, თეთრიწყარო
ევდოშვილის ქ. 73, საგარეჯო
ეკალაძის ქ. 40, ყვარელი
ეკალაძის ქ. 49, წალენჯიხა
ეკალაძის ქ. 53, ახალქალაქი
ეკალაძის ქ. 64, საჩხერე
ეკალაძის ქ. 69, ბაღდათი
ეკალაძის ქ. 87, ონი
ელდარის ქ. 82, ქობულეთი
ელდარის ქ. 89, სენაკი
ელდარის ქ. 98, ჯვარი
ენგურჰესის ქ. 33, სოხუმი
ენგურჰესის ქ. 99, ოზურგეთი
ენისელის ქ. 03, მარტვილი
ენისელის ქ. 56, წალკა
ენისელის ქ. 91, გურჯაანი
ენუქიძის ქ. 29, ბოლნისი
ერევნის ქ. 00, საგარეჯო
ერევნის ქ. 55, ჯვარი
ერევნის ქ. 92, ქობულეთი
ერისთავ-ხოშტარიას ქ. 29, თეთრიწყარო
ერისთავ-ხოშტარიას ქ. 52, წალკა
ერისთავი კონსტანტინეს ქ. 13, თელავი
ერისთავი კონსტანტინეს ქ. 80, აბაშა
ერისთავი კონსტანტინეს ქ. 80, დედოფლისწყარო
ერწოს ქ. 36, ონი
ერწოს ქ. 80, ხობი
ესენინის ქ. 06, ახალი ათონი
ესენინის ქ. 20, წნორი
ესენინის ქ. 31, სენაკი
ეფრემ მცირის ქ. 05, გურჯაანი
ეფრემ მცირის ქ. 48, ლაგოდეხი
ვაზიანის ქ. 15, ახალქალაქი
ვაზიანის ქ. 50, ახალი ათონი
ვაზიანის ქ. 60, ბაღდათი
ვაზისუბნის ქ. 18, წნორი
ვაზისუბნის ქ. 22, ახალციხე
ვაზისუბნის ქ. 51, ზუგდიდი
ვაზისუბნის ქ. 68, ახალქალაქი
ვაკელი იონას ქ. 45, ვალე
ვაკელი იონას ქ. 97, რუსთავი
ვანის ქ. 17, ფოთი
ვანის ქ. 63, სენაკი
ვარდევანის ქ. 36, საგარეჯო
ვარდევანის ქ. 61, დედოფლისწყარო
ვარდისუბნის ქ. 10, დმანისი
ვარდისუბნის ქ. 55, ახალი ათონი
ვარდისუბნის ქ. 57, სოხუმი
ვარდისუბნის ქ. 61, ლანჩხუთი
ვართაგავას ქ. 57, ვალე
ვაშლოვანის ქ. 18, ოზურგეთი
ვაშლოვანის ქ. 19, ლაგოდეხი
ვაშლოვანის ქ. 29, ხონი
ვაშლოვანის ქ. 46, ხაშური
ვაშლოვანის ქ. 72, ყვარელი
ვახტანგ VI–ის ქ. 67, აბაშა
ვახტანგ VI–ის ქ. 75, ქარელი
ვეზიროვის ქ. 50, წალკა
ვეზიროვის ქ. 86, გურჯაანი
ვეზიროვის ქ. 87, ჭიათურა
ვერცხლის ქ. 42, გორი
ვერცხლის ქ. 48, გარდაბანი
ვერცხლის ქ. 73, თელავი
ვერჰარნის ქ. 19, წნორი
ვერჰარნის ქ. 37, გორი
ვერჰარნის ქ. 79, ბათუმი
ვეძათხევის ქ. 35, ცაგერი
ვეძათხევის ქ. 55, ხაშური
ვეძათხევის ქ. 69, ხაშური
ვეძინის ქ. 05, გალი
ვეძინის ქ. 58, მარტვილი
ვირსალაძის ქ. 06, ყვარელი
ვირსალაძის ქ. 39, წალკა
ვირსალაძის ქ. 49, გურჯაანი
ვირსალაძის ქ. 65, მარტვილი
ვირსალაძის ქ. 76, ხონი
ვირსალაძის ქ. 83, ჯვარი
ვორონინის ქ. 33, მარნეული
ვორონინის ქ. 72, წყალტუბო
ზაზიშვილი გიგოს ქ. 14, ქარელი
ზაზიშვილი გიგოს ქ. 36, ჯვარი
ზალდასტანიშვილის ქ. 16, მარტვილი
ზალდასტანიშვილის ქ. 17, ახმეტა
ზალდასტანიშვილის ქ. 72, ზუგდიდი
ზანდუკელი მიხეილის ქ. 14, გაგრა
ზანდუკელი მიხეილის ქ. 66, მცხეთა
ზანდუკელი მიხეილის ქ. 67, თეთრიწყარო
ზარზმის ქ. 14, ამბროლაური
ზარზმის ქ. 67, გორი
ზარზმის ქ. 86, ტყიბული
ზაქარიაძე სერგოს ქ. 76, თერჯოლა
ზედაზნის ქ. 18, წალენჯიხა
ზედაუბნის ქ. 47, ვალე
ზედაუბნის ქ. 57, ლანჩხუთი
ზეინკლის ქ. 08, ტყვარჩელი
ზეინკლის ქ. 59, მცხეთა
ზეინკლის ქ. 76, ბათუმი
ზეკარის ქ. 10, კასპი
ზეკარის ქ. 17, კასპი
ზეკარის ქ. 71, ქობულეთი
ზემო ვაკის ქ. 09, წნორი
ზემო ვაკის ქ. 73, ბაღდათი
ზემო ვეძისის ქ. 23, სამტრედია
ზესტაფონის ქ. 81, საჩხერე
ზვარეთის ქ. 31, მარტვილი
ზვარეთის ქ. 64, მარტვილი
ზვარეთის ქ. 69, ზუგდიდი
ზვარეთის ქ. 88, ახალციხე
ზიარის ქ. 99, ცხინვალი
ზიგზაგის ქ. 13, მცხეთა
ზიგზაგის ქ. 37, ცხინვალი
ზინდისის ქ. 68, ცხინვალი
ზინდისის ქ. 89, ოზურგეთი
ზიჩი მიხაის ქ. 24, წყალტუბო
ზიჩი მიხაის ქ. 65, ბორჯომი
ზოვრეთის ქ. 06, ოჩამჩირე
ზოვრეთის ქ. 09, სოხუმი
ზოვრეთის ქ. 14, ვალე
ზოვრეთის ქ. 14, ლაგოდეხი
ზოვრეთის ქ. 32, გორი
ზოვრეთის ქ. 34, გაგრა
ზოვრეთის ქ. 62, სენაკი
ზოვრეთის ქ. 92, ოზურგეთი
ზუბალაშვილების ქ. 10, ლაგოდეხი
ზუბალაშვილების ქ. 21, ვანი
ზუბალაშვილების ქ. 27, ბათუმი
ზუბალაშვილების ქ. 74, თეთრიწყარო
ზუგდიდის ქ. 90, ახალციხე
თაბუკაშვილი რეზოს ქ. 82, ტყვარჩელი
თაბუკაშვილი რეზოს ქ. 86, თერჯოლა
თაბუკაშვილი რეზოს ქ. 95, ლაგოდეხი
