Aisén, Región de Aysén del General Carlos Ibáñez del Campo
Tortel, Región de Aysén del General Carlos Ibáñez del Campo
Traiguén, Región de La Araucanía
Treguaco, Región de Ñuble
Tucapel, Región del Biobío
Valdivia, Región de Los Ríos
Vallenar, Región de Atacama
Valparaíso, Región de Valparaíso
Vichuquén, Región del Maule
Victoria, Región de La Araucanía
Vicuña, Región de Coquimbo
Vilcún, Región de La Araucanía
Villa Alegre, Región del Maule
Villa Alemana, Región de Valparaíso
Villarrica, Región de La Araucanía
Vitacura, Región Metropolitana
Viña del Mar, Región de Valparaíso
Yerbas Buenas, Región del Maule
Yumbel, Región del Biobío
Yungay, Región de Ñuble
Zapallar, Región de Valparaíso
Ñiquén, Región de Ñuble
Ñuñoa, Región Metropolitana
