Aaron Ruto
Brian Cherotich
Brian Gathogo
Brian Karanja
Brian Kassim
Brian Kimanzi
Brian Macharia
Brian Maina
Brian Mburu
Brian Mohamed
Brian Mwende
Brian Ndiema
Brian Ngugi
Brian Njambi
Brian Wangari
Bryan Mutheu
Caleb Hassan
Caleb Mawia
Caleb Mutuma
Caleb Ochieng
Calvince Mwendwa
Carlos Mwangi
Carlos Nanjala
Charles Adhiambo
Charles Atieno
Charles Cheruiyot
Charles Dagane
Charles Hassan
Charles Junior
Charles Kemei
Charles Kiarie
Charles Koech
Charles Kuria
Charles Nderitu
Charles Nyakio
Charles Ouma
Charles Wambura
Charo Moses
Cheruiyot Gitau
Cheruiyot Salim
Chris Juma
Christopher Hassan
Christopher Mumbi
Christopher Mwanzia
Christopher Odhiambo
Christopher Wangari
Christopher Wanjala
Clinton Achieng
Clinton Ali
Clinton Murunga
Clinton Odhiambo
Clinton Oduor
Collince Mulinge
Collins Abdullahi
Collins Barasa
Collins Farah
Collins Gachanja
Collins Mboya
Collins Mueni
Collins Mutai
Collins Odhiambo
Collins Onyango
Collins Wainaina
Cornelius Auma
Cornelius Kirwa
Cornelius Langat
Cornelius Ochieng
Cosmas Juma
Cyrus Miriti
Cyrus Mwita
Cyrus Owuor
Dan Gacheri
Dan Oketch
Dancan Awuor
Dancan Chepkemboi
Dancan Khisa
Dancan Maina
Dancan Mwangi
Dancan Njagi
Dancun Anyango
Dancun Wafula
Daniel Abdi
Daniel Auma
Daniel Chacha
Daniel Cherono
Daniel Jepkoech
Daniel Jeptoo
Daniel Kabiru
Daniel Kaingu
Daniel Momanyi
Daniel Mwai
Daniel Njagi
Daniel Nzomo
Daniel Oketch
Daniel Wekesa
Daud Cheruto
Daudi Mwenda
David Abdi
David Abdille
David Achieng
David Ali
David Brian
David Cheboi
David Chomba
David Erupe
David Haji
David Kamau
David Kamene
David Kemei
David Kiplagat
David Koech
David Mohamed
David Muchangi
David Muchira
David Mugo
David Mutua
David Mwangi
David Ng'ang'a
David Ngome
David Nyambura
David Odhiambo
David Rioba
David Terer
David Wafula
David Wanjohi
Davis Mwendwa
Denis Awuor
Denis Baya
Denis Muia
Denis Wanjohi
Dennis Anyango
Dennis Karambu
Dennis Kinoti
Dennis Mokaya
Dennis Muchoki
Dennis Muriithi
Dennis Muteti
Dennis Muthengi
Dennis Mwangi
Dennis Mwende
Dennis Owino
Dennis Wangui
Derick Achieng
Derick Mmboga
Derick Mohamed
Derick Muli
Derick Ouma
Derrick Baraza
Derrick Mungai
Derrick Wambui
Dickson Mutwiri
Dickson Ndunge
Dickson Wanjugu
Dismas Haji
Dominic Wangui
Dominic Wanjiku
Donald Mwiti
Douglas Adan
Douglas Jepleting
Douglas Thuo
Dr Abdul Ayuma
Dr Alex Muli
Dr Allan Abdi
Dr Andrew Irungu
Dr Aron George
Dr Benedict Korir
Dr Benjamin Murithi
Dr Benson Chepkemoi
Dr Boniface Kadenge
Dr Brian Adan
Dr Collins Chebet
Dr David Kariuki
Dr David Ombui
Dr Denis Abdi
Dr Derrick Mugo
Dr Derrick Omwoyo
Dr Erick Muthoni
Dr Erick Mwaura
Dr Felix Bii
Dr Francis Macharia
Dr Francis Muthee
Dr Gedion Ahmed
Dr George Murigi
Dr Gilbert Nkatha
Dr Gitonga Njagi
Dr Ibrahim Odhiambo
Dr Jacob Akinyi
Dr Jamal Charles
Dr James Evans
Dr James Njiru
Dr Jeremiah Kibet
Dr Jeremiah Owino
Dr John Maina
Dr John Pkemoi
Dr John Wangare
Dr Joseph John
Dr Joshua Kipkemoi
Dr Josphat Yussuf
Dr Kipkorir Ndungu
Dr Mathew Ochieng
Dr Michael Yussuf
Dr Mulwa Cheptoo
Dr Muriuki Oduor
Dr Mustafa Otieno
Dr Mutuku Kiprop
Dr Nicholas Mbithi
Dr Njeri Charo
Dr Njoroge Njuguna
Dr Nyamai Wangeci
Dr Ochieng Mueni
Dr Odhiambo Wario
Dr Omondi Muthama
Dr Patrick Khaemba
Dr Paul Wafula
Dr Paul Wairimu
Dr Peter Irungu
Dr Reuben Samuel
Dr Robert Kungu
Dr Sammy Kihara
Dr Samuel Njuki
Dr Stephen Chebet
Dr Stephen Korir
Dr Stephen Muriithi
Dr Victor Ngari
Dr Wanjala Mutegi
Dr Wanjiru Kawira
Dr Wanjiru Limo
Dr Wanjiru Mokua
Dr Wanjiru Wamaitha
Duncan Cherono
Duncan Hussein
Duncan Mwenda
Edgar Musyoka
Edward Limo
Edward Mohammed
Edward Mulei
Edward Munyao
Edward Mwania
Edward Njiru
Edwin Abdalla
Edwin Bulle
Edwin Elijah
Edwin Gichuki
Edwin Maina
Edwin Njagi
Edwin Nyaboke
Edwin Ouma
Edwin Rono
Edwin Wairimu
Elias Wesonga
Elijah Karanja
Elijah Ouma
Eliud Kibet
Elkana Kinoti
Elphas Kwamboka
Elvis Chemutai
Elvis Hussein
Elvis Lemayian
Elvis Muli
Emmanuel Dahir
Emmanuel Nyongesa
Emmanuel Opiyo
Emmanuel Tarus
Emmanuel Wabwile
Eng Abdalla Munene
Eng Adan Chepkwony
Eng Alfred Wairimu
Eng Arnold Masai
Eng Benard Ochieng
Eng Benson Njeri
Eng Brian Ibrahim
Eng Bryan Kinyua
Eng Collins Mayaka
Eng Daniel Opiyo
Eng Davis Saitoti
Eng Davis Wainaina
Eng Denis Njoki
Eng Dennis Aden
Eng Dennis Musyimi
Eng Dominic Gitonga
Eng Duncan Ali
Eng Eric Makokha
Eng Eugene Mutua
Eng Felix Titus
Eng Francis Lewa
Eng Francis Safari
Eng Francis Wanjiku
Eng Ian Maina
Eng Ibrahim Hussein
Eng Issa Thuranira
Eng James Anyango
Eng James Moturi
Eng James Muli
Eng Jeremiah Okoth
Eng John Ng'ang'a
Eng John Opiyo
Eng John Otieno
Eng Johnson Wangari
Eng Josephat Nyawira
Eng Joshua Michael
Eng Julius Odhiambo
Eng Justus Wangari
Eng Kioko Akello
Eng Kipkoech Chepngeno
Eng Kyalo Maina
Eng Marvin Kipkemboi
Eng Maurice Osoro
Eng Mohamed Kimutai
Eng Mohamed Kipkurui
Eng Mohamed Kiptoo
Eng Mwangi Mutuku
Eng Ng'ang'a Ali
Eng Nyawira Kiplagat
Eng Nzioka Apiyo
Eng Omondi Masika
Eng Paul Anyango
Eng Peter Akello
Eng Peter Awuor
Eng Peter Chege
Eng Peter Wanjiru
Eng Ramadhan Ali
Eng Rashid Njau
Eng Richard Misiko
Eng Samson Mohamed
Eng Seth Ochieng
Eng Stephen Ndiritu
Eng Stephen Wambua
Eng Thomas Chebet
Eng Thomas Mohamed
Eng Timothy Masika
Eng Timothy Mwangi
Eng Wachira Thuranira
Eng Wanjiku Ali
Eng Wekesa Atieno
Ephantus Yego
Eric Amoit
Eric Kiplagat
Eric Ndirangu
Eric Njoki
Eric Omondi
Eric Soita
Erick Aden
Erick Atieno
Erick Biwott
Erick Kariuki
Erick Kemboi
Erick Muraguri
Erick Muteti
Erick Mwendwa
Erick Ngari
Erick Ochieng
Erick Wangui
Ernest Alio
Ernest Mwangi
Eugene Ali
Eugene Chepkwony
Evance Awuor
Evans Hassan
Evans Kipchumba
Evans Langat
Evans Mutheu
Evans Njoroge
Evans Ochieng
Evans Swaleh
Evans Too
Evans Wachira
Evans Wandera
Ezekiel Iminza
Ezekiel Juma
Ezekiel Ngetich
Ezekiel Odhiambo
Ezekiel Wanjira
Ezekiel Warui
Feisal Samoei
Felix Chepkorir
Felix Gitahi
Felix Karanja
Felix Kinyua
Felix Mungai
Felix Mwiti
Felix Ndirangu
Felix Njeru
Felix Onyango
Felix Otieno
Felix Wambui
Festus Musyoka
Fidelis Awuor
Fidelis Cheboi
Fr Adan Akinyi
Fr Ali Halake
Fr Ali Mutisya
Fr Ali Wafula
Fr Baraka Kawira
Fr Benard Wangui
Fr Benjamin Nkatha
Fr Cosmas Cherotich
Fr Daniel Shikuku
Fr David Issack
Fr Denis Kimani
Fr Dennis Samuel
Fr Dennis Wanjala
Fr Dickson Cherutich
Fr Dickson Munene
Fr Edwin Wambui
Fr Elijah Ekai
Fr Evans Jepkirui
Fr Evans Ngetich
Fr Francis Akinyi
Fr Gabriel Auma
Fr Hussein Mahamed
Fr Hussein Ochieng
Fr Irungu Mbatha
Fr James Kemboi
Fr James Mbugua
Fr Jeremiah Nyakundi
Fr John Kipkoech
Fr John Korir
Fr John Mutuku
Fr John Ngaruiya
Fr Joseph Adan
Fr Joseph Moses
Fr Julius Mumbe
Fr Justus Chepchirchir
Fr Kelvin Kosgei
Fr Kenneth Muli
Fr Kibet Njoroge
Fr Kioko Mumo
Fr Kyalo Ngatia
Fr Lewis Jerop
Fr Mbugua Gitau
Fr Mohamed Karisa
Fr Muchiri Kawira
Fr Mutua Kimathi
Fr Mwaura Mutwiri
Fr Ndegwa Hussein
Fr Nicholus Katana
Fr Odhiambo Oyugi
Fr Oduor Murimi
Fr Omar Mwangi
Fr Paul Akinyi
Fr Rashid Kitheka
Fr Salim Cherono
Fr Samson Nzioki
Fr Samuel Kageha
Fr Seth Mutai
Fr Timothy Muthomi
Fr Titus Hassan
Fr Victor Mohamed
Fr Victor Ochieng
Fr Wangui Ouma
Fr Wanjiru Omari
Fr Wanyama Chepkorir
Fr Weldon Mokaya
Fr William Kibet
Fr William Mathenge
Fr Wilson Murage
Francis Chebet
Francis Kamau
Francis Kassim
Francis Maithya
Francis Mwai
Francis Nasimiyu
Francis Ndirangu
Francis Nyaga
Francis Opiyo
Francis Ouma
Frank Jepkemboi
Frankline Mumbi
Fred Koech
Fred Mutua
Fredrick Abdi
Fredrick Chemutai
Fredrick Joseph
Fredrick Kinyua
Fredrick Mohamed
Fredrick Peter
Fredrick Sifuna
Fredrick Wanjala
Gabriel Abdi
Gabriel Ahmed
Gabriel Atieno
Gabriel Bundi
Gabriel Chege
Gabriel Muthoni
Gabriel Opiyo
Gabriel Sikuku
Gedion Karanja
Geoffrey Koros
Geoffrey Kosgei
Geoffrey Stephen
Geofrey Onyango
Geofrey Wanyama
George Adan
George James
George Kanini
George Kibet
George Kioko
George Kithinji
George Kitonga
George Mbithi
George Onyango
George Wanjiru
Gerald Khaemba
Gibson Mwanzia
Gideon Masha
Gideon Mwangi
Gideon Nthenya
Gideon Omar
Gilbert Abdirahman
Gilbert Kendi
Gilbert Mohamed
Gitau Hussein
Githinji Atieno
Godfrey Ahmed
Godfrey Kipkemoi
Godwin Ahmed
Godwin Ndwiga
Gregory Ndung'u
Hamisi Hassan
Hamisi Njoki
Hamisi Wanyama
Hamza Mutungi
Haron Juma
Harrison Adhiambo
Harrison Ali
Harrison Nyongesa
Harrison Yussuf
Hassan Cherono
Hassan Juma
Hassan Opondo
Henry Kipkemboi
Henry Mohamed
Henry Mukami
Henry Nyangau
Henry Nzioka
Henry Nzomo
Henry Ochieng
Henry Oloo
Henry Omar
Henry Onyango
Hesbon Muthomi
Hesbon Opiyo
Hezron Njue
Hezron Opiyo
Hillary Akinyi
Hillary Edin
Hillary Mohamed
Hillary Muchiri
Hillary Mwangi
Hillary Ochieng
Hillary Ouma
Hon Abdi Achieng
Hon Abdi Muigai
Hon Alex Ayieko
Hon Amos Mohamed
Hon Bernard Abdi
Hon Bonface Kimani
Hon Brian Hassan
Hon Brian Musa
Hon Brian Okumu
Hon Daniel Mwakio
Hon Daniel Waithira
Hon David Muthoni
Hon Elijah Kitsao
Hon Emmanuel Karwitha
Hon Enock Issak
Hon Eric Nzioki
Hon Erick Morara
Hon Francis Muema
Hon Gabriel Mwangi
Hon Geoffrey Mulwa
Hon George Kipngetich
Hon Hassan Gitau
Hon Humphrey Mutua
Hon Humphrey Ogweno
Hon Hussein Chelangat
Hon Ian Mukundi
Hon Jackson Wairimu
Hon John Owuor
Hon Joseph Kamau
Hon Joseph Muigai
Hon Kelly Nyamai
Hon Kelvin Omondi
Hon Kemboi Langat
Hon Kenneth Morara
Hon Kiplangat Okeyo
Hon Kiprop Muriungi
Hon Lucas Njeri
Hon Mark Abdullahi
Hon Muchiri Onyiego
Hon Murimi Ali
Hon Ndungu Ngari
Hon Omar Munga
Hon Omondi Kiprotich
Hon Ouma Charo
Hon Peter Bare
Hon Peter Kuria
Hon Said Sitati
Hon Tom Issack
Hon Wangui Nyaga
Hon Wanjiku Ali
Hon Wanjiru Wanjala
Hon Wilson Muthee
Hosea Chepngetich
Hosea Muia
Hussein Kimaiyo
Hussein Njoki
Hussein Omondi
Hussein Simiyu
Hussein Wanjiku
Ian Abdi
Ian Cherotich
Ian Karuri
Ian Macharia
Ian Mwaura
Ian Ogeto
Ian Osman
Ian Wambui
Ibrahim Achieng
Ibrahim Ahmed
Ibrahim Atieno
Ibrahim Hassan
Ibrahim Issack
Ibrahim Jelimo
Ibrahim Jillo
Ibrahim Juma
Ibrahim Kaberia
Ibrahim Kaburu
Ibrahim Kimtai
Ibrahim Mutia
Ibrahim Mwangi
Ibrahim Omar
Ibrahim Wambui
Ibrahim Wekesa
Idris Ndungu
Innocent Kiprotich
Irungu Mahat
Isaac Anyango
Isaac Cherono
Isaac Hassan
Isaac Kinyanjui
Isaac Kiprono
Isaac Murage
Isaac Nyamai
Isaac Wanza
Isaiah Mutai
Isaiah Mwaniki
Ismail Jerono
Ismail Juma
Ismail Kaari
Ismail Kiprotich
Ismail Musau
Ismail Njuguna
Issa Hassan
Issa Mutheu
Issa Ngao
Issa Owuor
Issa Stephen
Issack Lagat
Issack Murimi
Issack Wangechi
Jack Odhiambo
Jackson Jepngetich
Jackson Kerubo
Jackson Oluoch
Jackson Omar
Jackson Salah
Jackson Salim
Jacob Chai
Jacob Kiplangat
Jacob Otieno
Jacob Ouma
Jacob Wairimu
James Barasa
James Chepchirchir
James Chepchumba
James Farah
James Hassan
James Hussein
James Jemutai
James Jerotich
James Jimale
James Karani
James Kemboi
James Khaemba
James Kibet
James Lewa
James Maritim
James Mbithi
James Musyoka
James Mutua
James Ouma
James Rop
James Thoya
James Wairimu
James Wambua
James Wambui
James Wangui
James Warui
James William
Jared Muhumed
Jeremiah Mukundi
Jeremiah Nzuki
Joash Osman
Job Akinyi
Job Njeri
Job Oluoch
Joel Akinyi
Joel Atieno
Joel Barasa
Joel Njenga
Joel Onyiego
John Abdullahi
John Achieng
John Atieno
John Chebet
John Cheruiyot
John Farah
John Gitau
John Julius
John Kamau
John Kilonzo
John Kinoti
John Koome
John Maina
John Mbatha
John Mbogo
John Mugambi
John Muriithi
John Mwangi
John Mwende
John Mwendwa
John Nanjala
John Ndolo
John Ngui
John Njenga
John Nyakundi
John Nyokabi
John Nzuki
John Okemwa
John Simiyu
John Thoya
John Wambui
Johnson Kiprono
Johnson Mohamed
Johnstone Nyangweso
Jonathan Musumba
Jonathan Njiru
Joram King'ori
Joseph Akinyi
Joseph Alex
Joseph Bii
Joseph Chepkemoi
Joseph Chirchir
Joseph Edin
Joseph Emmanuel
Joseph Farah
Joseph Irungu
Joseph Kariuki
Joseph Kosgei
Joseph Mukhwana
Joseph Murithi
Joseph Musila
Joseph Mutai
Joseph Mwangi
Joseph Mwenda
Joseph Mwikali
Joseph Ndirangu
Joseph Ndiwa
Joseph Njenga
Joseph Odongo
Joseph Okoth
Joseph Otieno
Joseph Patrick
Joseph Wafula
Joseph Wamalwa
Joseph Wanjala
Josephat Muthee
Joshua Awuor
Joshua Fondo
Joshua Gitonga
Joshua Koskei
Joshua Mbugua
Joshua Meli
Joshua Wanjiku
Josiah Hassan
Josiah Nyabuti
Josphat Kimani
Josphat Wabomba
Julius Chebet
Julius Koech
Julius Ngari
Julius Omondi
Julius Sang
Julius Wamuyu
Juma Chege
Juma John
Juma Mburu
Juma Minayo
Juma Mohamed
Juma Omar
Juma Tarus
Juma Wanjala
Justus Abdullahi
Justus Kariuki
Justus Maluki
Kamau Abdi
Kamau Chepkwony
Kamau Chepngetich
Kamau Gathoni
Kamau Kimutai
Kamau Otieno
Karani Munene
Karani Muthoni
Karanja Barasa
Karanja Kinyua
Karanja Mohamed
Karimi Kiplagat
Kariuki Ochieng
Kariuki Onyango
Kassim Ibrahim
Keith Kung'u
Keith Mutisya
Keith Onditi
Kelvin Achieng
Kelvin Aden
Kelvin Chacha
Kelvin Chebet
Kelvin Godana
Kelvin Kariuki
Kelvin Kiprotich
Kelvin Makena
Kelvin Makori
Kelvin Mugo
Kelvin Muiruri
Kelvin Muraya
Kelvin Mutindi
Kelvin Mwangi
Kelvin Nduta
Kelvin Omondi
Kelvin Omwenga
Kelvin Safari
Kelvin Wangui
Kelvin Wanjira
Kemboi Mwenda
Ken Suleiman
Keneth Awino
Keneth Mwangi
Kennedy Achieng
Kennedy Chepkirui
Kennedy Chepkorir
Kennedy Gacheri
Kennedy Guyo
Kennedy Ibrahim
Kennedy Kimani
Kennedy Mohamed
Kennedy Momanyi
Kennedy Munene
Kennedy Simiyu
Kennedy Wanjiku
Kenneth Mohamed
Kenneth Njambi
Kenneth Obonyo
Kenneth Onyango
Kenneth Onyiego
Kevin Kipkemoi
Kevin Mbaabu
Kevin Mburu
Kevin Muia
Kevin Muli
Kevin Mungai
Kevin Nandwa
Kevin Ngetich
Kevin Njue
Kevin Odhiambo
Kevin Opiyo
Kevin Wambui
Kibet Chepkemoi
Kilonzo Cherono
Kimani Oduor
Kimani Okoth
Kimathi Odhiambo
Kimeu Kigen
Kimutai Cheboi
Kimutai Mutheu
Kimutai Simiyu
Kimutai Wario
Kinuthia Kipkemei
Kinyua Cheruto
Kinyua Kipchumba
Kinyua Kiptoo
Kinyua Wabwile
Kinyua Wako
Kinyua Wangui
Kioko James
Kioko Karwitha
Kioko Nyaga
Kioko Ziro
Kipchumba Chomba
Kipkemboi Kirimi
Kipkemoi Cheruiyot
Kipkemoi Mohamed
Kipkirui Njuguna
Kipkoech Anyango
Kipkorir Wanja
Kiplagat Jerono
Kiplagat Rotich
Kipngeno Kipngetich
Kipngetich Salat
Kiprono Mutua
Kiprono Otieno
Kiprotich Muya
Kiprotich Simiyu
Kipsang Murithi
Kiptoo Juma
Kiptoo Njeri
Koech Okumu
Korir Kiprop
Korir Wambugu
Kyalo Chelangat
Kyalo Gichohi
Kyalo Mwangi
Lameck Abdi
Langat Sitienei
Lawrence Jelimo
Lawrence Kimemia
Lawrence Ndegwa
Lawrence Ngala
Leonard Ibrahim
Leonard Korir
Leonard Mbuvi
Leonard Mutuma
Leonard Wanjiku
Levis Juma
Lewis David
Lewis Odhiambo
Lewis Wambui
Linus Cheruiyot
Linus Otieno
Livingstone Kyalo
Livingstone Ndinda
Lucky Kipngeno
Macharia Kimani
Macharia Makena
Macharia Mutua
Macharia Njoki
Maina Changawa
Maina Munyoki
Maina Onyango
Maina Wanjala
Maingi Okeyo
Makau Njenga
Makokha Chepkemoi
Makokha Chepkoech
Mark Ewoi
Mark Maina
Mark Mwangangi
Mark Njoroge
Mark Ntinyari
Mark Ojwang
Mark Otieno
Mark Wainaina
Mark Wechuli
Martin Apiyo
Martin Awino
Martin Chepkoech
Martin Irungu
Martin Juma
Martin Karanja
Martin Kimanthi
Martin Mwenda
Martin Otieno
Martin Ronoh
Martin Wafula
Masika Maundu
Mathew Kariuki
Mathew Mohamed
Mathew Odongo
Maurice Mogeni
Maxwell Kitheka
Mbithi Awuor
Mbithi Ibrahim
Mboya Musimbi
Mbugua Chepkemoi
Mbugua Lelei
Melvin Kemboi
Meshack Ali
Meshack Maina
Meshack Muchiri
Meshack Ogada
Meshack Rono
Michael Adhiambo
Michael Ibrahim
Michael Kazungu
Michael Kimathi
Michael Maina
Michael Mbuvi
Michael Muriuki
Michael Muthoka
Michael Mutuku
Michael Nderitu
Michael Ndirangu
Michael Njuguna
Michael Ouma
Michael Wahome
Michael Were
Mike Kipkemboi
Mike Mutugi
Mohamed Abdirahman
Mohamed Achieng
Mohamed Akoth
Mohamed Aoko
Mohamed Emmanuel
Mohamed Kemboi
Mohamed Koech
Mohamed Marwa
Mohamed Mohamed
Mohamed Murithi
Mohamed Muthee
Mohamed Mwangi
Mohamed Mwenda
Mohamed Okello
Mohamed Wambua
Mohamed Wangari
Mohamed Wanjala
Mohamed Wanjiku
Mohamud Kendi
Morgan Rutto
Morris Bosire
Morris Oluoch
Moses Akinyi
Moses Anyango
Moses Baraka
Moses Chesang
Moses Juma
Moses Kimani
Moses Kipchumba
Moses Kiplimo
Moses Muigai
Moses Muriungi
Moses Mwende
Moses Njeri
Moses Odhiambo
Moses Omar
Mr Alex Ochieng
Mr Alvin Simiyu
Mr Athman Maina
Mr Benson Kipsang
Mr Benson Said
Mr Brian Akinyi
Mr Brian Cheptoo
Mr Brian Maalim
Mr Brian Mwangi
Mr Brian Okeyo
Mr Caleb Njoroge
Mr Charles Mohamed
Mr Charles Musyoka
Mr Charles Onyango
Mr David Mutegi
Mr David Omar
Mr Denis Wanyonyi
Mr Derrick Odhiambo
Mr Edwin Sang
Mr Emmanuel Kiplagat
Mr Emmanuel Wambua
Mr Felix Onyango
Mr Fredrick Maluki
Mr George Yussuf
Mr John Chepkirui
Mr Joseph Abdi
Mr Joseph Gichuru
Mr Kelvin Waweru
Mr Kevin Osman
Mr Kipchirchir Atieno
Mr Koech Mutwiri
Mr Mohammed Mohammed
Mr Mohamud Wangechi
Mr Mugo Kimani
Mr Mulwa Rono
Mr Mustafa Kigen
Mr Muthoni Muli
Mr Mutiso Nyaga
Mr Nelson Nyongesa
Mr Ngari Kimani
Mr Nickson Oduor
Mr Nuru Evans
Mr Omar Omar
Mr Paul Ahmed
Mr Paul Omweri
Mr Peter Cheruiyot
Mr Peter Hussein
Mr Peter Salim
Mr Peter Waweru
Mr Pius Kimutai
Mr Rama Kipsang
Mr Robert Okuku
Mr Samuel Kiprotich
Mr Shadrack Otieno
Mr Simon Jebet
Mr Simon Otieno
Mr Solomon Chepkwony
Mr Solomon Odhiambo
Mr Stephen Nyaga
Mr Suleiman Mugambi
Mr Swaleh Koech
Mr Tom Wanjala
Mr Valentine Ndungu
Mr Wairimu Maina
Mr Wambua Kiprotich
Mr Wanjiru Ndunge
Mr Wekesa Jepkosgei
Muema Odhiambo
Mugambi Murithi
Mugambi Muriuki
Mugambi Wamaitha
Muli Gakii
Mulwa Odhiambo
Mumo Abdi
Munene Chepkorir
Mungai Muli
Muriithi Maina
Muriuki Kioko
Musa Chepkwony
Musa Kwamboka
Musembi Sila
Mustafa Wanjiku
Musyoka Cherotich
Musyoka Muthike
Musyoki Mwangi
Mutai Chepkwony
Muthoka Cherotich
Muthoni Omondi
Muthui Omari
Mutie Kiprop
Mutinda Ochieng
Mutisya Kimani
Mutua Awino
Mutua Gathoni
Mutua Kazungu
Mutua Kiplagat
Mutua Kiprotich
Mutua Kyalo
Mutua Mutua
Mutua Mwangi
Mutuku Akinyi
Mutuku Kiprono
Mutuku Maina
Mutuku Mohammed
Mutuku Wakio
Mutunga Wanyoike
Mwangi Abdi
Mwangi Ali
Mwangi Auma
Mwangi Ewoi
Mwangi Gichana
Mwangi Mbatha
Mwangi Njoroge
Mwangi Wafula
Mwangi Waithira
Mwaniki Otieno
Mwaniki Wanyama
Mwanzia Maina
Mwanzia Oduor
Mwaura Huka
Mwendwa Akinyi
